anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
23,ALDR,0,4,290,2022-01-01,263
19,ALDR,0,2,269,2022-01-02,248
8,ALDR,0,0,213,2022-01-03,205
6,ALDR,0,0,234,2022-01-04,228
6,ALDR,0,1,381,2022-01-05,374
7,ALDR,0,1,205,2022-01-06,197
7,ALDR,0,3,260,2022-01-07,250
8,ALDR,0,4,193,2022-01-08,181
23,ALDR,0,0,327,2022-01-09,304
18,ALDR,0,3,319,2022-01-10,298
6,ALDR,0,0,303,2022-01-11,297
24,ALDR,0,2,283,2022-01-12,257
18,ALDR,0,2,262,2022-01-13,242
6,ALDR,0,0,144,2022-01-14,138
15,ALDR,0,1,276,2022-01-15,260
23,ALDR,0,1,328,2022-01-16,304
20,ALDR,0,0,461,2022-01-17,441
16,ALDR,0,0,358,2022-01-18,342
1,ALDR,0,0,427,2022-01-19,426
28,ALDR,0,1,525,2022-01-20,496
8,ALDR,0,3,419,2022-01-21,408
1,ALDR,0,2,306,2022-01-22,303
8,ALDR,0,1,381,2022-01-23,372
4,ALDR,0,1,371,2022-01-24,366
5,ALDR,0,2,534,2022-01-25,527
12,ALDR,0,0,440,2022-01-26,428
4,ALDR,0,0,280,2022-01-27,276
0,ALDR,0,1,309,2022-01-28,308
2,ALDR,0,1,265,2022-01-29,262
0,ALDR,0,1,213,2022-01-30,212
0,ALDR,0,2,277,2022-01-31,275
0,ALDR,0,0,190,2022-02-01,190
0,ALDR,0,2,606,2022-02-02,604
3,ALDR,0,0,591,2022-02-03,588
22,ALDR,0,1,599,2022-02-04,576
1,ALDR,0,0,590,2022-02-05,589
10,ALDR,0,3,574,2022-02-06,561
3,ALDR,0,2,458,2022-02-07,453
6,ALDR,0,1,367,2022-02-08,360
3,ALDR,0,3,398,2022-02-09,392
19,ALDR,0,1,611,2022-02-10,591
10,ALDR,0,0,514,2022-02-11,504
4,ALDR,0,1,413,2022-02-12,408
10,ALDR,0,5,561,2022-02-13,546
9,ALDR,0,7,563,2022-02-14,547
1,ALDR,0,1,255,2022-02-15,253
1,ALDR,0,2,237,2022-02-16,234
0,ALDR,0,3,280,2022-02-17,277
1,ALDR,0,1,478,2022-02-18,476
0,ALDR,0,2,443,2022-02-19,441
1,ALDR,0,3,503,2022-02-20,499
1,ALDR,0,1,486,2022-02-21,484
0,ALDR,0,3,577,2022-02-22,574
0,ALDR,0,0,417,2022-02-23,417
0,ALDR,0,0,450,2022-02-24,450
0,ALDR,0,2,338,2022-02-25,336
1,ALDR,0,2,467,2022-02-26,464
0,ALDR,0,1,309,2022-02-27,308
2,ALDR,0,2,378,2022-02-28,374
0,ALDR,0,0,363,2022-03-01,363
1,ALDR,0,0,549,2022-03-02,548
0,ALDR,0,3,404,2022-03-03,401
1,ALDR,0,23,276,2022-03-04,252
0,ALDR,0,23,376,2022-03-05,353
1,ALDR,0,11,610,2022-03-06,598
0,ALDR,0,0,382,2022-03-07,382
3,ALDR,0,0,401,2022-03-08,398
0,ALDR,0,2,353,2022-03-09,351
2,ALDR,0,2,492,2022-03-10,488
1,ALDR,0,4,347,2022-03-11,342
0,ALDR,0,0,222,2022-03-12,222
0,ALDR,0,1,357,2022-03-13,356
1,ALDR,0,0,476,2022-03-14,475
0,ALDR,0,0,381,2022-03-15,381
0,ALDR,0,0,390,2022-03-16,390
15,ALDR,0,1,310,2022-03-17,294
0,ALDR,0,0,453,2022-03-18,453
0,ALDR,0,1,177,2022-03-19,176
0,ALDR,0,0,127,2022-03-20,127
5,ALDR,0,0,151,2022-03-21,146
0,ALDR,0,2,282,2022-03-22,280
0,ALDR,0,0,231,2022-03-23,231
0,ALDR,0,0,347,2022-03-24,347
0,ALDR,0,0,379,2022-03-25,379
7,ALDR,0,3,459,2022-03-26,449
0,ALDR,0,6,280,2022-03-27,274
0,ALDR,0,17,304,2022-03-28,287
2,ALDR,0,8,310,2022-03-29,300
0,ALDR,0,15,554,2022-03-30,539
0,ALDR,0,21,461,2022-03-31,440
1,ALDR,0,9,455,2022-04-01,445
8,ALDR,0,2,410,2022-04-02,400
13,ALDR,0,0,452,2022-04-03,439
4,ALDR,0,1,323,2022-04-04,318
8,ALDR,0,1,236,2022-04-05,227
3,ALDR,0,2,247,2022-04-06,242
7,ALDR,0,1,431,2022-04-07,423
10,ALDR,0,0,313,2022-04-08,303
4,ALDR,0,0,299,2022-04-09,295
0,ALDR,0,0,214,2022-04-10,214
6,ALDR,0,3,444,2022-04-11,435
0,ALDR,0,0,376,2022-04-12,376
3,ALDR,0,0,311,2022-04-13,308
1,ALDR,0,0,372,2022-04-14,371
3,ALDR,0,0,550,2022-04-15,547
3,ALDR,0,0,328,2022-04-16,325
0,ALDR,0,0,258,2022-04-17,258
0,ALDR,0,0,329,2022-04-18,329
0,ALDR,0,0,430,2022-04-19,430
