anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,25,2022-06-03,25
0,ALDR,0,0,32,2022-06-15,32
0,ALDR,0,0,21,2022-06-17,21
0,ALDR,0,0,7,2022-06-21,7
0,ALDR,0,0,4,2022-06-24,4
0,ALDR,0,0,21,2022-06-27,21
0,ALDR,0,0,25,2022-06-28,25
0,ALDR,0,0,33,2022-06-30,33
0,ALDR,0,0,6,2022-07-05,6
0,ALDR,0,0,30,2022-08-12,30
0,ALDR,0,0,2,2022-08-13,2
0,ALDR,0,0,39,2022-10-27,39
0,ALDR,0,0,15,2022-10-28,15
1,ALDR,0,0,2,2022-10-29,1
0,ANON,0,0,25,2022-05-26,25
0,ANON,0,0,60,2022-05-27,60
0,ANON,0,0,9,2022-05-28,9
0,ANON,0,0,26,2022-06-03,26
0,ANON,0,0,60,2022-06-04,60
0,ANON,0,1,91,2022-06-05,90
0,ANON,0,0,12,2022-06-06,12
0,ANON,0,0,2,2022-06-08,2
0,ANON,0,0,1,2022-06-10,1
0,ANON,0,0,4,2022-06-12,4
0,ANON,0,0,56,2022-06-14,56
7,ANON,0,1,117,2022-06-15,109
0,ANON,0,0,22,2022-06-16,22
0,ANON,0,0,1,2022-06-18,1
1,ANON,0,0,12,2022-06-21,11
0,ANON,0,0,11,2022-06-24,11
0,ANON,0,0,76,2022-06-26,76
0,ANON,0,0,62,2022-06-27,62
4,ANON,0,0,119,2022-06-28,115
0,ANON,0,0,80,2022-06-29,80
5,ANON,0,0,149,2022-06-30,144
0,ANON,0,0,22,2022-07-01,22
3,ANON,0,0,8,2022-07-05,5
0,ANON,0,0,22,2022-07-07,22
0,ANON,0,0,10,2022-07-08,10
0,ANON,0,0,30,2022-07-09,30
4,ANON,0,0,79,2022-07-14,75
2,ANON,0,0,76,2022-07-15,74
0,ANON,0,0,8,2022-07-17,8
3,ANON,0,0,36,2022-07-18,33
0,ANON,0,0,1,2022-07-22,1
0,ANON,0,0,7,2022-07-23,7
1,ANON,0,0,19,2022-07-24,18
1,ANON,0,0,38,2022-07-25,37
0,ANON,0,0,12,2022-07-26,12
2,ANON,0,0,32,2022-07-28,30
1,ANON,0,0,20,2022-07-30,19
0,ANON,0,0,21,2022-07-31,21
1,ANON,0,0,17,2022-08-01,16
0,ANON,0,0,15,2022-08-03,15
1,ANON,0,0,31,2022-08-06,30
0,ANON,0,0,6,2022-08-07,6
1,ANON,0,1,93,2022-08-08,91
0,ANON,0,0,26,2022-08-09,26
2,ANON,0,0,10,2022-08-13,8
1,ANON,0,0,22,2022-08-15,21
1,ANON,0,0,36,2022-08-16,35
1,ANON,0,0,16,2022-08-17,15
3,ANON,0,3,49,2022-08-19,43
0,ANON,0,0,7,2022-08-20,7
0,ANON,0,2,20,2022-08-21,18
0,ANON,0,0,8,2022-08-22,8
1,ANON,0,1,12,2022-08-25,10
1,ANON,0,1,10,2022-08-26,8
2,ANON,0,3,57,2022-08-28,52
0,ANON,0,0,5,2022-08-29,5
0,ANON,0,0,5,2022-08-30,5
2,ANON,0,4,51,2022-09-01,45
1,ANON,0,0,20,2022-09-02,19
1,ANON,0,0,30,2022-09-03,29
1,ANON,0,1,12,2022-09-04,10
2,ANON,0,4,107,2022-09-07,101
2,ANON,0,0,7,2022-10-03,5
