anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,49,2022-01-01,49
0,ALDR,0,2,21,2022-01-03,19
0,ALDR,0,0,8,2022-01-04,8
0,ALDR,0,1,45,2022-01-05,44
2,ALDR,0,1,39,2022-01-06,36
0,ALDR,0,0,9,2022-01-07,9
1,ALDR,0,0,22,2022-01-09,21
0,ALDR,0,0,45,2022-01-11,45
0,ALDR,0,1,8,2022-01-12,7
1,ALDR,0,0,33,2022-01-13,32
0,ALDR,0,1,55,2022-01-14,54
2,ALDR,0,0,26,2022-01-15,24
1,ALDR,0,0,19,2022-01-16,18
2,ALDR,0,0,31,2022-01-17,29
0,ALDR,0,0,35,2022-01-18,35
0,ALDR,0,0,45,2022-01-19,45
0,ALDR,0,0,3,2022-01-20,3
6,ALDR,0,2,30,2022-01-21,22
5,ALDR,0,7,51,2022-01-22,39
2,ALDR,0,0,12,2022-01-23,10
0,ALDR,0,0,1,2022-01-24,1
1,ALDR,0,0,29,2022-01-25,28
0,ALDR,0,1,37,2022-01-26,36
0,ALDR,0,1,29,2022-01-27,28
0,ALDR,0,0,12,2022-01-28,12
5,ALDR,0,1,40,2022-01-29,34
0,ALDR,0,0,37,2022-01-30,37
5,ALDR,0,0,35,2022-01-31,30
0,ALDR,0,0,22,2022-02-01,22
0,ALDR,0,0,10,2022-02-02,10
0,ALDR,0,0,35,2022-02-03,35
0,ALDR,0,0,62,2022-02-04,62
0,ALDR,0,0,8,2022-02-05,8
0,ALDR,0,0,41,2022-02-06,41
3,ALDR,0,2,58,2022-02-07,53
1,ALDR,0,0,10,2022-02-08,9
0,ALDR,0,0,54,2022-02-09,54
0,ALDR,0,0,20,2022-02-10,20
1,ALDR,0,0,59,2022-02-11,58
1,ALDR,0,2,39,2022-02-12,36
0,ALDR,0,0,11,2022-02-13,11
0,ALDR,0,1,28,2022-02-14,27
0,ALDR,0,6,68,2022-02-15,62
1,ALDR,0,0,44,2022-02-16,43
4,ALDR,0,0,51,2022-02-17,47
2,ALDR,0,0,24,2022-02-18,22
11,ALDR,0,0,26,2022-02-19,15
0,ALDR,0,1,36,2022-02-20,35
0,ALDR,0,0,8,2022-02-21,8
6,ALDR,0,0,45,2022-02-22,39
0,ALDR,0,0,66,2022-02-23,66
0,ALDR,0,0,3,2022-02-24,3
2,ALDR,0,0,33,2022-02-25,31
2,ALDR,0,1,16,2022-02-26,13
2,ALDR,0,0,59,2022-02-27,57
0,ALDR,0,4,50,2022-02-28,46
0,ALDR,0,0,39,2022-03-01,39
0,ALDR,0,1,25,2022-03-02,24
0,ALDR,0,3,51,2022-03-03,48
0,ALDR,0,0,6,2022-03-04,6
0,ALDR,0,0,29,2022-03-05,29
0,ALDR,0,0,4,2022-03-06,4
6,ALDR,0,13,52,2022-03-07,33
2,ALDR,0,0,23,2022-03-08,21
