anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,46,2022-01-01,46
0,ALDR,0,0,11,2022-01-02,11
1,ALDR,0,0,24,2022-01-03,23
0,ALDR,0,0,15,2022-01-08,15
0,ALDR,0,0,22,2022-01-09,22
0,ALDR,0,0,35,2022-01-10,35
0,ALDR,0,0,24,2022-01-12,24
0,ALDR,0,0,24,2022-01-13,24
0,ALDR,0,0,24,2022-01-14,24
0,ALDR,0,0,13,2022-01-17,13
0,ALDR,0,0,59,2022-01-18,59
0,ALDR,0,0,24,2022-01-20,24
0,ALDR,0,0,24,2022-01-21,24
0,ALDR,0,0,24,2022-01-26,24
0,ALDR,0,0,15,2022-01-28,15
0,ALDR,0,0,33,2022-01-29,33
0,ALDR,0,0,24,2022-01-30,24
0,ALDR,0,0,24,2022-01-31,24
0,ALDR,0,0,24,2022-02-01,24
0,ALDR,0,0,39,2022-02-05,39
0,ALDR,0,0,9,2022-02-06,9
0,ALDR,0,0,24,2022-02-12,24
0,ALDR,0,0,1,2022-02-13,1
0,ALDR,0,0,47,2022-02-14,47
0,ALDR,0,0,24,2022-02-15,24
0,ALDR,0,0,24,2022-02-19,24
0,ALDR,0,0,25,2022-02-21,25
0,ALDR,0,0,25,2022-02-22,25
0,ALDR,0,0,30,2022-02-23,30
0,ALDR,0,0,21,2022-03-01,21
0,ALDR,0,0,24,2022-03-02,24
0,ALDR,0,0,55,2022-03-03,55
0,ALDR,0,1,46,2022-03-09,45
0,ALDR,0,0,37,2022-03-10,37
0,ALDR,0,0,17,2022-03-11,17
0,ALDR,0,0,25,2022-03-12,25
0,ALDR,0,0,46,2022-03-17,46
0,ALDR,0,0,23,2022-03-18,23
0,ALDR,0,0,31,2022-03-19,31
0,ALDR,0,0,34,2022-03-25,34
0,ALDR,0,0,11,2022-03-26,11
0,ALDR,0,0,3,2022-03-27,3
0,ALDR,0,0,8,2022-03-28,8
0,ALDR,0,0,19,2022-03-29,19
0,ALDR,0,0,1,2022-04-02,1
0,ALDR,0,0,13,2022-04-03,13
0,ALDR,0,0,9,2022-04-04,9
0,ALDR,0,0,22,2022-04-05,22
0,ALDR,0,0,11,2022-04-06,11
0,ALDR,0,0,8,2022-04-11,8
0,ALDR,0,0,9,2022-04-12,9
0,ALDR,0,0,2,2022-04-13,2
0,ALDR,0,0,6,2022-04-14,6
0,ALDR,0,0,25,2022-04-18,25
0,ALDR,0,0,8,2022-04-19,8
0,ALDR,0,0,11,2022-04-21,11
0,ALDR,0,0,6,2022-04-22,6
0,ALDR,0,0,8,2022-04-28,8
0,ALDR,0,0,11,2022-04-29,11
0,ALDR,0,0,6,2022-04-30,6
0,ALDR,0,0,8,2022-05-06,8
0,ALDR,0,0,11,2022-05-07,11
0,ALDR,0,0,6,2022-05-08,6
0,ALDR,0,4,8,2022-05-14,4
0,ALDR,0,0,7,2022-05-15,7
1,ALDR,0,0,32,2022-07-15,31
0,ALDR,0,0,32,2022-07-17,32
0,ALDR,0,0,32,2022-07-18,32
0,ALDR,0,0,4,2022-07-19,4
0,ALDR,0,0,28,2022-07-20,28
0,ALDR,0,0,32,2022-07-21,32
0,ALDR,0,0,32,2022-07-23,32
0,ALDR,0,0,32,2022-07-24,32
0,ALDR,0,0,32,2022-07-27,32
0,ALDR,0,0,41,2022-07-29,41
0,ALDR,0,0,8,2022-07-30,8
0,ALDR,0,0,29,2022-07-31,29
0,ALDR,0,0,32,2022-08-02,32
1,ALDR,0,0,80,2022-08-04,79
0,ALDR,0,0,3,2022-08-05,3
1,ALDR,0,0,26,2022-08-14,25
0,ALDR,0,0,14,2022-08-15,14
0,ALDR,0,1,123,2022-08-17,122
0,ALDR,0,0,19,2022-08-18,19
1,ALDR,0,1,37,2022-08-25,35
0,ALDR,0,1,125,2022-08-29,124
0,ALDR,0,0,64,2022-08-30,64
1,ALDR,0,0,36,2022-09-01,35
2,ALDR,0,1,81,2022-09-03,78
0,ALDR,0,0,6,2022-09-04,6
0,ALDR,0,0,32,2022-09-05,32
0,ALDR,0,0,4,2022-09-06,4
1,ALDR,0,0,37,2022-09-13,36
0,ALDR,0,0,5,2022-09-17,5
4,ALDR,0,0,99,2022-09-19,95
0,ALDR,0,0,12,2022-09-20,12
1,ALDR,0,0,34,2022-09-23,33
0,ALDR,0,0,2,2022-09-24,2
0,ALDR,0,0,20,2022-09-25,20
0,ALDR,0,0,2,2022-09-26,2
1,ALDR,0,0,40,2022-09-29,39
1,ALDR,0,1,70,2022-10-02,68
0,ALDR,0,0,6,2022-10-03,6
1,ALDR,0,0,27,2022-10-07,26
0,ALDR,0,0,17,2022-10-08,17
0,ALDR,0,11,267,2022-10-11,256
0,ALDR,0,5,62,2022-10-12,57
0,ALDR,0,1,37,2022-10-15,36
0,ALDR,0,1,66,2022-10-17,65
0,ALDR,0,1,9,2022-10-22,8
0,ALDR,0,2,44,2022-10-23,42
0,ALDR,0,1,57,2022-10-29,56
0,ALDR,0,0,17,2022-10-31,17
0,ALDR,0,0,38,2022-11-01,38
0,ALDR,0,0,2,2022-11-02,2
0,ALDR,0,0,41,2022-11-03,41
0,ALDR,0,0,34,2022-11-07,34
0,ALDR,0,0,24,2022-11-08,24
0,ALDR,0,2,111,2022-11-09,109
0,ALDR,0,0,8,2022-11-10,8
0,ALDR,0,0,17,2022-11-12,17
0,ALDR,0,0,10,2022-11-13,10
0,ALDR,0,0,69,2022-11-14,69
0,ALDR,0,0,5,2022-11-15,5
0,ALDR,0,0,2,2022-11-16,2
0,ALDR,0,0,17,2022-11-17,17
0,ALDR,0,0,20,2022-11-18,20
0,ALDR,0,0,30,2022-11-21,30
0,ALDR,0,0,7,2022-11-22,7
0,ALDR,0,0,11,2022-11-23,11
0,ALDR,0,0,167,2022-11-24,167
0,ALDR,0,0,41,2022-11-27,41
0,ALDR,0,0,37,2022-11-29,37
0,ALDR,0,0,37,2022-12-02,37
0,ALDR,0,0,37,2022-12-07,37
0,ALDR,0,0,5,2022-12-09,5
0,ALDR,0,0,28,2022-12-10,28
0,ALDR,0,0,215,2022-12-11,215
0,ALDR,0,0,37,2022-12-12,37
0,ALDR,0,0,75,2022-12-16,75
0,ALDR,0,0,1,2022-12-22,1
0,ALDR,0,0,52,2022-12-23,52
0,ALDR,0,0,56,2022-12-25,56
0,ALDR,0,0,37,2022-12-27,37
0,ALDR,0,0,9,2022-12-28,9
0,ALDR,0,0,75,2022-12-29,75
0,ANON,0,0,91,2022-01-01,91
0,ANON,0,0,14,2022-01-02,14
0,ANON,0,0,72,2022-01-03,72
0,ANON,0,0,2,2022-01-04,2
0,ANON,0,0,1,2022-01-05,1
0,ANON,0,0,41,2022-01-06,41
2,ANON,0,0,175,2022-01-07,173
0,ANON,0,0,106,2022-01-08,106
0,ANON,0,0,20,2022-01-09,20
1,ANON,0,0,17,2022-01-10,16
7,ANON,0,0,63,2022-01-11,56
4,ANON,0,0,125,2022-01-12,121
7,ANON,0,0,170,2022-01-13,163
3,ANON,0,0,124,2022-01-14,121
8,ANON,0,0,175,2022-01-15,167
4,ANON,0,0,26,2022-01-16,22
