anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,2,2022-01-02,2
0,ALDR,0,0,2,2022-01-03,2
0,ALDR,0,0,6,2022-01-05,6
0,ALDR,0,0,9,2022-01-07,9
0,ALDR,0,0,5,2022-01-09,5
0,ALDR,0,0,10,2022-01-14,10
1,ALDR,0,0,9,2022-01-15,8
0,ALDR,0,0,5,2022-01-17,5
0,ALDR,0,0,24,2022-01-21,24
0,ALDR,0,0,19,2022-01-23,19
0,ALDR,0,0,5,2022-01-30,5
0,ALDR,0,0,19,2022-02-02,19
0,ALDR,0,0,24,2022-02-14,24
0,ALDR,0,0,24,2022-03-05,24
0,ALDR,0,0,1,2022-03-09,1
0,ALDR,0,0,6,2022-03-14,6
0,ALDR,0,0,18,2022-03-15,18
0,ALDR,0,0,1,2022-03-17,1
2,ALDR,0,0,24,2022-03-23,22
0,ALDR,0,0,1,2022-03-26,1
0,ALDR,0,0,25,2022-03-27,25
0,ALDR,0,0,24,2022-03-31,24
2,ALDR,0,0,25,2022-04-02,23
0,ALDR,0,0,1,2022-04-03,1
1,ALDR,0,0,19,2022-04-05,18
0,ALDR,0,0,6,2022-04-06,6
1,ALDR,0,0,25,2022-04-07,24
0,ALDR,0,0,33,2022-04-08,33
0,ALDR,0,0,16,2022-04-10,16
0,ALDR,0,0,1,2022-04-11,1
0,ALDR,0,0,44,2022-04-13,44
0,ALDR,0,0,6,2022-04-14,6
1,ALDR,0,0,27,2022-04-15,26
0,ALDR,0,0,9,2022-04-16,9
0,ALDR,0,0,14,2022-04-18,14
0,ALDR,0,0,8,2022-04-21,8
0,ALDR,0,0,25,2022-05-02,25
0,ALDR,0,0,25,2022-05-04,25
0,ALDR,0,0,25,2022-05-06,25
1,ALDR,0,0,34,2022-05-08,33
1,ALDR,0,0,41,2022-05-10,40
0,ALDR,0,0,50,2022-05-12,50
0,ALDR,0,0,20,2022-05-13,20
0,ALDR,0,0,7,2022-05-14,7
