anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
10,ANON,0,0,49,2022-04-16,39
10,ANON,0,2,15,2022-09-08,3
0,ANON,0,1,1,2022-09-09,0
18,ANON,0,19,137,2022-09-10,100
18,ANON,0,19,160,2022-09-11,123
0,COMT,0,0,6,2022-04-02,6
0,COMT,0,0,6,2022-04-16,6
0,COMT,0,0,6,2022-08-10,6
0,COMT,0,0,5,2022-08-27,5
0,COMT,0,0,7,2022-09-08,7
0,COMT,0,0,6,2022-09-24,6
0,COMT,0,0,6,2022-11-20,6
0,CULTR,0,0,1,2022-04-16,1
1,GRP,0,0,8,2022-04-02,7
11,GRP,0,2,64,2022-04-16,51
1,GRP,0,0,2,2022-04-17,1
4,GRP,0,0,15,2022-08-10,11
1,GRP,0,0,2,2022-08-27,1
2,GRP,0,0,85,2022-09-08,83
2,GRP,0,0,3,2022-09-09,1
0,GRP,0,0,15,2022-09-10,15
3,GRP,0,0,16,2022-09-11,13
4,GRP,0,0,14,2022-09-24,10
1,GRP,0,0,8,2022-11-20,7
0,HOST,0,0,1,2022-04-16,1
0,HOST,0,0,1,2022-09-08,1
1,HUMR,0,0,53,2022-04-16,52
0,HUMR,0,0,1,2022-04-17,1
0,HUMR,0,0,4,2022-09-08,4
0,HUMR,0,0,80,2022-09-10,80
0,HUMR,0,0,70,2022-09-11,70
2,LGBT,0,0,36,2022-04-16,34
0,LGBT,0,0,4,2022-09-08,4
5,LGBT,0,0,87,2022-09-10,82
4,LGBT,0,0,69,2022-09-11,65
1,MMED,0,0,3,2022-04-02,2
4,MMED,0,0,9,2022-04-16,5
1,MMED,0,0,2,2022-04-17,1
1,MMED,0,0,3,2022-08-10,2
1,MMED,0,0,3,2022-08-27,2
1,MMED,0,0,7,2022-09-08,6
1,MMED,0,0,2,2022-09-09,1
0,MMED,0,0,10,2022-09-10,10
2,MMED,0,0,12,2022-09-11,10
1,MMED,0,0,3,2022-09-24,2
1,MMED,0,0,3,2022-11-20,2
0,NEWS,0,0,1,2022-04-02,1
2,NEWS,0,0,45,2022-04-16,43
0,NEWS,0,0,1,2022-08-10,1
0,NEWS,0,0,1,2022-08-27,1
0,NEWS,0,0,3,2022-09-08,3
0,NEWS,0,0,40,2022-09-10,40
0,NEWS,0,0,48,2022-09-11,48
0,NEWS,0,0,1,2022-09-24,1
0,NEWS,0,0,1,2022-11-20,1
0,POLR,0,0,6,2022-04-16,6
0,POLR,0,1,36,2022-09-10,35
0,POLR,0,2,35,2022-09-11,33
0,PORN,0,0,1,2022-04-16,1
0,REL,0,0,2,2022-04-16,2
