anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,25,2022-01-01,25
0,ALDR,0,0,72,2022-01-02,72
1,ALDR,0,2,151,2022-01-03,148
0,ALDR,0,0,62,2022-01-04,62
0,ALDR,0,0,25,2022-01-05,25
0,ALDR,0,1,34,2022-01-06,33
1,ALDR,0,1,114,2022-01-07,112
0,ALDR,0,1,69,2022-01-08,68
0,ALDR,0,0,10,2022-01-09,10
0,ALDR,0,0,87,2022-01-10,87
0,ALDR,0,0,152,2022-01-11,152
0,ALDR,0,0,88,2022-01-12,88
0,ALDR,0,0,43,2022-01-13,43
0,ALDR,0,0,36,2022-01-14,36
0,ALDR,0,0,99,2022-01-15,99
1,ALDR,0,0,74,2022-01-16,73
0,ALDR,0,0,18,2022-01-17,18
8,ALDR,0,0,96,2022-01-18,88
0,ALDR,0,0,145,2022-01-19,145
2,ALDR,0,0,79,2022-01-20,77
0,ALDR,0,0,42,2022-01-21,42
0,ALDR,0,0,35,2022-01-22,35
0,ALDR,0,0,114,2022-01-23,114
0,ALDR,0,0,58,2022-01-24,58
0,ALDR,0,0,5,2022-01-25,5
0,ALDR,0,1,55,2022-01-26,54
0,ALDR,0,3,125,2022-01-27,122
0,ALDR,0,0,70,2022-01-28,70
0,ALDR,0,0,24,2022-01-29,24
0,ALDR,0,0,40,2022-01-30,40
0,ALDR,0,1,103,2022-01-31,102
0,ALDR,0,0,58,2022-02-01,58
0,ALDR,0,0,5,2022-02-02,5
0,ALDR,0,0,55,2022-02-03,55
0,ALDR,0,1,131,2022-02-04,130
0,ALDR,0,0,72,2022-02-05,72
0,ALDR,0,0,40,2022-02-06,40
0,ALDR,0,1,29,2022-02-07,28
0,ALDR,0,0,127,2022-02-08,127
0,ALDR,0,0,50,2022-02-09,50
0,ALDR,0,0,24,2022-02-10,24
0,ALDR,0,0,79,2022-02-11,79
0,ALDR,0,0,131,2022-02-12,131
1,ALDR,0,3,72,2022-02-13,68
0,ALDR,0,0,40,2022-02-14,40
0,ALDR,0,0,53,2022-02-15,53
0,ALDR,0,1,127,2022-02-16,126
0,ALDR,0,0,57,2022-02-17,57
0,ALDR,0,1,33,2022-02-18,32
0,ALDR,0,0,70,2022-02-19,70
0,ALDR,0,2,156,2022-02-20,154
0,ALDR,0,0,55,2022-02-21,55
0,ALDR,0,0,56,2022-02-22,56
1,ALDR,0,1,47,2022-02-23,45
0,ALDR,0,0,127,2022-02-24,127
0,ALDR,0,0,65,2022-02-25,65
0,ALDR,0,0,25,2022-02-26,25
0,ALDR,0,1,70,2022-02-27,69
0,ALDR,0,0,169,2022-02-28,169
0,ALDR,0,0,68,2022-03-01,68
0,ALDR,0,0,79,2022-03-02,79
0,ALDR,0,0,84,2022-03-03,84
1,ALDR,0,0,116,2022-03-04,115
0,ALDR,0,0,102,2022-03-05,102
0,ALDR,0,0,51,2022-03-06,51
0,ALDR,0,2,60,2022-03-07,58
1,ALDR,0,1,196,2022-03-08,194
0,ALDR,0,0,73,2022-03-09,73
0,ALDR,0,0,46,2022-03-10,46
0,ALDR,0,0,56,2022-03-11,56
0,ALDR,0,0,141,2022-03-12,141
0,ALDR,0,0,127,2022-03-13,127
0,ALDR,0,0,34,2022-03-14,34
1,ALDR,0,0,84,2022-03-15,83
0,ALDR,0,0,187,2022-03-16,187
0,ALDR,0,0,59,2022-03-17,59
0,ALDR,0,0,69,2022-03-18,69
0,ALDR,0,0,56,2022-03-19,56
0,ALDR,0,0,134,2022-03-20,134
1,ALDR,0,0,81,2022-03-21,80
0,ALDR,0,1,18,2022-03-22,17
0,ALDR,0,0,21,2022-03-23,21
0,ALDR,0,1,165,2022-03-24,164
0,ALDR,0,0,59,2022-03-25,59
0,ALDR,0,0,44,2022-03-26,44
0,ALDR,0,0,56,2022-03-27,56
0,ALDR,0,2,120,2022-03-28,118
0,ALDR,0,0,98,2022-03-29,98
0,ALDR,0,0,30,2022-03-30,30
0,ALDR,0,1,55,2022-03-31,54
0,ALDR,0,5,171,2022-04-01,166
0,ALDR,0,1,45,2022-04-02,44
0,ALDR,0,0,86,2022-04-03,86
0,ALDR,0,0,47,2022-04-04,47
0,ALDR,0,0,139,2022-04-05,139
0,ALDR,0,2,130,2022-04-06,128
0,ALDR,0,0,13,2022-04-07,13
0,ALDR,0,0,39,2022-04-08,39
0,ALDR,0,0,152,2022-04-09,152
1,ALDR,0,0,83,2022-04-10,82
0,ALDR,0,0,56,2022-04-11,56
0,ALDR,0,0,48,2022-04-12,48
1,ALDR,0,0,131,2022-04-13,130
0,ALDR,0,0,133,2022-04-14,133
2,ALDR,0,0,19,2022-04-15,17
0,ALDR,0,0,98,2022-04-16,98
0,ALDR,0,0,165,2022-04-17,165
0,ALDR,0,0,52,2022-04-18,52
0,ALDR,0,0,79,2022-04-19,79
2,ALDR,0,0,73,2022-04-20,71
2,ALDR,0,0,133,2022-04-21,131
0,ALDR,0,0,131,2022-04-22,131
0,ALDR,0,0,24,2022-04-23,24
0,ALDR,0,0,76,2022-04-24,76
0,ALDR,0,27,182,2022-04-25,155
0,ALDR,0,0,37,2022-04-26,37
0,ALDR,0,0,56,2022-04-27,56
0,ALDR,0,1,63,2022-04-28,62
0,ALDR,0,0,137,2022-04-29,137
0,ALDR,0,0,140,2022-04-30,140
0,ALDR,0,0,21,2022-05-01,21
0,ALDR,0,0,46,2022-05-02,46
1,ALDR,0,0,191,2022-05-03,190
0,ALDR,0,0,22,2022-05-04,22
0,ALDR,0,0,58,2022-05-05,58
0,ALDR,0,0,58,2022-05-06,58
0,ALDR,0,0,144,2022-05-07,144
0,ALDR,0,0,113,2022-05-08,113
0,ALDR,0,0,20,2022-05-09,20
0,ALDR,0,0,46,2022-05-10,46
0,ALDR,0,0,189,2022-05-11,189
0,ALDR,0,0,76,2022-05-12,76
0,ALDR,0,0,56,2022-05-13,56
1,ALDR,0,0,101,2022-05-14,100
0,ALDR,0,0,125,2022-05-15,125
0,ALDR,0,0,148,2022-05-16,148
2,ALDR,0,0,20,2022-05-17,18
0,ALDR,0,0,61,2022-05-18,61
0,ALDR,0,0,204,2022-05-19,204
0,ALDR,0,0,66,2022-05-20,66
0,ALDR,0,0,52,2022-05-21,52
0,ALDR,0,0,99,2022-05-22,99
1,ALDR,0,0,129,2022-05-23,128
0,ALDR,0,0,146,2022-05-24,146
0,ALDR,0,0,26,2022-05-25,26
0,ALDR,0,0,92,2022-05-26,92
1,ALDR,0,0,200,2022-05-27,199
1,ALDR,0,0,60,2022-05-28,59
0,ALDR,0,0,68,2022-05-29,68
3,ALDR,0,0,79,2022-05-30,76
4,ALDR,0,0,132,2022-05-31,128
1,ALDR,0,1,125,2022-06-01,123
1,ALDR,0,0,25,2022-06-02,24
0,ALDR,0,0,55,2022-06-03,55
4,ALDR,0,1,171,2022-06-04,166
0,ALDR,0,0,76,2022-06-05,76
0,ALDR,0,0,91,2022-06-06,91
2,ALDR,0,0,41,2022-06-07,39
0,ALDR,0,0,101,2022-06-08,101
1,ALDR,0,1,141,2022-06-09,139
1,ALDR,0,0,24,2022-06-10,23
0,ALDR,0,0,316,2022-06-11,316
5,ALDR,0,1,171,2022-06-12,165
2,ALDR,0,0,91,2022-06-13,89
0,ALDR,0,0,85,2022-06-14,85
0,ALDR,0,0,47,2022-06-15,47
1,ALDR,0,0,153,2022-06-16,152
0,ALDR,0,1,141,2022-06-17,140
1,ALDR,0,0,54,2022-06-18,53
0,ALDR,0,0,304,2022-06-19,304
0,ALDR,0,1,138,2022-06-20,137
0,ALDR,0,0,120,2022-06-21,120
0,ALDR,0,0,193,2022-06-22,193
0,ALDR,0,0,112,2022-06-23,112
0,ALDR,0,0,137,2022-06-24,137
2,ALDR,0,0,147,2022-06-25,145
0,ALDR,0,0,35,2022-06-26,35
0,ALDR,0,0,93,2022-06-27,93
1,ALDR,0,1,71,2022-06-28,69
1,ALDR,0,0,55,2022-06-29,54
1,ALDR,0,0,56,2022-06-30,55
0,ALDR,0,1,24,2022-07-01,23
0,ALDR,0,0,60,2022-07-02,60
0,ALDR,0,0,53,2022-07-03,53
1,ALDR,0,0,64,2022-07-04,63
0,ALDR,0,0,91,2022-07-05,91
0,ALDR,0,0,32,2022-07-06,32
0,ALDR,0,0,96,2022-07-07,96
0,ALDR,0,1,98,2022-07-08,97
0,ALDR,0,0,46,2022-07-09,46
0,ALDR,0,0,73,2022-07-10,73
0,ALDR,0,0,91,2022-07-11,91
0,ALDR,0,0,112,2022-07-12,112
0,ALDR,0,1,63,2022-07-13,62
0,ALDR,0,0,33,2022-07-14,33
0,ALDR,0,1,54,2022-07-15,53
0,ALDR,0,0,60,2022-07-16,60
0,ALDR,0,0,95,2022-07-17,95
0,ALDR,0,0,49,2022-07-18,49
0,ALDR,0,0,64,2022-07-19,64
2,ALDR,0,0,79,2022-07-20,77
0,ALDR,0,1,32,2022-07-21,31
1,ALDR,0,0,128,2022-07-22,127
1,ALDR,0,0,128,2022-07-23,127
0,ALDR,0,0,42,2022-07-24,42
0,ALDR,0,0,49,2022-07-25,49
0,ALDR,0,0,25,2022-07-26,25
0,ALDR,0,0,44,2022-07-27,44
0,ALDR,0,0,49,2022-07-28,49
0,ALDR,0,0,103,2022-07-29,103
0,ALDR,0,0,72,2022-07-30,72
0,ALDR,0,0,75,2022-07-31,75
1,ALDR,0,0,96,2022-08-01,95
0,ALDR,0,0,121,2022-08-02,121
0,ALDR,0,0,78,2022-08-03,78
0,ALDR,0,0,58,2022-08-04,58
0,ALDR,0,0,26,2022-08-05,26
0,ALDR,0,0,94,2022-08-06,94
0,ALDR,0,0,62,2022-08-07,62
0,ALDR,0,0,82,2022-08-09,82
0,ALDR,0,0,91,2022-08-10,91
0,ALDR,0,0,32,2022-08-11,32
0,ALDR,0,0,11,2022-08-12,11
0,ALDR,0,0,73,2022-08-13,73
0,ALDR,0,0,3,2022-08-14,3
16,ALDR,0,0,172,2022-08-15,156
9,ALDR,0,0,106,2022-08-16,97
15,ALDR,0,1,86,2022-08-18,70
0,ALDR,0,1,9,2022-08-19,8
3,ALDR,0,3,53,2022-08-20,47
2,ALDR,0,4,118,2022-08-21,112
0,ALDR,0,1,75,2022-08-22,74
0,ALDR,0,0,31,2022-08-23,31
0,ALDR,0,2,35,2022-08-24,33
0,ALDR,0,1,61,2022-08-25,60
0,ALDR,0,3,74,2022-08-27,71
0,ALDR,0,6,71,2022-08-28,65
0,ALDR,0,1,32,2022-08-29,31
0,ALDR,0,1,39,2022-08-30,38
1,ALDR,0,0,84,2022-08-31,83
1,ALDR,0,0,32,2022-09-01,31
0,ALDR,0,1,33,2022-09-03,32
1,ALDR,0,0,32,2022-09-05,31
1,ALDR,0,1,32,2022-09-06,30
0,ALDR,0,2,68,2022-09-07,66
1,ALDR,0,0,32,2022-09-09,31
0,ALDR,0,2,27,2022-09-10,25
0,ALDR,0,1,13,2022-09-11,12
0,ALDR,0,1,14,2022-09-12,13
2,ALDR,0,0,46,2022-09-13,44
0,ALDR,0,2,16,2022-09-15,14
0,ALDR,0,0,51,2022-09-16,51
0,ALDR,0,0,23,2022-09-17,23
1,ALDR,0,0,41,2022-09-18,40
0,ALDR,0,1,27,2022-09-19,26
2,ALDR,0,0,64,2022-09-20,62
3,ALDR,0,1,127,2022-09-21,123
1,ALDR,0,0,61,2022-09-22,60
2,ALDR,0,0,43,2022-09-23,41
2,ALDR,0,2,63,2022-09-24,59
0,ALDR,0,0,33,2022-09-25,33
3,ALDR,0,1,83,2022-09-26,79
2,ALDR,0,1,116,2022-09-27,113
0,ALDR,0,1,59,2022-09-29,58
1,ALDR,0,1,62,2022-09-30,60
0,ALDR,0,0,40,2022-10-01,40
1,ALDR,0,0,44,2022-10-02,43
1,ALDR,0,0,34,2022-10-03,33
1,ALDR,0,0,38,2022-10-05,37
2,ALDR,0,1,74,2022-10-06,71
1,ALDR,0,0,39,2022-10-07,38
3,ALDR,0,2,145,2022-10-09,140
0,ALDR,0,1,57,2022-10-10,56
0,ALDR,0,0,4,2022-10-12,4
0,ALDR,0,3,58,2022-10-13,55
0,ALDR,0,1,41,2022-10-14,40
1,ALDR,0,1,37,2022-10-15,35
1,ALDR,0,2,74,2022-10-16,71
0,ALDR,0,1,81,2022-10-17,80
0,ALDR,0,0,2,2022-10-18,2
1,ALDR,0,3,111,2022-10-19,107
0,ALDR,0,1,37,2022-10-20,36
0,ALDR,0,1,24,2022-10-21,23
0,ALDR,0,0,13,2022-10-22,13
0,ALDR,0,1,37,2022-10-24,36
0,ALDR,0,0,7,2022-10-25,7
1,ALDR,0,0,39,2022-10-26,38
0,ALDR,0,0,75,2022-10-27,75
0,ALDR,0,0,18,2022-10-28,18
0,ALDR,0,0,41,2022-10-29,41
0,ALDR,0,1,61,2022-10-30,60
2,ALDR,0,0,113,2022-10-31,111
0,ALDR,0,0,40,2022-11-01,40
0,ALDR,0,0,73,2022-11-02,73
0,ALDR,0,0,14,2022-11-04,14
0,ALDR,0,0,45,2022-11-05,45
0,ALDR,0,0,102,2022-11-08,102
0,ALDR,0,0,55,2022-11-10,55
0,ALDR,0,0,109,2022-11-12,109
0,ALDR,0,0,242,2022-11-13,242
0,ALDR,0,0,53,2022-11-16,53
0,ALDR,0,1,61,2022-11-19,60
1,ALDR,0,0,38,2022-11-20,37
0,ALDR,0,0,30,2022-11-21,30
0,ALDR,0,1,66,2022-11-22,65
0,ALDR,0,0,6,2022-11-23,6
0,ALDR,0,0,89,2022-11-24,89
0,ALDR,0,0,100,2022-11-25,100
0,ALDR,0,1,201,2022-11-26,200
0,ALDR,0,0,33,2022-11-27,33
0,ALDR,0,0,4,2022-11-28,4
0,ALDR,0,0,44,2022-11-29,44
0,ALDR,0,1,42,2022-11-30,41
2,ALDR,0,1,323,2022-12-01,320
0,ALDR,0,3,298,2022-12-02,295
0,ALDR,0,2,252,2022-12-03,250
0,ALDR,0,1,4,2022-12-04,3
0,ALDR,0,0,77,2022-12-07,77
0,ALDR,0,0,35,2022-12-08,35
0,ALDR,0,0,104,2022-12-09,104
0,ALDR,0,0,110,2022-12-10,110
0,ALDR,0,0,171,2022-12-11,171
0,ALDR,0,0,101,2022-12-12,101
1,ALDR,0,1,223,2022-12-13,221
0,ALDR,0,1,116,2022-12-14,115
0,ALDR,0,0,55,2022-12-17,55
0,ALDR,0,0,29,2022-12-18,29
0,ALDR,0,0,44,2022-12-19,44
