anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,63,2022-01-01,63
0,ALDR,0,0,62,2022-01-04,62
0,ALDR,0,0,60,2022-01-05,60
0,ALDR,0,0,35,2022-01-06,35
0,ALDR,0,0,41,2022-01-07,41
0,ALDR,0,0,113,2022-01-08,113
0,ALDR,0,0,32,2022-01-09,32
0,ALDR,0,0,56,2022-01-11,56
0,ALDR,0,0,64,2022-01-12,64
0,ALDR,0,0,40,2022-01-13,40
0,ALDR,0,0,53,2022-01-14,53
0,ALDR,0,0,2,2022-01-15,2
0,ALDR,0,0,40,2022-01-16,40
0,ALDR,0,0,1,2022-01-17,1
0,ALDR,0,0,45,2022-01-20,45
0,ALDR,0,0,30,2022-01-21,30
0,ALDR,0,0,56,2022-01-22,56
0,ALDR,0,0,56,2022-01-23,56
11,ALDR,0,0,97,2022-01-24,86
0,ALDR,0,0,58,2022-01-25,58
0,ALDR,0,0,57,2022-01-26,57
0,ALDR,0,0,69,2022-01-28,69
0,ALDR,0,1,63,2022-01-29,62
0,ALDR,0,1,56,2022-01-30,55
0,ALDR,0,0,1,2022-02-01,1
0,ALDR,0,0,1,2022-02-05,1
0,ALDR,0,0,55,2022-02-08,55
0,ALDR,0,0,58,2022-02-09,58
0,ALDR,0,0,57,2022-02-10,57
0,ALDR,0,0,57,2022-02-11,57
0,ALDR,0,0,57,2022-02-12,57
0,ALDR,0,0,1,2022-02-13,1
0,ALDR,0,0,57,2022-02-14,57
0,ALDR,0,0,57,2022-02-15,57
0,ALDR,0,0,55,2022-02-16,55
0,ALDR,0,0,38,2022-02-17,38
0,ALDR,0,0,25,2022-02-18,25
0,ALDR,0,0,52,2022-02-19,52
0,ALDR,0,0,57,2022-02-20,57
0,ALDR,0,0,1,2022-02-21,1
0,ALDR,0,0,63,2022-02-22,63
4,ALDR,0,0,57,2022-02-23,53
0,ALDR,0,0,55,2022-02-24,55
0,ALDR,0,0,38,2022-02-25,38
0,ALDR,0,0,25,2022-02-26,25
0,ALDR,0,0,52,2022-02-27,52
0,ALDR,0,0,58,2022-02-28,58
1,ALDR,0,0,58,2022-03-01,57
0,ALDR,0,0,63,2022-03-02,63
0,ALDR,0,0,57,2022-03-03,57
0,ALDR,0,0,55,2022-03-04,55
0,ALDR,0,0,38,2022-03-05,38
0,ALDR,0,0,25,2022-03-06,25
0,ALDR,0,0,52,2022-03-07,52
0,ALDR,0,0,58,2022-03-08,58
0,ALDR,0,0,58,2022-03-09,58
0,ALDR,0,0,63,2022-03-10,63
0,ALDR,0,0,57,2022-03-11,57
10,ALDR,0,0,55,2022-03-12,45
0,ALDR,0,0,38,2022-03-13,38
0,ALDR,0,0,25,2022-03-14,25
0,ALDR,0,0,52,2022-03-15,52
0,ALDR,0,0,58,2022-03-16,58
0,ALDR,0,0,24,2022-03-17,24
0,ALDR,0,0,39,2022-03-18,39
0,ALDR,0,0,57,2022-03-19,57
0,ALDR,0,0,66,2022-03-20,66
0,ALDR,0,1,31,2022-03-21,30
0,ALDR,0,0,21,2022-03-22,21
0,ALDR,0,0,52,2022-03-23,52
0,ALDR,0,0,58,2022-03-24,58
0,ALDR,0,0,5,2022-03-27,5
0,ALDR,0,0,10,2022-03-28,10
0,ALDR,0,0,87,2022-03-29,87
0,ALDR,0,0,9,2022-03-31,9
0,ALDR,0,0,66,2022-04-01,66
0,ALDR,0,0,55,2022-04-02,55
0,ALDR,0,0,39,2022-04-03,39
0,ALDR,0,0,24,2022-04-04,24
0,ALDR,0,0,10,2022-04-05,10
2,ALDR,0,0,102,2022-04-06,100
0,ALDR,0,0,43,2022-04-07,43
0,ALDR,0,0,48,2022-04-08,48
0,ALDR,0,0,85,2022-04-09,85
0,ALDR,0,0,55,2022-04-10,55
0,ALDR,0,0,39,2022-04-11,39
2,ALDR,0,0,26,2022-04-12,24
0,ALDR,0,0,20,2022-04-13,20
0,ALDR,0,0,91,2022-04-14,91
0,ALDR,0,0,42,2022-04-15,42
0,ALDR,0,0,48,2022-04-16,48
0,ALDR,0,0,144,2022-04-17,144
2,ALDR,0,0,54,2022-04-18,52
0,ALDR,0,0,39,2022-04-19,39
0,ALDR,0,0,26,2022-04-20,26
0,ALDR,0,0,20,2022-04-21,20
