anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,24,2022-01-04,24
0,ALDR,0,0,24,2022-01-05,24
0,ALDR,0,1,24,2022-01-06,23
0,ALDR,0,0,8,2022-01-07,8
0,ALDR,0,0,16,2022-01-08,16
0,ALDR,0,0,24,2022-01-11,24
1,ALDR,0,0,19,2022-06-06,18
0,ALDR,0,0,27,2022-06-07,27
1,ALDR,0,1,16,2022-06-13,14
0,ALDR,0,0,13,2022-06-14,13
0,ALDR,0,0,26,2022-06-15,26
2,ALDR,0,1,88,2022-06-21,85
1,ALDR,0,2,141,2022-06-22,138
2,ALDR,0,1,93,2022-06-23,90
1,ALDR,0,1,147,2022-06-24,145
1,ALDR,0,1,80,2022-06-25,78
1,ALDR,0,1,154,2022-06-27,152
0,ALDR,0,0,38,2022-06-28,38
3,ALDR,0,0,251,2022-06-29,248
2,ALDR,0,1,202,2022-06-30,199
0,ALDR,0,11,222,2022-07-01,211
1,ALDR,0,0,179,2022-07-02,178
0,ALDR,0,1,66,2022-07-03,65
3,ALDR,0,0,124,2022-07-04,121
0,ALDR,0,1,53,2022-07-05,52
3,ALDR,0,2,114,2022-07-07,109
2,ALDR,0,2,110,2022-07-08,106
1,ALDR,0,1,53,2022-07-09,51
0,ALDR,0,1,3,2022-07-10,2
2,ALDR,0,1,97,2022-07-11,94
0,ALDR,0,1,53,2022-07-12,52
0,ALDR,0,0,2,2022-07-13,2
0,ALDR,0,1,106,2022-07-14,105
1,ALDR,0,0,53,2022-07-15,52
2,ALDR,0,0,42,2022-07-16,40
0,ALDR,0,0,16,2022-07-17,16
1,ALDR,0,1,91,2022-07-18,89
0,ALDR,0,0,36,2022-07-19,36
2,ALDR,0,1,106,2022-07-20,103
0,ALDR,0,1,53,2022-07-22,52
1,ALDR,0,0,53,2022-07-23,52
3,ALDR,0,1,106,2022-07-26,102
0,ALDR,0,1,53,2022-07-27,52
2,ALDR,0,1,53,2022-07-29,50
2,ALDR,0,0,84,2022-08-02,82
0,ALDR,0,0,22,2022-08-03,22
1,ALDR,0,0,53,2022-08-06,52
1,ALDR,0,0,53,2022-08-08,52
1,ALDR,0,0,86,2022-08-10,85
3,ALDR,0,0,37,2022-08-11,34
0,ALDR,0,0,37,2022-08-15,37
1,ALDR,0,0,80,2022-08-16,79
2,ALDR,0,1,53,2022-08-19,50
1,ALDR,0,4,56,2022-08-27,51
1,ALDR,0,0,10,2022-08-31,9
0,ALDR,0,3,68,2022-09-02,65
3,ALDR,0,5,38,2022-09-05,30
2,ALDR,0,3,59,2022-09-07,54
1,ALDR,0,4,53,2022-09-08,48
2,ALDR,0,0,34,2022-09-14,32
0,ALDR,0,0,19,2022-09-15,19
3,ALDR,0,0,62,2022-09-16,59
12,ALDR,0,0,89,2022-09-18,77
2,ALDR,0,0,62,2022-09-19,60
3,ALDR,0,1,68,2022-09-21,64
1,ALDR,0,1,44,2022-09-23,42
4,ALDR,0,4,110,2022-09-25,102
2,ALDR,0,4,78,2022-09-26,72
1,ALDR,0,4,87,2022-09-27,82
1,ALDR,0,5,101,2022-09-29,95
1,ALDR,0,3,64,2022-09-30,60
2,ALDR,0,2,32,2022-10-01,28
1,ALDR,0,2,58,2022-10-04,55
2,ALDR,0,4,113,2022-10-05,107
1,ALDR,0,2,58,2022-10-07,55
1,ALDR,0,2,58,2022-10-08,55
0,ALDR,0,0,9,2022-10-09,9
0,ALDR,0,8,104,2022-10-10,96
0,ALDR,0,6,111,2022-10-11,105
0,ALDR,0,3,58,2022-10-13,55
0,ALDR,0,3,58,2022-10-14,55
0,ALDR,0,3,44,2022-10-15,41
0,ALDR,0,3,57,2022-10-16,54
0,ALDR,0,3,58,2022-10-17,55
0,ALDR,0,3,69,2022-10-19,66
0,ALDR,0,3,56,2022-10-20,53
0,ALDR,0,4,55,2022-10-21,51
0,ALDR,0,3,58,2022-10-22,55
0,ALDR,0,3,35,2022-10-23,32
0,ALDR,0,0,30,2022-10-24,30
0,ALDR,0,3,58,2022-10-25,55
0,ALDR,0,3,58,2022-10-26,55
0,ALDR,0,3,60,2022-10-27,57
0,ALDR,0,2,47,2022-10-28,45
0,ALDR,0,0,19,2022-10-29,19
0,ALDR,0,2,42,2022-10-30,40
0,ALDR,0,2,45,2022-11-02,43
0,ALDR,0,6,58,2022-11-03,52
0,ALDR,0,6,60,2022-11-04,54
1,ALDR,0,2,71,2022-12-02,68
0,ALDR,0,0,2,2022-12-03,2
1,ANON,0,0,77,2022-01-04,76
0,ANON,0,0,149,2022-01-05,149
0,ANON,0,0,155,2022-01-06,155
0,ANON,0,2,44,2022-01-07,42
1,ANON,0,0,70,2022-01-08,69
0,ANON,0,0,1,2022-01-10,1
0,ANON,0,7,73,2022-01-11,66
0,ANON,0,0,7,2022-01-12,7
1,ANON,0,0,2,2022-01-14,1
1,ANON,0,0,22,2022-01-22,21
1,ANON,0,0,20,2022-03-14,19
0,ANON,0,0,2,2022-03-18,2
0,ANON,0,0,70,2022-03-21,70
0,ANON,0,4,61,2022-04-21,57
