anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,32,2022-07-01,32
0,ALDR,0,0,20,2022-07-04,20
0,ALDR,0,0,12,2022-07-05,12
0,ALDR,0,0,32,2022-07-09,32
0,ALDR,0,0,32,2022-07-15,32
0,ALDR,0,0,44,2022-07-16,44
0,ALDR,0,0,5,2022-07-18,5
0,ALDR,0,0,30,2022-07-19,30
0,ALDR,0,0,8,2022-07-21,8
0,ALDR,0,0,9,2022-07-22,9
0,ALDR,0,0,62,2022-07-24,62
0,ALDR,0,0,14,2022-07-25,14
0,ALDR,0,0,32,2022-08-06,32
0,ALDR,0,0,46,2022-08-09,46
0,ALDR,0,3,32,2022-08-12,29
0,ALDR,0,0,18,2022-08-13,18
0,ALDR,0,0,20,2022-08-14,20
0,ALDR,0,0,29,2022-08-15,29
0,ALDR,0,0,44,2022-08-16,44
0,ALDR,0,1,18,2022-08-18,17
2,ALDR,0,2,63,2022-08-20,59
0,ALDR,0,0,24,2022-08-21,24
0,ALDR,0,1,27,2022-08-23,26
0,ALDR,0,3,77,2022-08-26,74
0,ALDR,0,0,48,2022-08-29,48
2,ALDR,0,2,115,2022-09-01,111
1,ALDR,0,2,68,2022-09-23,65
0,ALDR,0,4,33,2022-09-24,29
0,ALDR,0,1,5,2022-09-26,4
1,ALDR,0,1,71,2022-09-27,69
1,ALDR,0,0,12,2022-09-28,11
3,ALDR,0,2,101,2022-09-29,96
1,ALDR,0,2,93,2022-10-04,90
1,ALDR,0,2,42,2022-10-05,39
0,ALDR,0,0,4,2022-10-07,4
0,ALDR,0,2,44,2022-10-12,42
0,ALDR,0,1,30,2022-10-15,29
0,ANON,0,0,55,2022-04-21,55
3,ANON,0,0,32,2022-06-28,29
2,ANON,0,0,83,2022-06-29,81
1,ANON,0,0,26,2022-06-30,25
4,ANON,0,0,84,2022-07-02,80
0,ANON,0,0,16,2022-07-03,16
2,ANON,0,0,100,2022-07-05,98
2,ANON,0,0,100,2022-07-07,98
2,ANON,0,0,86,2022-07-09,84
2,ANON,0,0,114,2022-07-10,112
3,ANON,0,0,100,2022-07-13,97
2,ANON,0,0,69,2022-07-15,67
3,ANON,0,3,132,2022-07-16,126
1,ANON,0,0,48,2022-07-17,47
1,ANON,0,0,57,2022-07-18,56
2,ANON,0,2,196,2022-07-19,192
0,ANON,0,0,4,2022-07-20,4
2,ANON,0,0,77,2022-07-22,75
1,ANON,0,2,153,2022-07-23,150
1,ANON,0,0,39,2022-07-24,38
1,ANON,0,0,26,2022-07-25,25
2,ANON,0,0,139,2022-07-26,137
0,ANON,0,0,2,2022-07-27,2
0,ANON,0,0,26,2022-07-29,26
4,ANON,0,0,131,2022-07-30,127
0,ANON,0,0,12,2022-07-31,12
4,ANON,0,0,42,2022-08-02,38
1,ANON,0,1,71,2022-08-03,69
2,ANON,0,0,87,2022-08-06,85
3,ANON,0,1,140,2022-08-09,136
0,ANON,0,0,3,2022-08-10,3
1,ANON,0,1,78,2022-08-11,76
8,ANON,0,1,145,2022-08-12,136
3,ANON,0,0,48,2022-08-13,45
4,ANON,0,1,129,2022-08-14,124
7,ANON,0,6,296,2022-08-15,283
3,ANON,0,4,118,2022-08-16,111
2,ANON,0,3,71,2022-08-18,66
5,ANON,0,4,135,2022-08-19,126
6,ANON,0,11,258,2022-08-20,241
1,ANON,0,3,71,2022-08-21,67
1,ANON,0,2,89,2022-08-22,86
6,ANON,0,10,173,2022-08-23,157
2,ANON,0,3,132,2022-08-24,127
4,ANON,0,13,184,2022-08-26,167
2,ANON,0,2,96,2022-08-28,92
3,ANON,0,9,180,2022-08-29,168
0,ANON,0,0,9,2022-08-30,9
5,ANON,0,10,228,2022-08-31,213
6,ANON,0,8,275,2022-09-01,261
2,ANON,0,10,141,2022-09-02,129
2,ANON,0,13,188,2022-09-22,173
8,ANON,0,33,311,2022-09-24,270
0,ANON,0,0,31,2022-09-25,31
9,ANON,0,32,334,2022-09-26,293
0,ANON,0,2,87,2022-09-27,85
3,ANON,0,21,290,2022-09-28,266
2,ANON,0,15,227,2022-09-29,210
4,ANON,0,21,355,2022-10-04,330
2,ANON,0,12,220,2022-10-05,206
0,ANON,0,1,54,2022-10-07,53
0,ANON,0,7,136,2022-10-08,129
2,ANON,0,13,139,2022-10-12,124
1,ANON,0,22,265,2022-10-15,242
1,ANON,0,1,6,2022-10-16,4
0,ANON,0,25,214,2022-10-24,189
0,ANON,0,0,2,2022-10-25,2
0,COMM,0,0,2,2022-07-01,2
0,COMM,0,0,19,2022-07-02,19
0,COMM,0,0,15,2022-07-05,15
0,COMM,0,0,6,2022-07-06,6
0,COMM,0,0,21,2022-07-10,21
1,COMM,0,0,21,2022-07-15,20
0,COMM,0,0,26,2022-07-17,26
0,COMM,0,0,8,2022-07-18,8
0,COMM,0,0,16,2022-07-19,16
0,COMM,0,0,20,2022-07-23,20
0,COMM,0,0,22,2022-07-27,22
0,COMM,0,0,13,2022-07-29,13
0,COMM,0,0,14,2022-07-30,14
1,COMM,0,0,21,2022-08-06,20
0,COMM,0,0,35,2022-08-10,35
1,COMM,0,0,10,2022-08-12,9
0,COMM,0,0,14,2022-08-14,14
1,COMM,0,0,39,2022-08-15,38
0,COMM,0,0,20,2022-08-16,20
0,COMM,0,0,1,2022-08-18,1
0,COMM,0,0,35,2022-08-19,35
0,COMM,0,0,7,2022-08-20,7
0,COMM,0,0,7,2022-08-21,7
1,COMM,0,0,14,2022-08-23,13
0,COMM,0,0,19,2022-08-26,19
0,COMM,0,0,34,2022-08-28,34
0,COMM,0,0,42,2022-09-01,42
2,COMM,0,0,30,2022-09-02,28
0,COMM,0,0,1,2022-09-03,1
0,COMM,0,0,58,2022-09-23,58
0,COMM,0,3,24,2022-09-24,21
0,COMM,0,0,2,2022-09-26,2
0,COMM,0,0,26,2022-09-27,26
0,COMM,0,0,3,2022-09-28,3
0,COMM,0,0,25,2022-09-29,25
0,COMM,0,0,84,2022-10-04,84
0,COMM,0,0,26,2022-10-07,26
0,COMM,0,0,12,2022-10-08,12
0,COMM,0,0,1,2022-10-12,1
0,COMM,0,0,28,2022-10-15,28
0,COMT,0,0,3,2022-01-31,3
0,COMT,0,0,6,2022-04-19,6
0,COMT,0,0,6,2022-06-26,6
0,COMT,0,0,6,2022-06-28,6
0,COMT,0,0,92,2022-06-30,92
0,COMT,0,0,20,2022-07-01,20
0,COMT,0,0,12,2022-07-02,12
0,COMT,0,0,95,2022-07-03,95
0,COMT,0,0,20,2022-07-04,20
0,COMT,0,0,65,2022-07-06,65
0,COMT,0,0,56,2022-07-07,56
0,COMT,0,0,103,2022-07-08,103
0,COMT,0,0,6,2022-07-09,6
0,COMT,0,0,101,2022-07-10,101
0,COMT,0,0,46,2022-07-13,46
0,COMT,0,0,63,2022-07-14,63
0,COMT,0,0,12,2022-07-15,12
0,COMT,0,0,121,2022-07-16,121
0,COMT,0,2,258,2022-07-18,256
0,COMT,0,0,121,2022-07-19,121
0,COMT,0,0,5,2022-07-20,5
0,COMT,0,0,4,2022-07-21,4
0,COMT,0,0,72,2022-07-22,72
0,COMT,0,3,194,2022-07-23,191
0,COMT,0,0,27,2022-07-25,27
0,COMT,0,0,21,2022-07-26,21
0,COMT,0,0,6,2022-07-27,6
0,COMT,0,0,49,2022-07-28,49
1,COMT,0,2,146,2022-07-29,143
0,COMT,0,0,92,2022-07-30,92
0,COMT,0,0,6,2022-08-02,6
0,COMT,0,0,99,2022-08-03,99
1,COMT,0,4,103,2022-08-04,98
0,COMT,0,0,27,2022-08-06,27
1,COMT,0,0,41,2022-08-09,40
5,COMT,0,2,142,2022-08-10,135
0,COMT,0,0,9,2022-08-11,9
2,COMT,0,2,216,2022-08-12,212
0,COMT,0,0,96,2022-08-13,96
3,COMT,0,2,310,2022-08-15,305
1,COMT,0,0,129,2022-08-16,128
1,COMT,0,4,93,2022-08-18,88
2,COMT,0,3,142,2022-08-19,137
1,COMT,0,2,248,2022-08-20,245
1,COMT,0,1,147,2022-08-21,145
0,COMT,0,0,10,2022-08-22,10
2,COMT,0,2,231,2022-08-23,227
1,COMT,0,0,110,2022-08-24,109
0,COMT,0,0,33,2022-08-25,33
2,COMT,0,2,228,2022-08-26,224
0,COMT,0,1,182,2022-08-29,181
0,COMT,0,5,181,2022-08-31,176
3,COMT,0,1,389,2022-09-01,385
0,COMT,0,0,18,2022-09-02,18
0,COMT,0,1,171,2022-09-22,170
0,COMT,0,0,6,2022-09-23,6
0,COMT,0,0,263,2022-09-24,263
0,COMT,0,6,383,2022-09-26,377
0,COMT,0,0,131,2022-09-27,131
0,COMT,0,1,191,2022-09-28,190
0,COMT,0,6,273,2022-09-29,267
0,COMT,0,7,483,2022-10-04,476
0,COMT,0,1,146,2022-10-05,145
0,COMT,0,0,16,2022-10-07,16
0,COMT,0,1,155,2022-10-08,154
1,COMT,0,1,13,2022-10-11,11
1,COMT,0,3,254,2022-10-12,250
0,COMT,0,2,225,2022-10-15,223
0,COMT,0,4,93,2022-10-24,89
0,COMT,0,2,207,2022-10-25,205
