anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,37,2022-07-15,37
2,ALDR,0,0,37,2022-07-19,35
0,ALDR,0,1,37,2022-07-24,36
0,ALDR,0,0,60,2022-07-26,60
0,ALDR,0,0,37,2022-08-02,37
0,ANON,0,0,4,2022-01-04,4
6,ANON,0,0,25,2022-01-08,19
1,ANON,0,0,27,2022-01-18,26
1,ANON,0,0,24,2022-02-07,23
0,ANON,0,0,2,2022-02-09,2
0,ANON,0,0,4,2022-02-17,4
0,ANON,0,0,5,2022-03-18,5
0,ANON,0,0,74,2022-04-03,74
1,ANON,0,0,20,2022-04-04,19
0,ANON,0,0,5,2022-04-12,5
0,ANON,0,0,5,2022-04-23,5
18,ANON,0,0,139,2022-07-04,121
0,ANON,0,0,89,2022-07-05,89
0,ANON,0,0,53,2022-07-06,53
1,ANON,0,0,67,2022-07-07,66
0,ANON,0,0,15,2022-07-08,15
0,ANON,0,1,39,2022-07-14,38
4,ANON,0,0,142,2022-07-17,138
0,ANON,0,0,28,2022-07-18,28
8,ANON,0,1,85,2022-07-19,76
0,ANON,0,0,25,2022-07-21,25
3,ANON,0,0,124,2022-07-23,121
0,ANON,0,0,9,2022-07-24,9
0,ANON,0,0,33,2022-07-25,33
5,ANON,0,1,90,2022-07-26,84
1,ANON,0,0,55,2022-07-27,54
1,ANON,0,0,21,2022-07-28,20
0,ANON,0,0,18,2022-07-29,18
0,ANON,0,0,33,2022-07-30,33
1,ANON,0,3,112,2022-07-31,108
3,ANON,0,1,109,2022-08-01,105
10,ANON,0,0,29,2022-08-02,19
1,ANON,0,1,122,2022-08-03,120
1,ANON,0,1,33,2022-11-29,31
0,ANON,0,0,2,2022-12-08,2
9,COMM,0,0,55,2022-07-15,46
2,COMM,0,0,32,2022-07-17,30
6,COMM,0,6,114,2022-07-21,102
1,COMM,0,0,9,2022-07-22,8
0,COMM,0,0,16,2022-07-25,16
3,COMM,0,0,32,2022-07-28,29
4,COMM,0,0,48,2022-07-29,44
2,COMM,0,0,32,2022-07-31,30
5,COMM,0,4,117,2022-08-02,108
0,COMT,0,0,7,2022-01-08,7
0,COMT,0,0,7,2022-01-18,7
0,COMT,0,0,7,2022-02-07,7
0,COMT,0,0,7,2022-02-17,7
0,COMT,0,0,6,2022-03-18,6
0,COMT,0,0,6,2022-04-03,6
1,COMT,0,0,97,2022-04-04,96
0,COMT,0,0,6,2022-04-12,6
0,COMT,0,0,6,2022-04-23,6
0,COMT,0,0,6,2022-05-23,6
1,COMT,0,0,6,2022-06-14,5
1,COMT,0,0,6,2022-06-28,5
1,COMT,0,0,8,2022-07-03,7
1,COMT,0,1,106,2022-07-14,104
0,COMT,0,0,18,2022-07-17,18
2,COMT,0,0,120,2022-07-18,118
0,COMT,0,0,12,2022-07-19,12
1,COMT,0,0,138,2022-07-22,137
0,COMT,0,0,4,2022-07-23,4
1,COMT,0,2,101,2022-07-25,98
1,COMT,0,0,108,2022-07-26,107
0,COMT,0,0,2,2022-07-27,2
0,COMT,0,0,7,2022-07-28,7
0,COMT,0,0,55,2022-07-29,55
1,COMT,0,0,86,2022-07-30,85
0,COMT,0,0,4,2022-07-31,4
1,COMT,0,0,83,2022-08-01,82
4,COMT,0,1,97,2022-08-02,92
0,COMT,0,0,4,2022-08-03,4
0,COMT,0,0,4,2022-09-05,4
0,COMT,0,0,2,2022-09-12,2
0,COMT,0,0,6,2022-10-03,6
1,COMT,0,0,6,2022-10-20,5
0,COMT,0,0,6,2022-11-29,6
0,CTRL,0,0,16,2022-07-15,16
0,CTRL,0,0,3,2022-07-17,3
0,CTRL,0,0,30,2022-07-21,30
0,CTRL,0,0,4,2022-07-25,4
0,CTRL,0,0,15,2022-07-28,15
0,CTRL,0,0,19,2022-07-29,19
0,CTRL,0,0,3,2022-07-31,3
0,CTRL,0,0,32,2022-08-02,32
0,CULTR,0,0,1,2022-02-07,1
0,CULTR,0,0,1,2022-02-17,1
0,CULTR,0,0,1,2022-03-18,1
0,CULTR,0,0,1,2022-04-03,1
0,CULTR,0,0,2,2022-04-04,2
0,CULTR,0,0,1,2022-04-12,1
0,CULTR,0,0,1,2022-04-23,1
0,CULTR,0,0,1,2022-07-14,1
2,CULTR,0,2,105,2022-07-15,101
2,CULTR,0,2,75,2022-07-18,71
1,CULTR,0,0,31,2022-07-19,30
0,CULTR,0,0,1,2022-07-22,1
2,CULTR,0,4,132,2022-07-24,126
1,CULTR,0,2,36,2022-07-25,33
1,CULTR,0,0,45,2022-07-26,44
2,CULTR,0,2,105,2022-07-30,101
2,CULTR,0,4,118,2022-08-02,112
0,DATE,0,0,19,2022-07-15,19
1,DATE,0,0,19,2022-07-19,18
0,DATE,0,0,19,2022-07-24,19
0,DATE,0,0,30,2022-07-26,30
0,DATE,0,0,19,2022-08-02,19
0,ECON,0,0,5,2022-07-15,5
0,ECON,0,0,23,2022-07-17,23
0,ECON,0,0,29,2022-07-21,29
0,ECON,0,0,3,2022-07-22,3
0,ECON,0,0,2,2022-07-28,2
0,ECON,0,0,2,2022-07-29,2
0,ECON,0,0,23,2022-07-31,23
0,ECON,0,0,27,2022-08-02,27
0,ENV,0,0,17,2022-04-04,17
0,ENV,0,0,12,2022-07-14,12
0,ENV,0,0,18,2022-07-15,18
0,ENV,0,1,30,2022-07-18,29
0,ENV,0,0,22,2022-07-22,22
1,ENV,0,0,11,2022-07-23,10
0,ENV,0,0,27,2022-07-25,27
