anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ANON,0,0,3,2022-01-01,3
9,ANON,0,0,54,2022-12-17,45
5,ANON,0,13,110,2022-12-18,92
3,ANON,0,2,127,2022-12-19,122
0,ANON,0,0,2,2022-12-23,2
0,COMT,0,0,7,2022-01-01,7
0,COMT,0,0,6,2022-05-09,6
0,COMT,0,0,4,2022-05-26,4
0,COMT,0,0,12,2022-06-26,12
0,COMT,0,0,2,2022-11-26,2
0,COMT,0,0,1,2022-12-15,1
0,COMT,0,0,10,2022-12-16,10
0,GRP,0,0,3,2022-01-01,3
0,GRP,0,0,11,2022-05-09,11
0,GRP,0,0,2,2022-05-26,2
0,GRP,0,0,67,2022-06-26,67
0,GRP,0,0,23,2022-06-27,23
0,GRP,0,0,2,2022-11-26,2
0,GRP,0,0,2,2022-12-15,2
2,GRP,0,0,78,2022-12-16,76
8,GRP,0,2,197,2022-12-17,187
0,GRP,0,0,27,2022-12-18,27
0,GRP,0,0,18,2022-12-19,18
0,GRP,0,0,2,2022-12-23,2
0,HOST,0,0,1,2022-06-26,1
0,HUMR,0,0,1,2022-01-01,1
0,HUMR,0,0,9,2022-12-17,9
4,HUMR,0,3,88,2022-12-18,81
0,HUMR,0,1,59,2022-12-19,58
0,HUMR,0,0,2,2022-12-23,2
0,LGBT,0,0,7,2022-12-17,7
6,LGBT,0,1,88,2022-12-18,81
2,LGBT,0,0,25,2022-12-19,23
0,LGBT,0,0,1,2022-12-23,1
0,MMED,0,0,3,2022-01-01,3
0,MMED,0,0,3,2022-05-09,3
0,MMED,0,0,2,2022-05-26,2
0,MMED,0,0,6,2022-06-26,6
0,MMED,0,0,2,2022-06-27,2
0,MMED,0,0,3,2022-11-26,3
0,MMED,0,0,2,2022-12-15,2
0,MMED,0,0,8,2022-12-16,8
0,MMED,0,0,14,2022-12-17,14
0,MMED,0,0,22,2022-12-18,22
0,MMED,0,0,16,2022-12-19,16
0,MMED,0,0,2,2022-12-23,2
0,NEWS,0,0,1,2022-01-01,1
0,NEWS,0,0,1,2022-05-09,1
0,NEWS,0,0,1,2022-05-26,1
0,NEWS,0,0,2,2022-06-26,2
0,NEWS,0,0,1,2022-11-26,1
0,NEWS,0,0,1,2022-12-15,1
0,NEWS,0,0,2,2022-12-16,2
0,NEWS,0,0,2,2022-12-17,2
0,NEWS,0,1,38,2022-12-18,37
11,NEWS,0,2,72,2022-12-19,59
1,NEWS,0,0,7,2022-12-23,6
1,POLR,0,0,21,2022-12-18,20
0,POLR,0,0,6,2022-12-19,6
