anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,13,2022-01-01,13
0,ALDR,0,0,50,2022-01-02,50
0,ALDR,0,0,60,2022-01-03,60
0,ALDR,0,0,46,2022-01-04,46
2,ALDR,0,1,35,2022-01-05,32
1,ALDR,0,0,41,2022-01-06,40
0,ALDR,0,0,15,2022-01-07,15
0,ALDR,0,0,98,2022-01-09,98
0,ALDR,0,0,96,2022-01-10,96
2,ALDR,0,0,99,2022-01-11,97
0,ALDR,0,1,118,2022-01-12,117
0,ALDR,0,0,23,2022-01-13,23
1,ALDR,0,1,85,2022-01-14,83
0,ALDR,0,0,58,2022-01-15,58
0,ALDR,0,1,27,2022-01-16,26
0,ALDR,0,1,54,2022-01-17,53
1,ALDR,0,0,132,2022-01-18,131
1,ALDR,0,0,122,2022-01-19,121
0,ALDR,0,0,131,2022-01-20,131
1,ALDR,0,0,49,2022-01-21,48
0,ALDR,0,0,88,2022-01-22,88
0,ALDR,0,0,51,2022-01-23,51
0,ALDR,0,0,22,2022-01-24,22
6,ALDR,0,2,102,2022-01-25,94
0,ALDR,0,0,83,2022-01-26,83
3,ALDR,0,0,121,2022-01-27,118
0,ALDR,0,0,88,2022-01-28,88
0,ALDR,0,1,54,2022-01-29,53
0,ALDR,0,1,83,2022-01-30,82
0,ALDR,0,0,80,2022-01-31,80
0,ALDR,0,0,2,2022-02-01,2
0,ALDR,0,1,91,2022-02-02,90
0,ALDR,0,0,83,2022-02-03,83
0,ALDR,0,1,91,2022-02-04,90
0,ALDR,0,1,127,2022-02-05,126
0,ALDR,0,0,68,2022-02-06,68
0,ALDR,0,1,154,2022-02-07,153
2,ALDR,0,1,77,2022-02-08,74
0,ALDR,0,0,3,2022-02-09,3
1,ALDR,0,0,141,2022-02-10,140
0,ALDR,0,2,121,2022-02-11,119
1,ALDR,0,1,126,2022-02-12,124
2,ALDR,0,1,142,2022-02-13,139
0,ALDR,0,0,86,2022-02-14,86
0,ALDR,0,2,187,2022-02-15,185
0,ALDR,0,0,106,2022-02-16,106
1,ALDR,0,1,30,2022-02-17,28
1,ALDR,0,0,41,2022-02-18,40
0,ALDR,0,0,64,2022-02-19,64
0,ALDR,0,1,126,2022-02-20,125
3,ALDR,0,1,64,2022-02-21,60
5,ALDR,0,1,119,2022-02-22,113
1,ALDR,0,2,126,2022-02-23,123
0,ALDR,0,1,96,2022-02-24,95
0,ALDR,0,0,27,2022-02-25,27
0,ALDR,0,0,41,2022-02-26,41
14,ALDR,0,1,65,2022-02-27,50
1,ALDR,0,3,123,2022-02-28,119
3,ALDR,0,2,102,2022-03-01,97
1,ALDR,0,0,80,2022-03-02,79
8,ALDR,0,3,186,2022-03-03,175
6,ALDR,0,1,119,2022-03-04,112
4,ALDR,0,0,84,2022-03-05,80
6,ALDR,0,0,95,2022-03-06,89
3,ALDR,0,0,76,2022-03-07,73
0,ALDR,0,1,104,2022-03-08,103
1,ALDR,0,0,93,2022-03-09,92
0,ALDR,0,0,79,2022-03-10,79
1,ALDR,0,0,252,2022-03-11,251
0,ALDR,0,1,130,2022-03-12,129
0,ALDR,0,0,33,2022-03-13,33
3,ALDR,0,1,88,2022-03-14,84
0,ALDR,0,0,71,2022-03-15,71
1,ALDR,0,0,100,2022-03-16,99
0,ALDR,0,0,137,2022-03-17,137
0,ALDR,0,0,70,2022-03-18,70
0,ALDR,0,2,182,2022-03-19,180
0,ALDR,0,2,120,2022-03-20,118
0,ALDR,0,0,42,2022-03-21,42
0,ALDR,0,0,84,2022-03-22,84
1,ALDR,0,0,55,2022-03-23,54
0,ALDR,0,1,106,2022-03-24,105
1,ALDR,0,1,186,2022-03-25,184
0,ALDR,0,1,65,2022-03-26,64
1,ALDR,0,17,222,2022-03-27,204
1,ALDR,0,14,120,2022-03-28,105
2,ALDR,0,7,113,2022-03-29,104
1,ALDR,0,4,126,2022-03-30,121
2,ALDR,0,7,45,2022-03-31,36
0,ALDR,0,4,60,2022-04-01,56
1,ALDR,0,2,174,2022-04-02,171
0,ALDR,0,1,98,2022-04-03,97
3,ALDR,0,0,199,2022-04-04,196
0,ALDR,0,1,81,2022-04-05,80
0,ALDR,0,0,59,2022-04-06,59
3,ALDR,0,0,132,2022-04-07,129
0,ALDR,0,0,47,2022-04-08,47
0,ALDR,0,0,55,2022-04-09,55
1,ALDR,0,0,179,2022-04-10,178
0,ALDR,0,0,41,2022-04-11,41
0,ALDR,0,0,221,2022-04-12,221
1,ALDR,0,0,88,2022-04-13,87
1,ALDR,0,0,57,2022-04-14,56
0,ALDR,0,0,126,2022-04-15,126
1,ALDR,0,0,42,2022-04-16,41
1,ALDR,0,0,103,2022-04-17,102
2,ALDR,0,0,187,2022-04-18,185
0,ALDR,0,0,37,2022-04-19,37
3,ALDR,0,1,204,2022-04-20,200
0,ALDR,0,0,96,2022-04-21,96
2,ALDR,0,0,60,2022-04-22,58
1,ALDR,0,0,86,2022-04-23,85
0,ALDR,0,0,79,2022-04-24,79
0,ALDR,0,0,94,2022-04-25,94
0,ALDR,0,0,202,2022-04-26,202
0,ALDR,0,0,87,2022-04-27,87
19,ALDR,0,0,302,2022-04-28,283
2,ALDR,0,0,128,2022-04-29,126
0,ALDR,0,0,82,2022-04-30,82
3,ALDR,0,0,151,2022-05-01,148
1,ALDR,0,0,116,2022-05-02,115
0,ALDR,0,0,124,2022-05-03,124
0,ALDR,0,0,286,2022-05-04,286
1,ALDR,0,0,90,2022-05-05,89
0,ALDR,0,0,264,2022-05-06,264
1,ALDR,0,0,134,2022-05-07,133
0,ALDR,0,0,48,2022-05-08,48
1,ALDR,0,0,120,2022-05-09,119
0,ALDR,0,0,54,2022-05-10,54
1,ALDR,0,0,70,2022-05-11,69
2,ALDR,0,0,250,2022-05-12,248
0,ALDR,0,0,19,2022-05-13,19
4,ALDR,0,1,245,2022-05-14,240
1,ALDR,0,0,87,2022-05-15,86
2,ALDR,0,0,132,2022-05-16,130
1,ALDR,0,0,126,2022-05-17,125
2,ALDR,0,0,150,2022-05-18,148
0,ALDR,0,0,94,2022-05-19,94
1,ALDR,0,2,212,2022-05-20,209
1,ALDR,0,0,132,2022-05-21,131
1,ALDR,0,0,238,2022-05-22,237
0,ALDR,0,0,76,2022-05-23,76
1,ALDR,0,0,171,2022-05-24,170
1,ALDR,0,0,163,2022-05-25,162
0,ALDR,0,0,93,2022-05-26,93
1,ALDR,0,0,44,2022-05-27,43
0,ALDR,0,1,156,2022-05-28,155
0,ALDR,0,0,96,2022-05-29,96
0,ALDR,0,0,221,2022-05-30,221
0,ALDR,0,1,50,2022-05-31,49
0,ALDR,0,0,87,2022-06-01,87
3,ALDR,0,0,168,2022-06-02,165
0,ALDR,0,0,20,2022-06-03,20
0,ALDR,0,1,40,2022-06-04,39
4,ALDR,0,0,119,2022-06-05,115
2,ALDR,0,0,123,2022-06-06,121
4,ALDR,0,0,246,2022-06-07,242
1,ALDR,0,0,49,2022-06-08,48
2,ALDR,0,0,135,2022-06-09,133
1,ALDR,0,0,152,2022-06-10,151
0,ALDR,0,0,165,2022-06-11,165
1,ALDR,0,0,37,2022-06-12,36
3,ALDR,0,1,166,2022-06-13,162
1,ALDR,0,0,122,2022-06-14,121
2,ALDR,0,0,245,2022-06-15,243
0,ALDR,0,0,100,2022-06-16,100
0,ALDR,0,0,146,2022-06-17,146
1,ALDR,0,0,211,2022-06-18,210
0,ALDR,0,1,197,2022-06-19,196
0,ALDR,0,0,37,2022-06-20,37
1,ALDR,0,0,188,2022-06-21,187
0,ALDR,0,0,191,2022-06-22,191
0,ALDR,0,0,221,2022-06-23,221
0,ALDR,0,0,66,2022-06-24,66
0,ALDR,0,0,107,2022-06-25,107
0,ALDR,0,0,195,2022-06-26,195
0,ALDR,0,0,136,2022-06-27,136
1,ALDR,0,0,188,2022-06-28,187
0,ALDR,0,0,191,2022-06-29,191
0,ALDR,0,0,142,2022-06-30,142
0,ALDR,0,0,132,2022-07-01,132
0,ALDR,0,0,147,2022-07-02,147
1,ALDR,0,0,210,2022-07-03,209
0,ALDR,0,0,243,2022-07-04,243
4,ALDR,0,0,191,2022-07-05,187
2,ALDR,0,0,151,2022-07-06,149
4,ALDR,0,0,124,2022-07-07,120
0,ALDR,0,0,113,2022-07-08,113
4,ALDR,0,0,165,2022-07-09,161
9,ALDR,0,2,243,2022-07-10,232
3,ALDR,0,0,89,2022-07-11,86
1,ALDR,0,3,230,2022-07-12,226
1,ALDR,0,0,200,2022-07-13,199
1,ALDR,0,0,167,2022-07-14,166
0,ALDR,0,0,85,2022-07-15,85
0,ALDR,0,0,75,2022-07-16,75
2,ALDR,0,0,144,2022-07-17,142
0,ALDR,0,1,143,2022-07-18,142
2,ALDR,0,0,128,2022-07-19,126
0,ALDR,0,1,65,2022-07-20,64
1,ALDR,0,1,124,2022-07-21,122
0,ALDR,0,1,119,2022-07-22,118
0,ALDR,0,1,153,2022-07-23,152
