anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,25,2022-03-02,25
0,ALDR,0,0,15,2022-03-03,15
0,ALDR,0,0,35,2022-03-04,35
0,ALDR,0,0,3,2022-03-09,3
0,ALDR,0,0,35,2022-03-10,35
0,ALDR,0,0,37,2022-03-11,37
0,ALDR,0,0,39,2022-03-12,39
0,ALDR,0,2,75,2022-03-15,73
0,ALDR,0,0,24,2022-03-18,24
0,ALDR,0,0,26,2022-03-20,26
0,ALDR,0,0,25,2022-03-21,25
0,ALDR,0,0,25,2022-03-23,25
31,ALDR,0,0,49,2022-03-25,18
0,ALDR,0,1,9,2022-03-26,8
0,ALDR,0,4,16,2022-03-27,12
22,ALDR,0,0,43,2022-03-28,21
5,ALDR,0,0,33,2022-03-29,28
0,ALDR,0,0,25,2022-03-30,25
3,ALDR,0,0,25,2022-03-31,22
22,ALDR,0,0,49,2022-04-02,27
6,ALDR,0,0,9,2022-04-04,3
23,ALDR,0,0,47,2022-04-05,24
5,ALDR,0,0,8,2022-04-06,3
4,ALDR,0,0,20,2022-04-08,16
19,ALDR,0,0,26,2022-04-10,7
0,ALDR,0,0,12,2022-04-12,12
0,ALDR,0,0,59,2022-04-13,59
0,ALDR,0,0,49,2022-04-14,49
0,ALDR,0,0,3,2022-04-16,3
0,ALDR,0,0,10,2022-04-17,10
0,ALDR,0,0,18,2022-04-18,18
0,ALDR,0,0,31,2022-04-19,31
0,ALDR,0,0,23,2022-04-20,23
0,ALDR,0,0,43,2022-04-21,43
3,ALDR,0,0,48,2022-04-22,45
0,ALDR,0,0,24,2022-04-23,24
0,ALDR,0,0,6,2022-04-24,6
0,ALDR,0,0,14,2022-04-25,14
0,ALDR,0,0,25,2022-04-26,25
0,ALDR,0,0,2,2022-04-27,2
0,ALDR,0,0,17,2022-04-28,17
1,ALDR,0,0,56,2022-04-29,55
0,ALDR,0,0,16,2022-04-30,16
0,ALDR,0,0,15,2022-05-01,15
0,ALDR,0,0,6,2022-05-02,6
0,ALDR,0,0,14,2022-05-03,14
0,ALDR,0,0,22,2022-05-04,22
0,ALDR,0,0,12,2022-05-06,12
0,ALDR,0,0,29,2022-05-07,29
0,ALDR,0,0,9,2022-05-08,9
0,ALDR,0,0,33,2022-05-09,33
0,ALDR,0,0,6,2022-05-10,6
0,ALDR,0,0,30,2022-05-12,30
0,ALDR,0,0,4,2022-05-14,4
0,ALDR,0,0,27,2022-05-15,27
0,ALDR,0,0,6,2022-05-16,6
0,ALDR,0,0,12,2022-05-17,12
0,ALDR,0,0,3,2022-05-18,3
0,ALDR,0,0,18,2022-05-20,18
0,ALDR,0,0,2,2022-05-23,2
0,ALDR,0,0,18,2022-05-24,18
0,ALDR,0,0,10,2022-05-25,10
0,ALDR,0,0,5,2022-05-28,5
0,ALDR,0,0,15,2022-05-29,15
0,ALDR,0,0,25,2022-05-30,25
0,ALDR,0,0,2,2022-05-31,2
0,ALDR,0,0,1,2022-06-01,1
