anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,18,2022-01-01,18
0,ALDR,0,0,42,2022-01-02,42
0,ALDR,0,0,37,2022-01-03,37
0,ALDR,0,0,56,2022-01-04,56
0,ALDR,0,0,16,2022-01-05,16
0,ALDR,0,0,101,2022-01-06,101
1,ALDR,0,1,94,2022-01-07,92
1,ALDR,0,0,81,2022-01-08,80
0,ALDR,0,0,53,2022-01-09,53
0,ALDR,0,0,42,2022-01-10,42
0,ALDR,0,0,62,2022-01-11,62
0,ALDR,0,0,64,2022-01-12,64
0,ALDR,0,0,16,2022-01-13,16
0,ALDR,0,0,69,2022-01-14,69
0,ALDR,0,0,76,2022-01-15,76
0,ALDR,0,1,50,2022-01-16,49
0,ALDR,0,0,60,2022-01-17,60
0,ALDR,0,0,44,2022-01-18,44
0,ALDR,0,0,56,2022-01-19,56
0,ALDR,0,0,54,2022-01-20,54
1,ALDR,0,0,31,2022-01-21,30
0,ALDR,0,0,64,2022-01-22,64
1,ALDR,0,0,74,2022-01-23,73
2,ALDR,0,0,85,2022-01-24,83
0,ALDR,0,0,50,2022-01-25,50
0,ALDR,0,0,43,2022-01-26,43
0,ALDR,0,0,26,2022-01-27,26
1,ALDR,0,0,39,2022-01-28,38
0,ALDR,0,0,29,2022-01-29,29
0,ALDR,0,0,44,2022-01-30,44
2,ALDR,0,2,185,2022-01-31,181
0,ALDR,0,0,186,2022-02-01,186
0,ALDR,0,1,136,2022-02-02,135
0,ALDR,0,0,88,2022-02-03,88
0,ALDR,0,0,123,2022-02-04,123
0,ALDR,0,0,106,2022-02-05,106
5,ALDR,0,0,162,2022-02-06,157
5,ALDR,0,0,129,2022-02-07,124
17,ALDR,0,2,198,2022-02-08,179
0,ALDR,0,0,109,2022-02-09,109
2,ALDR,0,0,125,2022-02-10,123
0,ALDR,0,0,113,2022-02-11,113
0,ALDR,0,0,180,2022-02-12,180
3,ALDR,0,0,97,2022-02-13,94
0,ALDR,0,0,188,2022-02-14,188
0,ALDR,0,0,33,2022-02-15,33
0,ALDR,0,0,113,2022-02-16,113
0,ALDR,0,0,54,2022-02-17,54
0,ALDR,0,0,44,2022-02-18,44
0,ALDR,0,0,214,2022-02-19,214
0,ALDR,0,0,157,2022-02-20,157
0,ALDR,0,0,62,2022-02-21,62
0,ALDR,0,0,174,2022-02-22,174
0,ALDR,0,0,92,2022-02-23,92
14,ALDR,0,0,237,2022-02-24,223
4,ALDR,0,1,142,2022-02-25,137
2,ALDR,0,0,72,2022-02-26,70
0,ALDR,0,0,111,2022-02-27,111
4,ALDR,0,0,147,2022-02-28,143
9,ALDR,0,0,137,2022-03-01,128
9,ALDR,0,0,152,2022-03-02,143
2,ALDR,0,0,49,2022-03-03,47
0,ALDR,0,0,143,2022-03-04,143
2,ALDR,0,0,115,2022-03-05,113
3,ALDR,0,0,81,2022-03-06,78
1,ALDR,0,0,125,2022-03-07,124
0,ALDR,0,1,78,2022-03-08,77
3,ALDR,0,1,94,2022-03-09,90
17,ALDR,0,1,131,2022-03-10,113
6,ALDR,0,0,88,2022-03-11,82
11,ALDR,0,0,143,2022-03-12,132
6,ALDR,0,0,92,2022-03-13,86
1,ALDR,0,0,36,2022-03-14,35
21,ALDR,0,0,80,2022-03-15,59
16,ALDR,0,0,104,2022-03-16,88
19,ALDR,0,1,105,2022-03-17,85
16,ALDR,0,0,157,2022-03-18,141
7,ALDR,0,0,88,2022-03-19,81
2,ALDR,0,0,118,2022-03-20,116
6,ALDR,0,1,56,2022-03-21,49
2,ALDR,0,0,7,2022-03-22,5
0,ALDR,0,0,14,2022-03-23,14
12,ALDR,0,0,52,2022-03-24,40
2,ALDR,0,0,37,2022-03-25,35
17,ALDR,0,1,93,2022-03-26,75
8,ALDR,0,0,42,2022-03-27,34
10,ALDR,0,1,86,2022-03-28,75
4,ALDR,0,0,54,2022-03-29,50
5,ALDR,0,1,71,2022-03-30,65
16,ALDR,0,4,57,2022-03-31,37
3,ALDR,0,0,44,2022-04-01,41
3,ALDR,0,0,22,2022-04-02,19
11,ALDR,0,0,123,2022-04-03,112
2,ALDR,0,0,31,2022-04-04,29
8,ALDR,0,1,76,2022-04-05,67
1,ALDR,0,0,101,2022-04-06,100
0,ALDR,0,0,71,2022-04-07,71
