anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,24,2022-01-03,24
0,ALDR,0,0,25,2022-01-04,25
0,ALDR,0,0,24,2022-01-05,24
0,ALDR,0,0,1,2022-01-06,1
0,ALDR,0,1,22,2022-01-07,21
0,ALDR,0,1,24,2022-01-09,23
0,ALDR,0,0,24,2022-01-11,24
0,ALDR,0,0,25,2022-01-12,25
0,ALDR,0,0,35,2022-01-13,35
0,ALDR,0,0,1,2022-01-14,1
0,ALDR,0,0,35,2022-01-15,35
0,ALDR,0,0,4,2022-01-17,4
0,ALDR,0,0,16,2022-01-19,16
0,ALDR,0,0,29,2022-01-20,29
0,ALDR,0,0,35,2022-01-21,35
0,ALDR,0,0,12,2022-01-23,12
0,ALDR,0,0,6,2022-01-25,6
0,ALDR,0,0,22,2022-01-26,22
0,ALDR,0,0,8,2022-01-27,8
0,ALDR,0,0,43,2022-01-28,43
0,ALDR,0,0,53,2022-01-29,53
0,ALDR,0,0,12,2022-01-31,12
0,ALDR,0,0,6,2022-02-02,6
0,ALDR,0,0,46,2022-02-03,46
0,ALDR,0,0,48,2022-02-04,48
0,ALDR,0,0,5,2022-02-05,5
0,ALDR,0,0,51,2022-02-06,51
0,ALDR,0,0,24,2022-02-07,24
0,ALDR,0,0,12,2022-02-08,12
0,ALDR,0,0,6,2022-02-11,6
0,ALDR,0,0,54,2022-02-14,54
0,ALDR,0,0,12,2022-02-16,12
0,ALDR,0,0,6,2022-02-19,6
0,ALDR,0,0,24,2022-02-20,24
0,ALDR,0,0,24,2022-02-21,24
0,ALDR,0,0,84,2022-02-22,84
0,ALDR,0,0,4,2022-02-23,4
0,ALDR,0,0,33,2022-02-24,33
0,ALDR,0,0,25,2022-02-26,25
0,ALDR,0,0,20,2022-02-27,20
0,ALDR,0,0,20,2022-02-28,20
0,ALDR,0,0,17,2022-03-01,17
0,ALDR,0,0,81,2022-03-02,81
0,ALDR,0,0,12,2022-03-04,12
0,ALDR,0,0,2,2022-03-09,2
11,ALDR,0,0,66,2022-03-10,55
1,ALDR,0,0,1,2022-03-13,0
0,ALDR,0,0,7,2022-03-14,7
0,ALDR,0,0,9,2022-03-15,9
0,ALDR,0,0,15,2022-03-16,15
0,ALDR,0,0,2,2022-03-17,2
0,ALDR,0,0,66,2022-03-18,66
0,ALDR,0,0,1,2022-03-24,1
0,ALDR,0,0,1,2022-03-25,1
0,ALDR,0,0,23,2022-03-27,23
0,ALDR,0,2,25,2022-03-28,23
0,ALDR,0,0,1,2022-04-01,1
0,ALDR,0,0,1,2022-04-02,1
0,ALDR,0,0,48,2022-04-04,48
0,ALDR,0,0,31,2022-04-06,31
0,ALDR,0,0,1,2022-04-09,1
0,ALDR,0,0,43,2022-04-12,43
0,ALDR,0,0,6,2022-04-14,6
0,ALDR,0,0,25,2022-04-15,25
0,ALDR,0,0,1,2022-04-18,1
0,ALDR,0,0,43,2022-04-20,43
0,ALDR,0,0,6,2022-04-22,6
0,ALDR,0,1,50,2022-04-23,49
0,ALDR,0,0,9,2022-04-25,9
0,ALDR,0,0,17,2022-04-26,17
0,ALDR,0,0,68,2022-04-28,68
0,ALDR,0,0,6,2022-04-30,6
0,ALDR,0,0,50,2022-05-01,50
0,ALDR,0,0,9,2022-05-03,9
0,ALDR,0,0,3,2022-05-04,3
0,ALDR,0,0,57,2022-05-06,57
0,ALDR,0,0,31,2022-05-09,31
0,ALDR,0,0,38,2022-05-11,38
0,ALDR,0,0,24,2022-05-12,24
0,ALDR,0,0,82,2022-05-14,82
0,ALDR,0,0,25,2022-05-15,25
0,ALDR,0,0,25,2022-05-16,25
0,ALDR,0,0,31,2022-05-17,31
0,ALDR,0,0,15,2022-05-19,15
