anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
1,ALDR,0,0,15,2022-01-02,14
2,ALDR,0,1,30,2022-01-03,27
0,ALDR,0,0,11,2022-01-05,11
0,ALDR,0,0,16,2022-01-06,16
2,ALDR,0,1,27,2022-01-07,24
0,ALDR,0,0,33,2022-01-08,33
1,ALDR,0,0,15,2022-01-10,14
0,ALDR,0,0,1,2022-01-11,1
0,ALDR,0,1,27,2022-01-12,26
0,ALDR,0,0,5,2022-01-13,5
0,ALDR,0,0,24,2022-01-14,24
0,ALDR,0,0,14,2022-01-18,14
0,ALDR,0,0,1,2022-01-19,1
3,ALDR,0,2,55,2022-01-20,50
0,ALDR,0,1,29,2022-01-22,28
0,ALDR,0,0,14,2022-01-26,14
0,ALDR,0,0,1,2022-01-27,1
1,ALDR,0,0,37,2022-01-28,36
0,ALDR,0,0,18,2022-01-29,18
0,ALDR,0,0,32,2022-01-30,32
0,ALDR,0,0,3,2022-02-03,3
0,ALDR,0,0,17,2022-02-05,17
0,ALDR,0,0,14,2022-02-06,14
0,ALDR,0,0,32,2022-02-07,32
0,ALDR,0,0,3,2022-02-12,3
0,ALDR,0,0,1,2022-02-13,1
0,ALDR,0,0,41,2022-02-14,41
0,ALDR,0,0,26,2022-02-15,26
0,ALDR,0,0,1,2022-02-21,1
1,ALDR,0,0,41,2022-02-22,40
0,ALDR,0,0,8,2022-02-23,8
0,ALDR,0,0,18,2022-02-24,18
0,ALDR,0,0,1,2022-03-01,1
1,ALDR,0,1,41,2022-03-02,39
0,ALDR,0,0,8,2022-03-03,8
0,ALDR,0,0,18,2022-03-04,18
0,ALDR,0,0,35,2022-03-09,35
0,ALDR,0,0,15,2022-03-10,15
0,ALDR,0,0,34,2022-03-11,34
0,ALDR,0,0,18,2022-03-12,18
0,ALDR,0,0,16,2022-03-18,16
0,ALDR,0,0,34,2022-03-19,34
0,ALDR,0,0,18,2022-03-20,18
0,ALDR,0,0,19,2022-03-21,19
1,ALDR,0,0,15,2022-03-24,14
0,ALDR,0,0,16,2022-03-26,16
0,ALDR,0,1,68,2022-03-27,67
0,ALDR,0,0,22,2022-03-28,22
0,ALDR,0,0,19,2022-03-29,19
0,ALDR,0,0,11,2022-04-01,11
0,ALDR,0,0,16,2022-04-04,16
0,ALDR,0,0,4,2022-04-05,4
0,ALDR,0,0,11,2022-04-06,11
0,ALDR,0,0,3,2022-04-09,3
0,ALDR,0,0,16,2022-04-12,16
0,ALDR,0,0,4,2022-04-13,4
0,ALDR,0,0,2,2022-04-14,2
0,ALDR,0,0,9,2022-04-15,9
0,ALDR,0,0,3,2022-04-17,3
0,ALDR,0,0,34,2022-04-18,34
0,ALDR,0,0,16,2022-04-20,16
0,ALDR,0,0,4,2022-04-21,4
0,ALDR,0,0,2,2022-04-22,2
0,ALDR,0,0,43,2022-04-23,43
0,ALDR,0,0,3,2022-04-27,3
0,ALDR,0,0,16,2022-04-28,16
0,ALDR,0,0,6,2022-04-30,6
0,ALDR,0,0,9,2022-05-02,9
0,ALDR,0,0,12,2022-05-03,12
0,ALDR,0,0,22,2022-05-04,22
0,ALDR,0,0,19,2022-05-07,19
0,ALDR,0,0,6,2022-05-08,6
0,ALDR,0,0,18,2022-05-10,18
0,ALDR,0,0,37,2022-05-11,37
0,ALDR,0,0,22,2022-05-12,22
0,ALDR,0,0,25,2022-05-16,25
0,ALDR,0,0,9,2022-05-18,9
