anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,24,2022-02-19,24
0,ALDR,0,0,1,2022-02-22,1
0,ALDR,0,0,25,2022-02-23,25
0,ALDR,0,0,24,2022-02-27,24
0,ALDR,0,0,1,2022-03-02,1
0,ALDR,0,0,25,2022-03-03,25
0,ALDR,0,0,20,2022-03-04,20
0,ALDR,0,0,5,2022-03-06,5
0,ALDR,0,0,4,2022-03-09,4
0,ALDR,0,0,23,2022-03-10,23
0,ALDR,0,0,23,2022-03-11,23
0,ALDR,0,0,20,2022-03-12,20
0,ALDR,0,0,5,2022-03-15,5
0,ALDR,0,0,2,2022-03-18,2
0,ALDR,0,0,25,2022-03-19,25
0,ALDR,0,0,11,2022-03-20,11
0,ALDR,0,0,7,2022-03-22,7
0,ALDR,0,0,5,2022-03-23,5
0,ALDR,0,0,25,2022-03-25,25
0,ALDR,0,0,2,2022-03-26,2
0,ALDR,0,0,25,2022-03-27,25
0,ALDR,0,1,36,2022-03-28,35
0,ALDR,0,0,7,2022-03-30,7
0,ALDR,0,0,5,2022-03-31,5
0,ALDR,0,0,25,2022-04-01,25
0,ALDR,0,0,25,2022-04-02,25
0,ALDR,0,0,24,2022-04-03,24
0,ALDR,0,0,28,2022-04-04,28
0,ALDR,0,0,36,2022-04-05,36
0,ALDR,0,0,7,2022-04-07,7
0,ALDR,0,0,5,2022-04-08,5
0,ALDR,0,0,12,2022-04-09,12
1,ALDR,0,0,38,2022-04-10,37
0,ALDR,0,0,24,2022-04-11,24
0,ALDR,0,0,28,2022-04-12,28
0,ALDR,0,0,11,2022-04-13,11
0,ALDR,0,0,7,2022-04-15,7
0,ALDR,0,0,2,2022-04-17,2
0,ALDR,0,0,3,2022-04-18,3
0,ALDR,0,0,2,2022-04-19,2
0,ALDR,0,0,26,2022-04-20,26
0,ANON,0,0,6,2022-01-03,6
1,ANON,0,0,95,2022-02-17,94
0,ANON,0,0,1,2022-02-19,1
1,ANON,0,0,79,2022-02-21,78
0,ANON,0,0,5,2022-02-22,5
1,ANON,0,0,60,2022-02-23,59
1,ANON,0,0,32,2022-02-24,31
0,ANON,0,0,95,2022-02-25,95
0,ANON,0,0,2,2022-02-27,2
2,ANON,0,0,87,2022-02-28,85
0,ANON,0,0,69,2022-03-01,69
0,ANON,0,0,18,2022-03-02,18
0,ANON,0,0,53,2022-03-03,53
0,ANON,0,0,47,2022-03-04,47
1,ANON,0,0,12,2022-03-05,11
0,ANON,0,0,138,2022-03-06,138
0,ANON,0,0,4,2022-03-07,4
0,ANON,0,0,35,2022-03-08,35
0,ANON,0,0,65,2022-03-09,65
0,ANON,0,0,30,2022-03-10,30
0,ANON,0,0,133,2022-03-11,133
0,ANON,0,0,46,2022-03-12,46
1,ANON,0,0,13,2022-03-13,12
10,ANON,0,3,49,2022-03-14,36
0,ANON,0,0,84,2022-03-15,84
0,ANON,0,0,29,2022-03-17,29
0,ANON,0,0,5,2022-03-18,5
0,ANON,0,0,60,2022-03-19,60
0,ANON,0,0,3,2022-03-20,3
0,ANON,0,0,4,2022-03-21,4
2,ANON,0,0,89,2022-03-22,87
1,ANON,0,0,125,2022-03-23,124
1,ANON,0,0,61,2022-03-24,60
1,ANON,0,0,55,2022-03-25,54
0,ANON,0,0,34,2022-03-26,34
3,ANON,0,0,171,2022-03-27,168
0,ANON,0,0,34,2022-03-28,34
0,ANON,0,0,80,2022-03-29,80
1,ANON,0,1,90,2022-03-30,88
3,ANON,0,1,132,2022-03-31,128
4,ANON,0,0,247,2022-04-01,243
2,ANON,0,0,56,2022-04-02,54
1,ANON,0,0,127,2022-04-03,126
1,ANON,0,0,192,2022-04-04,191
1,ANON,0,0,107,2022-04-05,106
0,ANON,0,0,131,2022-04-06,131
0,ANON,0,0,44,2022-04-07,44
2,ANON,0,0,145,2022-04-08,143
0,ANON,0,0,137,2022-04-09,137
1,ANON,0,0,137,2022-04-10,136
1,ANON,0,0,121,2022-04-11,120
0,ANON,0,0,122,2022-04-12,122
0,ANON,0,0,26,2022-04-13,26
0,ANON,0,0,111,2022-04-14,111
0,ANON,0,0,44,2022-04-15,44
1,ANON,0,0,26,2022-04-16,25
0,ANON,0,0,66,2022-04-17,66
2,ANON,0,0,53,2022-04-18,51
0,ANON,0,0,1,2022-04-19,1
0,ANON,0,0,14,2022-04-20,14
1,ANON,0,0,5,2022-08-31,4
1,ANON,0,0,6,2022-12-07,5
0,COMM,0,0,15,2022-02-19,15
