anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
11,ALDR,0,0,14,2022-05-09,3
8,ALDR,0,0,11,2022-05-10,3
0,ALDR,0,0,29,2022-06-25,29
0,ALDR,0,0,9,2022-07-28,9
2,ALDR,0,0,33,2022-09-11,31
0,ALDR,0,0,10,2022-09-17,10
1,ALDR,0,0,37,2022-09-29,36
0,ALDR,0,1,41,2022-10-08,40
0,ALDR,0,0,30,2022-10-27,30
0,ALDR,0,0,7,2022-10-28,7
0,ALDR,0,2,33,2022-10-31,31
0,ALDR,0,0,8,2022-11-01,8
0,ALDR,0,0,13,2022-11-03,13
1,ALDR,0,1,80,2022-11-05,78
0,ALDR,0,0,53,2022-11-18,53
0,ALDR,0,0,21,2022-11-24,21
0,ALDR,0,1,51,2022-11-26,50
0,ALDR,0,0,88,2022-11-27,88
0,ALDR,0,0,63,2022-11-28,63
0,ALDR,0,0,44,2022-11-29,44
0,ALDR,0,0,10,2022-11-30,10
0,ALDR,0,1,15,2022-12-02,14
0,ALDR,0,10,95,2022-12-03,85
0,ALDR,0,0,55,2022-12-09,55
0,ALDR,0,0,41,2022-12-10,41
0,ALDR,0,0,58,2022-12-11,58
0,ALDR,0,1,60,2022-12-12,59
0,ALDR,0,0,53,2022-12-13,53
0,ALDR,0,0,3,2022-12-14,3
0,ALDR,0,0,36,2022-12-15,36
0,ALDR,0,1,85,2022-12-16,84
0,ALDR,0,0,21,2022-12-17,21
0,ALDR,0,0,43,2022-12-18,43
0,ALDR,0,0,22,2022-12-21,22
0,ALDR,0,0,13,2022-12-22,13
0,ALDR,0,0,77,2022-12-24,77
0,ALDR,0,0,116,2022-12-25,116
0,ALDR,0,1,37,2022-12-26,36
0,ALDR,0,0,42,2022-12-27,42
0,ALDR,0,0,20,2022-12-28,20
0,ALDR,0,0,7,2022-12-29,7
0,ALDR,0,0,8,2022-12-30,8
20,ANON,0,0,36,2022-04-27,16
22,ANON,0,0,39,2022-05-03,17
14,ANON,0,0,18,2022-05-04,4
19,ANON,0,0,36,2022-05-06,17
0,ANON,0,0,1,2022-05-09,1
36,ANON,0,0,58,2022-05-13,22
0,ANON,0,0,52,2022-06-13,52
1,ANON,0,0,22,2022-06-15,21
4,ANON,0,0,26,2022-06-16,22
2,ANON,0,0,48,2022-06-21,46
0,ANON,0,0,48,2022-06-28,48
0,ANON,0,0,4,2022-06-30,4
1,ANON,0,0,48,2022-07-03,47
2,ANON,0,0,37,2022-07-11,35
3,ANON,0,0,63,2022-07-19,60
0,ANON,0,1,37,2022-07-24,36
2,ANON,0,0,53,2022-07-31,51
2,ANON,0,0,14,2022-08-02,12
19,ANON,0,1,182,2022-08-03,162
2,ANON,0,0,23,2022-08-04,21
2,ANON,0,0,19,2022-08-05,17
2,ANON,0,0,9,2022-08-07,7
2,ANON,0,0,10,2022-08-09,8
0,ANON,0,0,1,2022-08-11,1
0,ANON,0,0,1,2022-08-12,1
3,ANON,0,0,44,2022-08-15,41
0,ANON,0,0,39,2022-08-17,39
0,ANON,0,0,23,2022-08-19,23
1,ANON,0,4,35,2022-08-21,30
37,ANON,0,4,92,2022-08-23,51
0,ANON,0,1,1,2022-08-24,0
12,ANON,0,3,21,2022-09-01,6
12,ANON,0,4,117,2022-09-08,101
0,ANON,0,1,45,2022-09-09,44
0,ANON,0,2,9,2022-09-10,7
0,ANON,0,0,1,2022-09-11,1
4,ANON,0,3,64,2022-09-12,57
1,ANON,0,0,11,2022-09-14,10
0,ANON,0,0,2,2022-09-15,2
0,ANON,0,0,2,2022-09-17,2
4,ANON,0,6,122,2022-09-18,112
0,ANON,0,2,26,2022-09-19,24
3,ANON,0,5,76,2022-09-20,68
3,ANON,0,0,18,2022-09-24,15
37,ANON,0,20,115,2022-09-26,58
3,ANON,0,8,96,2022-09-27,85
0,ANON,0,0,47,2022-09-28,47
3,ANON,0,6,89,2022-09-30,80
0,ANON,0,0,46,2022-10-02,46
0,ANON,0,2,8,2022-10-03,6
4,ANON,0,8,141,2022-10-07,129
1,ANON,0,2,13,2022-10-08,10
2,ANON,0,2,86,2022-10-09,82
9,ANON,0,1,10,2022-10-12,0
0,ANON,0,0,2,2022-10-15,2
7,ANON,0,4,85,2022-10-17,74
1,ANON,0,0,11,2022-10-18,10
4,ANON,0,3,75,2022-10-24,68
0,ANON,0,2,36,2022-10-25,34
11,ANON,0,3,17,2022-10-27,3
3,ANON,0,1,33,2022-10-28,29
0,ANON,0,3,117,2022-10-30,114
0,ANON,0,0,9,2022-10-31,9
4,ANON,0,6,105,2022-11-03,95
5,ANON,0,14,148,2022-11-04,129
3,ANON,0,12,219,2022-11-06,204
0,ANON,0,1,28,2022-11-07,27
0,ANON,0,0,10,2022-11-08,10
92,ANON,0,17,280,2022-11-09,171
2,ANON,0,0,2,2022-11-15,0
2,ANON,0,1,3,2022-11-17,0
5,ANON,0,5,130,2022-11-21,120
0,ANON,0,6,44,2022-11-22,38
3,ANON,0,8,102,2022-11-23,91
4,ANON,0,3,86,2022-11-24,79
50,ANON,0,14,297,2022-11-25,233
27,ANON,0,18,359,2022-11-26,314
5,ANON,0,19,120,2022-11-27,96
4,ANON,0,8,228,2022-11-28,216
68,ANON,0,7,207,2022-11-29,132
7,ANON,0,3,90,2022-11-30,80
12,ANON,0,11,329,2022-12-01,306
8,ANON,0,3,42,2022-12-02,31
9,ANON,0,15,214,2022-12-03,190
43,ANON,0,9,224,2022-12-04,172
38,ANON,0,21,459,2022-12-05,400
11,ANON,0,13,227,2022-12-06,203
4,ANON,0,0,20,2022-12-07,16
3,ANON,0,4,111,2022-12-08,104
18,ANON,0,6,121,2022-12-09,97
19,ANON,0,14,372,2022-12-10,339
3,ANON,0,1,65,2022-12-11,61
10,ANON,0,2,75,2022-12-12,63
5,ANON,0,6,110,2022-12-13,99
3,ANON,0,5,107,2022-12-14,99
0,ANON,0,0,7,2022-12-15,7
52,ANON,0,11,263,2022-12-16,200
37,ANON,0,20,299,2022-12-17,242
1,ANON,0,19,230,2022-12-18,210
6,ANON,0,3,129,2022-12-19,120
47,ANON,0,5,269,2022-12-20,217
14,ANON,0,3,130,2022-12-21,113
20,ANON,0,9,291,2022-12-22,262
6,ANON,0,0,23,2022-12-23,17
37,ANON,0,25,417,2022-12-24,355
8,ANON,0,4,94,2022-12-25,82
37,ANON,0,14,328,2022-12-26,277
22,ANON,0,8,173,2022-12-27,143
