anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,1,24,2022-01-12,23
0,ALDR,0,0,24,2022-01-25,24
0,ALDR,0,0,64,2022-06-28,64
0,ALDR,0,0,16,2022-06-29,16
0,ALDR,0,0,16,2022-06-30,16
0,ALDR,0,1,37,2022-10-22,36
0,ALDR,0,1,37,2022-10-25,36
0,ALDR,0,0,39,2022-10-28,39
0,ALDR,0,0,58,2022-10-30,58
0,ALDR,0,0,42,2022-11-01,42
0,ALDR,0,0,33,2022-11-05,33
0,ALDR,0,1,40,2022-11-09,39
0,ALDR,0,0,51,2022-11-10,51
0,ALDR,0,0,2,2022-11-12,2
0,ALDR,0,1,34,2022-11-13,33
0,ALDR,0,0,51,2022-11-15,51
0,ALDR,0,1,9,2022-11-18,8
0,ALDR,0,1,49,2022-11-19,48
0,ALDR,0,0,51,2022-11-20,51
0,ALDR,0,0,37,2022-11-24,37
0,ALDR,0,0,39,2022-11-27,39
0,ALDR,0,0,8,2022-11-28,8
0,ALDR,0,0,61,2022-12-01,61
0,ALDR,0,0,1,2022-12-02,1
0,ALDR,0,0,44,2022-12-04,44
0,ALDR,0,1,62,2022-12-07,61
0,ALDR,0,0,7,2022-12-08,7
0,ALDR,0,1,47,2022-12-12,46
0,ALDR,0,1,44,2022-12-18,43
0,ALDR,0,0,3,2022-12-19,3
0,ALDR,0,0,9,2022-12-20,9
0,ALDR,0,0,53,2022-12-21,53
0,ALDR,0,0,45,2022-12-29,45
0,ALDR,0,0,14,2022-12-30,14
0,ANON,0,0,64,2022-01-01,64
0,ANON,0,0,6,2022-01-06,6
0,ANON,0,0,16,2022-01-09,16
0,ANON,0,0,90,2022-01-12,90
1,ANON,0,0,8,2022-01-19,7
1,ANON,0,0,64,2022-01-20,63
0,ANON,0,0,1,2022-01-25,1
2,ANON,0,0,23,2022-01-27,21
0,ANON,0,0,46,2022-01-29,46
0,ANON,0,0,3,2022-02-15,3
1,ANON,0,0,50,2022-02-16,49
1,ANON,0,0,57,2022-03-05,56
1,ANON,0,0,35,2022-03-11,34
1,ANON,0,0,92,2022-03-23,91
1,ANON,0,0,94,2022-05-31,93
0,ANON,0,0,41,2022-06-10,41
0,ANON,0,0,1,2022-06-26,1
11,ANON,0,2,334,2022-06-27,321
2,ANON,0,0,99,2022-06-28,97
1,ANON,0,0,18,2022-06-29,17
2,ANON,0,0,96,2022-06-30,94
1,ANON,0,4,34,2022-09-16,29
5,ANON,0,0,17,2022-09-17,12
1,ANON,0,1,19,2022-09-18,17
1,ANON,0,0,1,2022-09-19,0
4,ANON,0,3,20,2022-09-20,13
2,ANON,0,4,34,2022-09-21,28
2,ANON,0,0,20,2022-10-19,18
0,ANON,0,6,141,2022-10-20,135
0,ANON,0,2,57,2022-10-21,55
6,ANON,0,4,92,2022-10-22,82
0,ANON,0,2,97,2022-10-23,95
3,ANON,0,3,107,2022-10-25,101
2,ANON,0,9,142,2022-10-26,131
0,ANON,0,0,4,2022-10-27,4
1,ANON,0,6,171,2022-10-28,164
1,ANON,0,6,88,2022-10-29,81
0,ANON,0,0,24,2022-10-30,24
2,ANON,0,6,132,2022-10-31,124
1,ANON,0,6,124,2022-11-01,117
0,ANON,0,0,1,2022-11-02,1
0,ANON,0,14,211,2022-11-03,197
0,ANON,0,0,19,2022-11-04,19
11,ANON,0,9,151,2022-11-06,131
8,ANON,0,2,120,2022-11-07,110
1,ANON,0,0,4,2022-11-08,3
3,ANON,0,3,88,2022-11-09,82
1,ANON,0,1,67,2022-11-10,65
1,ANON,0,3,91,2022-11-11,87
13,ANON,0,21,211,2022-11-12,177
5,ANON,0,10,170,2022-11-13,155
1,ANON,0,0,94,2022-11-14,93
1,ANON,0,1,31,2022-11-15,29
7,ANON,0,3,205,2022-11-16,195
1,ANON,0,0,12,2022-11-17,11
3,ANON,0,7,164,2022-11-18,154
2,ANON,0,6,111,2022-11-19,103
6,ANON,0,24,175,2022-11-20,145
1,ANON,0,6,100,2022-11-21,93
0,ANON,0,0,4,2022-11-22,4
1,ANON,0,4,101,2022-11-23,96
0,ANON,0,1,37,2022-11-24,36
1,ANON,0,4,148,2022-11-25,143
0,ANON,0,0,1,2022-11-26,1
0,ANON,0,5,37,2022-11-27,32
1,ANON,0,3,75,2022-11-28,71
1,ANON,0,1,42,2022-11-29,40
10,ANON,0,6,245,2022-11-30,229
6,ANON,0,6,151,2022-12-01,139
1,ANON,0,0,107,2022-12-02,106
0,ANON,0,0,7,2022-12-03,7
4,ANON,0,3,104,2022-12-04,97
3,ANON,0,8,174,2022-12-05,163
0,ANON,0,1,4,2022-12-06,3
