anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,38,2022-01-01,38
0,ALDR,0,0,29,2022-01-02,29
0,ALDR,0,0,86,2022-01-03,86
0,ALDR,0,0,46,2022-01-04,46
0,ALDR,0,0,19,2022-01-05,19
0,ALDR,0,0,4,2022-01-06,4
0,ALDR,0,0,37,2022-01-07,37
1,ALDR,0,0,43,2022-01-08,42
1,ALDR,0,1,40,2022-01-09,38
0,ALDR,0,0,68,2022-01-10,68
2,ALDR,0,0,114,2022-01-11,112
0,ALDR,0,0,38,2022-01-12,38
1,ALDR,0,0,44,2022-01-13,43
0,ALDR,0,0,4,2022-01-14,4
1,ALDR,0,0,29,2022-01-15,28
0,ALDR,0,0,35,2022-01-16,35
0,ALDR,0,1,52,2022-01-17,51
0,ALDR,0,0,64,2022-01-18,64
9,ALDR,0,0,121,2022-01-19,112
0,ALDR,0,0,38,2022-01-20,38
0,ALDR,0,0,64,2022-01-21,64
0,ALDR,0,0,4,2022-01-22,4
0,ALDR,0,1,23,2022-01-23,22
2,ALDR,0,0,49,2022-01-24,47
1,ALDR,0,0,69,2022-01-25,68
0,ALDR,0,0,53,2022-01-26,53
4,ALDR,0,0,102,2022-01-27,98
1,ALDR,0,4,74,2022-01-28,69
2,ALDR,0,0,32,2022-01-29,30
0,ALDR,0,0,23,2022-01-30,23
3,ALDR,0,0,78,2022-01-31,75
0,ALDR,0,0,36,2022-02-01,36
0,ALDR,0,0,93,2022-02-02,93
1,ALDR,0,0,57,2022-02-03,56
2,ALDR,0,0,135,2022-02-04,133
0,ALDR,0,0,54,2022-02-05,54
1,ALDR,0,0,58,2022-02-06,57
1,ALDR,0,0,29,2022-02-07,28
0,ALDR,0,0,79,2022-02-08,79
0,ALDR,0,0,36,2022-02-09,36
1,ALDR,0,0,127,2022-02-10,126
1,ALDR,0,0,40,2022-02-11,39
5,ALDR,0,0,104,2022-02-12,99
0,ALDR,0,0,54,2022-02-13,54
2,ALDR,0,0,55,2022-02-14,53
0,ALDR,0,0,29,2022-02-15,29
0,ALDR,0,0,48,2022-02-16,48
0,ALDR,0,0,38,2022-02-17,38
0,ALDR,0,0,164,2022-02-18,164
1,ALDR,0,0,74,2022-02-19,73
1,ALDR,0,0,112,2022-02-20,111
1,ALDR,0,0,52,2022-02-21,51
0,ALDR,0,0,75,2022-02-22,75
1,ALDR,0,0,32,2022-02-23,31
0,ALDR,0,0,44,2022-02-24,44
0,ALDR,0,0,48,2022-02-25,48
3,ALDR,0,0,106,2022-02-26,103
0,ALDR,0,0,51,2022-02-27,51
2,ALDR,0,0,96,2022-02-28,94
0,ALDR,0,0,43,2022-03-01,43
1,ALDR,0,0,23,2022-03-02,22
0,ALDR,0,0,30,2022-03-03,30
0,ALDR,0,0,27,2022-03-04,27
0,ALDR,0,0,27,2022-03-05,27
1,ALDR,0,0,64,2022-03-06,63
0,ALDR,0,0,41,2022-03-07,41
1,ALDR,0,1,91,2022-03-08,89
0,ALDR,0,0,21,2022-03-09,21
3,ALDR,0,0,40,2022-03-10,37
1,ALDR,0,0,24,2022-03-11,23
1,ALDR,0,0,16,2022-03-12,15
0,ALDR,0,0,22,2022-03-13,22
0,ALDR,0,7,63,2022-03-14,56
0,ALDR,0,0,41,2022-03-15,41
1,ALDR,0,0,64,2022-03-16,63
0,ALDR,0,0,17,2022-03-17,17
0,ALDR,0,0,19,2022-03-18,19
0,ALDR,0,0,5,2022-03-19,5
0,ALDR,0,0,1,2022-03-20,1
1,ALDR,0,0,14,2022-03-21,13
0,ALDR,0,0,33,2022-03-22,33
0,ALDR,0,0,11,2022-03-23,11
2,ALDR,0,1,65,2022-03-24,62
1,ALDR,0,0,9,2022-03-25,8
1,ALDR,0,0,17,2022-03-26,16
0,ALDR,0,1,7,2022-03-27,6
1,ALDR,0,0,30,2022-03-28,29
0,ALDR,0,2,16,2022-03-29,14
0,ALDR,0,1,32,2022-03-30,31
0,ALDR,0,1,11,2022-03-31,10
0,ALDR,0,7,64,2022-04-01,57
0,ALDR,0,0,9,2022-04-02,9
0,ALDR,0,0,17,2022-04-03,17
1,ALDR,0,0,38,2022-04-04,37
0,ALDR,0,0,30,2022-04-05,30
0,ALDR,0,0,18,2022-04-06,18
0,ALDR,0,0,33,2022-04-07,33
0,ALDR,0,0,39,2022-04-08,39
9,ALDR,0,0,44,2022-04-09,35
0,ALDR,0,0,6,2022-04-10,6
1,ALDR,0,0,7,2022-04-11,6
0,ALDR,0,0,4,2022-04-12,4
0,ALDR,0,0,10,2022-04-13,10
1,ALDR,0,0,17,2022-04-14,16
0,ALDR,0,0,29,2022-04-15,29
0,ALDR,0,1,11,2022-04-16,10
0,ALDR,0,0,42,2022-04-17,42
0,ALDR,0,0,6,2022-04-18,6
2,ALDR,0,0,37,2022-04-19,35
0,ALDR,0,0,4,2022-04-20,4
0,ALDR,0,0,9,2022-04-21,9
0,ALDR,0,0,18,2022-04-22,18
2,ALDR,0,0,29,2022-04-23,27
0,ALDR,0,0,45,2022-04-24,45
3,ALDR,0,0,38,2022-04-25,35
1,ALDR,0,0,6,2022-04-26,5
1,ALDR,0,0,43,2022-04-27,42
0,ALDR,0,0,5,2022-04-28,5
