anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
1,ALDR,0,1,12,2022-10-23,10
3,ANON,0,0,59,2022-06-29,56
2,ANON,0,0,44,2022-07-13,42
0,ANON,0,0,31,2022-07-21,31
1,ANON,0,0,12,2022-07-27,11
2,ANON,0,4,44,2022-08-26,38
3,ANON,0,0,20,2022-08-29,17
3,ANON,0,4,34,2022-10-11,27
17,ANON,0,7,122,2022-10-16,98
3,ANON,0,0,6,2022-10-18,3
18,ANON,0,8,70,2022-10-23,44
2,ANON,0,0,7,2022-11-06,5
0,COMT,0,0,8,2022-06-28,8
0,COMT,0,0,6,2022-07-13,6
0,COMT,0,0,6,2022-07-27,6
0,COMT,0,0,6,2022-08-25,6
0,COMT,0,0,12,2022-08-29,12
0,COMT,0,0,6,2022-10-11,6
0,COMT,0,0,4,2022-10-16,4
5,COMT,0,3,115,2022-10-18,107
0,COMT,0,0,7,2022-10-23,7
0,COMT,0,0,6,2022-11-06,6
2,CULTR,0,0,36,2022-10-22,34
14,CULTR,0,0,122,2022-10-23,108
0,DATE,0,0,5,2022-10-23,5
0,ENV,0,0,1,2022-10-18,1
1,ENV,0,1,43,2022-10-19,41
2,ENV,0,0,16,2022-10-22,14
5,ENV,0,0,15,2022-10-23,10
0,FILE,0,2,53,2022-10-22,51
0,FILE,0,0,80,2022-10-23,80
0,GMB,0,1,2,2022-10-23,1
1,GOVT,0,1,8,2022-10-22,6
8,GOVT,0,5,70,2022-10-23,57
8,GRP,0,0,172,2022-06-28,164
0,GRP,0,0,7,2022-06-29,7
0,GRP,0,0,2,2022-06-30,2
0,GRP,0,0,68,2022-07-13,68
0,GRP,0,0,2,2022-07-20,2
0,GRP,0,0,4,2022-07-21,4
0,GRP,0,0,1,2022-07-25,1
0,GRP,0,0,63,2022-07-27,63
2,GRP,0,0,48,2022-08-25,46
0,GRP,0,0,20,2022-08-26,20
0,GRP,0,0,134,2022-08-29,134
5,GRP,0,0,85,2022-10-11,80
0,GRP,0,0,2,2022-10-15,2
0,GRP,0,0,16,2022-10-16,16
0,GRP,0,0,7,2022-10-18,7
0,GRP,0,0,6,2022-10-19,6
0,GRP,0,0,2,2022-10-20,2
0,GRP,0,0,4,2022-10-22,4
7,GRP,0,0,104,2022-10-23,97
5,GRP,0,0,83,2022-11-06,78
0,HATE,0,0,2,2022-10-23,2
0,HOST,0,0,4,2022-06-28,4
0,HOST,0,0,2,2022-07-13,2
0,HOST,0,0,1,2022-07-27,1
0,HOST,0,0,2,2022-08-26,2
0,HOST,0,0,2,2022-08-29,2
0,HOST,0,0,18,2022-10-18,18
2,HOST,0,5,112,2022-10-19,105
0,HOST,0,0,3,2022-10-20,3
2,HOST,0,0,22,2022-10-22,20
5,HOST,0,0,15,2022-10-23,10
1,HUMR,0,0,38,2022-06-29,37
0,HUMR,0,0,24,2022-07-13,24
0,HUMR,0,0,1,2022-07-20,1
0,HUMR,0,0,39,2022-07-21,39
0,HUMR,0,0,3,2022-07-27,3
0,HUMR,0,0,25,2022-08-26,25
0,HUMR,0,0,8,2022-08-29,8
0,HUMR,0,1,26,2022-10-11,25
16,HUMR,0,5,229,2022-10-16,208
3,HUMR,0,0,6,2022-10-18,3
0,HUMR,0,2,37,2022-10-23,35
0,IGO,0,0,18,2022-10-23,18
3,LGBT,0,0,39,2022-06-29,36
0,LGBT,0,0,2,2022-06-30,2
1,LGBT,0,0,25,2022-07-13,24
0,LGBT,0,0,1,2022-07-20,1
0,LGBT,0,0,22,2022-07-21,22
0,LGBT,0,0,3,2022-07-27,3
1,LGBT,0,0,25,2022-08-26,24
0,LGBT,0,0,6,2022-08-29,6
1,LGBT,0,0,25,2022-10-11,24
7,LGBT,0,0,103,2022-10-16,96
1,LGBT,0,0,3,2022-10-18,2
9,LGBT,0,1,30,2022-10-23,20
0,MMED,0,0,11,2022-06-28,11
