anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,3,2022-06-10,3
0,ALDR,0,0,29,2022-06-13,29
2,ALDR,0,0,32,2022-06-21,30
0,ALDR,0,0,8,2022-06-22,8
1,ALDR,0,0,43,2022-06-29,42
0,ALDR,0,0,13,2022-06-30,13
0,ALDR,0,0,8,2022-07-03,8
0,ALDR,0,0,32,2022-07-07,32
0,ALDR,0,0,24,2022-07-14,24
0,ALDR,0,0,8,2022-07-18,8
1,ALDR,0,0,37,2022-10-26,36
2,ALDR,0,0,37,2022-10-27,35
2,ALDR,0,1,53,2022-11-13,50
1,ANON,0,0,46,2022-04-28,45
1,ANON,0,0,64,2022-04-29,63
0,ANON,0,0,94,2022-06-07,94
0,ANON,0,0,2,2022-06-08,2
0,ANON,0,0,86,2022-06-13,86
0,ANON,0,0,1,2022-06-15,1
1,ANON,0,0,17,2022-06-20,16
2,ANON,0,0,82,2022-06-21,80
4,ANON,0,0,36,2022-06-22,32
0,ANON,0,0,11,2022-06-23,11
2,ANON,0,0,69,2022-06-27,67
2,ANON,0,1,141,2022-06-28,138
1,ANON,0,0,12,2022-06-29,11
8,ANON,0,0,151,2022-06-30,143
0,ANON,0,0,38,2022-07-01,38
0,ANON,0,0,6,2022-07-03,6
6,ANON,0,0,71,2022-07-07,65
0,ANON,0,0,29,2022-07-08,29
4,ANON,0,0,81,2022-07-11,77
1,ANON,0,0,18,2022-07-12,17
2,ANON,0,0,22,2022-07-14,20
3,ANON,0,0,77,2022-07-15,74
4,ANON,0,1,44,2022-07-17,39
3,ANON,0,1,92,2022-07-18,88
2,ANON,0,0,17,2022-07-19,15
1,ANON,0,1,19,2022-07-24,17
0,ANON,0,1,4,2022-07-25,3
10,ANON,0,2,192,2022-07-28,180
2,ANON,0,0,58,2022-07-29,56
4,ANON,0,0,48,2022-08-01,44
7,ANON,0,0,60,2022-08-04,53
4,ANON,0,1,52,2022-08-05,47
8,ANON,0,1,90,2022-08-06,81
5,ANON,0,1,86,2022-08-09,80
3,ANON,0,1,54,2022-08-10,50
2,ANON,0,2,36,2022-08-18,32
1,ANON,0,0,12,2022-08-19,11
2,ANON,0,1,36,2022-08-22,33
14,ANON,0,8,84,2022-08-23,62
6,ANON,0,5,60,2022-08-24,49
8,ANON,0,10,108,2022-08-25,90
4,ANON,0,4,48,2022-08-26,40
4,ANON,0,7,65,2022-08-29,54
6,ANON,0,6,78,2022-08-30,66
4,ANON,0,7,65,2022-08-31,54
3,ANON,0,2,26,2022-09-01,21
4,ANON,0,5,52,2022-09-02,43
1,ANON,0,2,40,2022-09-04,37
7,ANON,0,19,210,2022-09-05,184
2,ANON,0,5,39,2022-09-06,32
2,ANON,0,6,32,2022-09-07,24
2,ANON,0,6,32,2022-09-08,24
1,ANON,0,1,8,2022-09-09,6
0,ANON,0,1,28,2022-09-10,27
2,ANON,0,2,16,2022-09-12,12
2,ANON,0,2,16,2022-09-13,12
5,ANON,0,5,40,2022-09-14,30
3,ANON,0,3,24,2022-09-15,18
1,ANON,0,3,14,2022-09-16,10
6,ANON,0,6,42,2022-09-19,30
5,ANON,0,5,35,2022-09-20,25
7,ANON,0,11,63,2022-09-21,45
1,ANON,0,3,14,2022-09-23,10
7,ANON,0,7,49,2022-09-26,35
