anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,47,2022-01-01,47
1,ALDR,0,0,91,2022-01-02,90
0,ALDR,0,0,34,2022-01-03,34
0,ALDR,0,0,35,2022-01-04,35
0,ALDR,0,0,38,2022-01-05,38
0,ALDR,0,0,48,2022-01-06,48
0,ALDR,0,0,24,2022-01-07,24
0,ALDR,0,0,19,2022-01-08,19
0,ALDR,0,0,26,2022-01-09,26
0,ALDR,0,0,93,2022-01-10,93
0,ALDR,0,0,53,2022-01-11,53
0,ALDR,0,0,35,2022-01-12,35
0,ALDR,0,0,40,2022-01-13,40
0,ALDR,0,0,46,2022-01-14,46
0,ALDR,0,1,11,2022-01-15,10
0,ALDR,0,0,16,2022-01-16,16
0,ALDR,0,0,72,2022-01-17,72
0,ALDR,0,0,68,2022-01-18,68
0,ALDR,0,0,73,2022-01-19,73
0,ALDR,0,0,39,2022-01-20,39
0,ALDR,0,1,69,2022-01-21,68
0,ALDR,0,0,94,2022-01-22,94
0,ALDR,0,0,49,2022-01-23,49
0,ALDR,0,1,86,2022-01-24,85
1,ALDR,0,1,101,2022-01-25,99
0,ALDR,0,3,137,2022-01-26,134
0,ALDR,0,0,107,2022-01-27,107
0,ALDR,0,1,57,2022-01-28,56
0,ALDR,0,1,100,2022-01-29,99
0,ALDR,0,2,107,2022-01-30,105
0,ALDR,0,0,57,2022-01-31,57
7,ALDR,0,0,78,2022-02-01,71
10,ALDR,0,0,126,2022-02-02,116
0,ALDR,0,1,112,2022-02-03,111
0,ALDR,0,0,60,2022-02-04,60
0,ALDR,0,0,22,2022-02-05,22
0,ALDR,0,1,90,2022-02-06,89
0,ALDR,0,0,103,2022-02-07,103
1,ALDR,0,1,71,2022-02-08,69
0,ALDR,0,0,73,2022-02-09,73
11,ALDR,0,0,67,2022-02-10,56
0,ALDR,0,0,97,2022-02-11,97
0,ALDR,0,0,101,2022-02-12,101
0,ALDR,0,0,22,2022-02-13,22
1,ALDR,0,1,53,2022-02-14,51
0,ALDR,0,0,68,2022-02-15,68
8,ALDR,0,0,57,2022-02-16,49
0,ALDR,0,0,34,2022-02-17,34
0,ALDR,0,1,76,2022-02-18,75
0,ALDR,0,0,73,2022-02-19,73
0,ALDR,0,0,73,2022-02-20,73
0,ALDR,0,0,49,2022-02-21,49
2,ALDR,0,0,79,2022-02-22,77
9,ALDR,0,2,66,2022-02-23,55
0,ALDR,0,0,51,2022-02-24,51
0,ALDR,0,0,34,2022-02-25,34
0,ALDR,0,1,75,2022-02-26,74
0,ALDR,0,0,73,2022-02-27,73
0,ALDR,0,0,98,2022-02-28,98
0,ALDR,0,1,74,2022-03-01,73
2,ALDR,0,0,79,2022-03-02,77
0,ALDR,0,1,66,2022-03-03,65
0,ALDR,0,0,90,2022-03-04,90
0,ALDR,0,0,36,2022-03-05,36
0,ALDR,0,1,120,2022-03-06,119
4,ALDR,0,0,66,2022-03-07,62
0,ALDR,0,1,70,2022-03-08,69
0,ALDR,0,1,73,2022-03-09,72
2,ALDR,0,0,62,2022-03-10,60
0,ALDR,0,2,58,2022-03-11,56
0,ALDR,0,0,91,2022-03-12,91
