anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,53,2022-01-01,53
1,ALDR,0,0,113,2022-01-02,112
0,ALDR,0,0,57,2022-01-03,57
0,ALDR,0,0,37,2022-01-04,37
1,ALDR,0,0,58,2022-01-05,57
0,ALDR,0,0,64,2022-01-06,64
0,ALDR,0,0,34,2022-01-07,34
0,ALDR,0,1,32,2022-01-08,31
0,ALDR,0,0,42,2022-01-09,42
0,ALDR,0,0,72,2022-01-10,72
0,ALDR,0,0,28,2022-01-11,28
0,ALDR,0,0,49,2022-01-12,49
0,ALDR,0,0,28,2022-01-13,28
4,ALDR,0,0,56,2022-01-14,52
0,ALDR,0,0,14,2022-01-15,14
0,ALDR,0,0,30,2022-01-16,30
1,ALDR,0,0,64,2022-01-17,63
1,ALDR,0,0,98,2022-01-18,97
1,ALDR,0,0,83,2022-01-19,82
1,ALDR,0,0,43,2022-01-20,42
0,ALDR,0,0,35,2022-01-21,35
1,ALDR,0,0,67,2022-01-22,66
0,ALDR,0,0,16,2022-01-23,16
0,ALDR,0,0,40,2022-01-24,40
1,ALDR,0,1,89,2022-01-25,87
0,ALDR,0,0,56,2022-01-26,56
0,ALDR,0,0,56,2022-01-27,56
0,ALDR,0,0,39,2022-01-28,39
0,ALDR,0,0,20,2022-01-29,20
1,ALDR,0,0,31,2022-01-30,30
0,ALDR,0,0,5,2022-02-01,5
0,ALDR,0,0,28,2022-02-02,28
0,ALDR,0,0,93,2022-02-03,93
1,ALDR,0,0,65,2022-02-04,64
0,ALDR,0,0,23,2022-02-05,23
0,ALDR,0,0,35,2022-02-06,35
1,ALDR,0,3,33,2022-02-07,29
0,ALDR,0,0,26,2022-02-08,26
2,ALDR,0,6,33,2022-02-09,25
4,ALDR,0,3,62,2022-02-10,55
4,ALDR,0,4,69,2022-02-11,61
0,ALDR,0,0,71,2022-02-12,71
0,ALDR,0,0,35,2022-02-13,35
0,ALDR,0,1,35,2022-02-14,34
0,ALDR,0,0,61,2022-02-15,61
0,ALDR,0,0,38,2022-02-16,38
0,ALDR,0,0,36,2022-02-17,36
0,ALDR,0,0,59,2022-02-18,59
0,ALDR,0,0,67,2022-02-19,67
0,ALDR,0,0,71,2022-02-20,71
1,ALDR,0,0,32,2022-02-21,31
0,ALDR,0,0,18,2022-02-22,18
0,ALDR,0,0,65,2022-02-23,65
0,ALDR,0,0,44,2022-02-24,44
0,ALDR,0,0,29,2022-02-25,29
0,ALDR,0,0,43,2022-02-26,43
0,ALDR,0,0,76,2022-02-27,76
0,ALDR,0,0,71,2022-02-28,71
2,ALDR,0,0,39,2022-03-01,37
0,ALDR,0,0,39,2022-03-02,39
0,ALDR,0,0,41,2022-03-03,41
0,ALDR,0,0,41,2022-03-04,41
0,ALDR,0,0,58,2022-03-05,58
0,ALDR,0,2,52,2022-03-06,50
0,ALDR,0,0,75,2022-03-07,75
0,ALDR,0,0,63,2022-03-08,63
0,ALDR,0,0,30,2022-03-09,30
0,ALDR,0,0,11,2022-03-10,11
0,ALDR,0,0,31,2022-03-11,31
0,ALDR,0,0,40,2022-03-12,40
0,ALDR,0,0,49,2022-03-13,49
0,ALDR,0,0,33,2022-03-14,33
0,ALDR,0,0,49,2022-03-15,49
0,ALDR,0,0,57,2022-03-16,57
1,ALDR,0,0,50,2022-03-17,49
0,ALDR,0,1,48,2022-03-18,47
0,ALDR,0,0,25,2022-03-19,25
0,ALDR,0,2,71,2022-03-20,69
0,ALDR,0,0,30,2022-03-21,30
0,ALDR,0,0,48,2022-03-22,48
0,ALDR,0,0,81,2022-03-23,81
0,ALDR,0,0,36,2022-03-24,36
0,ALDR,0,0,40,2022-03-25,40
0,ALDR,0,0,4,2022-03-26,4
0,ALDR,0,5,20,2022-03-27,15
0,ALDR,0,5,51,2022-03-28,46
0,ALDR,0,3,52,2022-03-29,49
0,ALDR,0,2,23,2022-03-30,21
0,ALDR,0,11,69,2022-03-31,58
0,ALDR,0,6,42,2022-04-01,36
0,ALDR,0,0,20,2022-04-02,20
0,ALDR,0,0,18,2022-04-03,18
0,ALDR,0,0,17,2022-04-04,17
7,ALDR,0,0,93,2022-04-05,86
0,ALDR,0,0,37,2022-04-06,37
0,ALDR,0,0,27,2022-04-07,27
0,ALDR,0,0,71,2022-04-08,71
0,ALDR,0,0,44,2022-04-09,44
0,ALDR,0,0,52,2022-04-10,52
0,ALDR,0,0,16,2022-04-11,16
0,ALDR,0,0,37,2022-04-12,37
0,ALDR,0,0,113,2022-04-13,113
1,ALDR,0,0,27,2022-04-14,26
0,ALDR,0,0,18,2022-04-15,18
0,ALDR,0,0,61,2022-04-16,61
0,ALDR,0,0,35,2022-04-17,35
0,ALDR,0,0,70,2022-04-18,70
0,ALDR,0,0,16,2022-04-19,16
0,ALDR,0,0,37,2022-04-20,37
0,ALDR,0,0,113,2022-04-21,113
0,ALDR,0,0,38,2022-04-22,38
0,ALDR,0,0,36,2022-04-23,36
1,ALDR,0,0,61,2022-04-24,60
1,ALDR,0,0,83,2022-04-25,82
0,ALDR,0,0,68,2022-04-26,68
0,ALDR,0,0,43,2022-04-27,43
0,ALDR,0,0,38,2022-04-28,38
0,ALDR,0,0,120,2022-04-29,120
2,ALDR,0,0,31,2022-04-30,29
1,ALDR,0,0,24,2022-05-01,23
0,ALDR,0,0,61,2022-05-02,61
0,ALDR,0,0,43,2022-05-03,43
0,ALDR,0,0,15,2022-05-04,15
3,ALDR,0,0,30,2022-05-05,27
0,ALDR,0,0,27,2022-05-06,27
0,ALDR,0,0,63,2022-05-07,63
0,ALDR,0,0,37,2022-05-08,37
0,ALDR,0,0,43,2022-05-09,43
0,ALDR,0,0,64,2022-05-10,64
0,ALDR,0,0,80,2022-05-11,80
0,ALDR,0,0,62,2022-05-12,62
0,ALDR,0,0,19,2022-05-13,19
0,ALDR,0,0,39,2022-05-14,39
0,ALDR,0,0,62,2022-05-15,62
0,ALDR,0,0,66,2022-05-16,66
2,ALDR,0,0,77,2022-05-17,75
2,ALDR,0,0,68,2022-05-18,66
1,ALDR,0,0,87,2022-05-19,86
