anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,24,2022-01-21,24
0,ALDR,0,0,24,2022-01-22,24
0,ALDR,0,0,24,2022-01-25,24
0,ALDR,0,0,42,2022-01-27,42
0,ALDR,0,0,21,2022-01-28,21
0,ALDR,0,0,24,2022-01-29,24
0,ALDR,0,0,24,2022-01-30,24
0,ALDR,0,0,45,2022-01-31,45
0,ALDR,0,0,24,2022-02-02,24
0,ALDR,0,0,21,2022-02-04,21
0,ALDR,0,0,21,2022-02-05,21
0,ALDR,0,0,46,2022-03-16,46
0,ALDR,0,0,14,2022-03-17,14
0,ALDR,0,0,34,2022-03-18,34
0,ALDR,0,0,23,2022-03-22,23
0,ALDR,0,0,21,2022-03-24,21
0,ALDR,0,0,14,2022-03-25,14
21,ALDR,0,0,34,2022-03-26,13
0,ALDR,0,0,23,2022-03-30,23
0,ALDR,0,0,21,2022-04-01,21
0,ALDR,0,0,48,2022-04-03,48
1,ALDR,0,0,47,2022-04-04,46
0,ALDR,0,0,23,2022-04-07,23
0,ALDR,0,0,20,2022-04-10,20
0,ALDR,0,0,2,2022-04-11,2
0,ALDR,0,0,47,2022-04-12,47
0,ALDR,0,0,23,2022-04-15,23
0,ALDR,0,0,20,2022-04-18,20
0,ALDR,0,0,2,2022-04-19,2
2,ALDR,0,0,16,2022-04-20,14
0,ALDR,0,0,31,2022-04-21,31
2,ALDR,0,0,23,2022-04-23,21
0,ALDR,0,0,9,2022-05-06,9
0,ALDR,0,0,37,2022-05-08,37
2,ALDR,0,3,58,2022-11-07,53
0,ALDR,0,2,58,2022-11-27,56
0,ALDR,0,1,43,2022-11-28,42
0,ALDR,0,1,15,2022-11-29,14
0,ALDR,0,3,58,2022-11-30,55
0,ALDR,0,2,58,2022-12-02,56
0,ANON,0,0,71,2022-01-02,71
0,ANON,0,2,73,2022-01-20,71
1,ANON,0,0,72,2022-01-21,71
0,ANON,0,0,56,2022-01-22,56
0,ANON,0,0,86,2022-01-23,86
0,ANON,0,0,2,2022-01-24,2
1,ANON,0,0,28,2022-01-25,27
0,ANON,0,0,79,2022-01-26,79
6,ANON,0,0,45,2022-01-27,39
2,ANON,0,0,68,2022-01-28,66
1,ANON,0,0,134,2022-01-29,133
0,ANON,0,0,17,2022-01-30,17
1,ANON,0,0,193,2022-01-31,192
0,ANON,0,0,50,2022-02-01,50
0,ANON,0,0,28,2022-02-02,28
0,ANON,0,0,6,2022-02-03,6
1,ANON,0,0,8,2022-02-04,7
3,ANON,0,0,46,2022-02-05,43
1,ANON,0,0,91,2022-02-06,90
1,ANON,0,0,26,2022-03-14,25
1,ANON,0,0,69,2022-03-15,68
3,ANON,0,0,90,2022-03-16,87
0,ANON,0,0,1,2022-03-17,1
3,ANON,0,0,92,2022-03-18,89
0,ANON,0,0,1,2022-03-19,1
1,ANON,0,0,85,2022-03-20,84
0,ANON,0,0,7,2022-03-21,7
1,ANON,0,0,26,2022-03-22,25
1,ANON,0,0,48,2022-03-23,47
2,ANON,0,0,80,2022-03-24,78
0,ANON,0,0,33,2022-03-25,33
0,ANON,0,0,19,2022-03-26,19
1,ANON,0,0,64,2022-03-28,63
1,ANON,0,0,14,2022-03-29,13
1,ANON,0,0,83,2022-03-30,82
1,ANON,0,0,15,2022-03-31,14
0,ANON,0,0,36,2022-04-01,36
1,ANON,0,0,71,2022-04-03,70
3,ANON,0,1,156,2022-04-04,152
0,ANON,0,0,88,2022-04-05,88
0,ANON,0,0,50,2022-04-07,50
0,ANON,0,0,6,2022-04-08,6
1,ANON,0,0,15,2022-04-09,14
2,ANON,0,0,80,2022-04-10,78
0,ANON,0,0,22,2022-04-11,22
3,ANON,0,2,114,2022-04-12,109
0,ANON,0,0,88,2022-04-13,88
