anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,12,2022-02-12,12
0,ALDR,0,0,12,2022-02-13,12
0,ALDR,0,0,8,2022-02-15,8
0,ALDR,0,0,16,2022-02-16,16
0,ALDR,0,0,12,2022-02-20,12
0,ALDR,0,0,12,2022-02-21,12
0,ALDR,0,0,1,2022-02-23,1
0,ALDR,0,0,25,2022-02-24,25
0,ALDR,0,0,3,2022-03-04,3
0,ALDR,0,0,2,2022-03-06,2
0,ALDR,0,0,20,2022-03-08,20
0,ALDR,0,0,3,2022-03-12,3
0,ALDR,0,0,2,2022-03-14,2
0,ALDR,0,0,20,2022-03-16,20
0,ALDR,0,0,25,2022-03-17,25
0,ALDR,0,0,3,2022-03-20,3
0,ALDR,0,0,2,2022-03-22,2
0,ALDR,0,0,19,2022-03-25,19
0,ALDR,0,0,1,2022-03-26,1
0,ALDR,0,0,3,2022-03-28,3
0,ALDR,0,0,17,2022-03-30,17
0,ALDR,0,0,10,2022-03-31,10
0,ALDR,0,0,20,2022-04-03,20
0,ALDR,0,0,3,2022-04-05,3
0,ALDR,0,0,1,2022-04-07,1
0,ALDR,0,0,1,2022-04-08,1
0,ALDR,0,0,20,2022-04-11,20
0,ALDR,0,0,3,2022-04-13,3
0,ALDR,0,0,1,2022-04-15,1
0,ALDR,0,0,1,2022-04-16,1
0,ALDR,0,0,20,2022-04-19,20
0,ALDR,0,0,4,2022-04-20,4
0,ALDR,0,0,3,2022-04-21,3
0,ALDR,0,0,21,2022-04-22,21
0,ALDR,0,0,1,2022-04-23,1
0,ALDR,0,0,1,2022-04-24,1
0,ALDR,0,0,45,2022-04-27,45
0,ALDR,0,0,4,2022-04-28,4
0,ALDR,0,0,3,2022-04-29,3
0,ALDR,0,0,21,2022-04-30,21
0,ALDR,0,0,22,2022-05-05,22
0,ALDR,0,0,4,2022-05-06,4
0,ALDR,0,0,28,2022-05-07,28
0,ALDR,0,0,21,2022-05-08,21
0,ALDR,0,0,25,2022-05-11,25
0,ALDR,0,0,22,2022-05-13,22
0,ALDR,0,0,25,2022-06-10,25
0,ALDR,0,0,7,2022-06-12,7
0,ALDR,0,0,22,2022-06-14,22
0,ALDR,0,0,10,2022-06-19,10
0,ALDR,0,0,8,2022-06-22,8
0,ALDR,0,0,17,2022-06-23,17
0,ALDR,0,0,15,2022-06-24,15
0,ALDR,0,0,19,2022-06-30,19
0,ALDR,0,0,13,2022-07-01,13
0,ALDR,0,0,19,2022-07-05,19
0,ALDR,0,0,13,2022-07-06,13
0,ALDR,0,0,20,2022-07-14,20
0,ALDR,0,0,12,2022-07-15,12
0,ALDR,0,0,8,2022-07-20,8
0,ALDR,0,0,15,2022-07-25,15
0,ALDR,0,0,9,2022-07-26,9
0,ALDR,0,0,8,2022-07-30,8
0,ALDR,0,2,41,2022-08-13,39
0,ALDR,0,1,32,2022-08-22,31
0,ALDR,0,1,32,2022-08-24,31
0,ALDR,0,0,1,2022-09-20,1
1,ALDR,0,1,34,2022-09-21,32
0,ALDR,0,0,9,2022-09-29,9
0,ALDR,0,2,55,2022-10-14,53
0,ALDR,0,0,41,2022-11-08,41
0,ALDR,0,0,37,2022-12-21,37
26,ANON,8,1,84,2022-02-10,49
6,ANON,4,0,20,2022-02-11,10
0,ANON,0,0,1,2022-02-12,1
27,ANON,10,1,92,2022-02-14,54
4,ANON,2,0,11,2022-02-15,5
12,ANON,4,1,39,2022-02-16,22
19,ANON,8,0,64,2022-02-17,37
27,ANON,8,1,84,2022-02-18,48
5,ANON,4,0,21,2022-02-20,12
0,ANON,0,0,1,2022-02-21,1
25,ANON,9,1,93,2022-02-22,58
2,ANON,0,0,4,2022-02-23,2
18,ANON,5,2,53,2022-02-24,28
13,ANON,2,0,33,2022-02-25,18
3,ANON,7,1,38,2022-02-26,27
29,ANON,3,0,67,2022-02-27,35
0,ANON,3,0,3,2022-02-28,0
4,ANON,4,0,27,2022-03-02,19
1,ANON,0,0,3,2022-03-03,2
0,ANON,0,0,3,2022-03-04,3
1,ANON,5,0,15,2022-03-06,9
25,ANON,2,0,54,2022-03-07,27
6,ANON,2,0,25,2022-03-08,17
20,ANON,3,0,57,2022-03-09,34
4,ANON,6,0,32,2022-03-10,22
1,ANON,0,0,2,2022-03-11,1
0,ANON,2,0,7,2022-03-12,5
7,ANON,3,0,25,2022-03-13,15
