anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,22,2022-01-01,22
0,ALDR,0,0,25,2022-01-03,25
0,ALDR,0,1,1,2022-01-05,0
0,ALDR,0,0,33,2022-01-09,33
0,ALDR,0,0,13,2022-01-10,13
1,ALDR,0,0,25,2022-01-11,24
0,ALDR,0,0,1,2022-01-13,1
0,ALDR,0,0,24,2022-01-16,24
0,ALDR,0,0,33,2022-01-17,33
0,ALDR,0,0,13,2022-01-18,13
0,ALDR,0,0,25,2022-01-19,25
0,ALDR,0,0,11,2022-01-20,11
0,ALDR,0,0,9,2022-01-21,9
0,ALDR,0,0,15,2022-01-24,15
0,ALDR,0,0,47,2022-01-25,47
0,ALDR,0,0,13,2022-01-26,13
0,ALDR,0,0,25,2022-01-27,25
0,ALDR,0,0,11,2022-01-28,11
0,ALDR,0,0,9,2022-01-29,9
0,ALDR,0,1,15,2022-02-01,14
1,ALDR,0,0,71,2022-02-02,70
0,ALDR,0,0,13,2022-02-03,13
0,ALDR,0,0,25,2022-02-04,25
0,ALDR,0,0,4,2022-02-05,4
0,ALDR,0,1,16,2022-02-06,15
0,ALDR,0,0,15,2022-02-09,15
0,ALDR,0,0,81,2022-02-10,81
0,ALDR,0,0,3,2022-02-11,3
0,ALDR,0,0,4,2022-02-12,4
0,ALDR,0,0,4,2022-02-13,4
0,ALDR,0,0,15,2022-02-14,15
0,ALDR,0,0,13,2022-02-17,13
0,ALDR,0,0,81,2022-02-18,81
0,ALDR,0,0,3,2022-02-19,3
0,ALDR,0,0,2,2022-02-20,2
4,ALDR,0,0,12,2022-02-21,8
0,ALDR,0,0,20,2022-02-22,20
0,ALDR,0,0,6,2022-02-25,6
0,ALDR,0,0,62,2022-02-26,62
0,ALDR,0,0,2,2022-02-27,2
0,ALDR,0,0,23,2022-02-28,23
0,ALDR,0,0,12,2022-03-01,12
0,ALDR,0,0,4,2022-03-02,4
0,ALDR,0,0,16,2022-03-03,16
0,ALDR,0,1,44,2022-03-06,43
0,ALDR,0,0,2,2022-03-07,2
0,ALDR,0,0,1,2022-03-08,1
0,ALDR,0,0,34,2022-03-09,34
0,ALDR,0,0,3,2022-03-10,3
0,ALDR,0,0,16,2022-03-11,16
0,ALDR,0,0,44,2022-03-14,44
0,ALDR,0,0,2,2022-03-15,2
0,ALDR,0,0,13,2022-03-17,13
1,ALDR,0,0,2,2022-03-18,1
0,ALDR,0,0,15,2022-03-20,15
0,ALDR,0,0,20,2022-03-22,20
0,ALDR,0,0,2,2022-03-24,2
0,ALDR,0,0,36,2022-03-25,36
0,ALDR,0,0,2,2022-03-26,2
0,ALDR,0,0,15,2022-03-28,15
10,ALDR,0,0,25,2022-03-29,15
0,ALDR,0,0,45,2022-03-30,45
4,ALDR,0,0,27,2022-04-01,23
0,ALDR,0,0,12,2022-04-02,12
0,ALDR,0,0,26,2022-04-03,26
0,ALDR,0,0,15,2022-04-05,15
0,ALDR,0,0,35,2022-04-06,35
0,ALDR,0,0,14,2022-04-07,14
0,ALDR,0,0,23,2022-04-09,23
0,ALDR,0,0,6,2022-04-10,6
9,ALDR,0,0,34,2022-04-11,25
0,ALDR,0,0,23,2022-04-14,23
0,ALDR,0,0,14,2022-04-15,14
0,ALDR,0,0,37,2022-04-17,37
0,ALDR,0,0,3,2022-04-18,3
0,ALDR,0,0,23,2022-04-19,23
0,ALDR,0,0,48,2022-04-22,48
0,ALDR,0,0,14,2022-04-23,14
0,ALDR,0,0,52,2022-04-25,52
0,ALDR,0,0,3,2022-04-26,3
0,ALDR,0,0,16,2022-04-27,16
0,ALDR,0,0,17,2022-04-30,17
0,ALDR,0,0,12,2022-05-01,12
0,ALDR,0,0,40,2022-05-02,40
0,ALDR,0,0,20,2022-05-03,20
0,ALDR,0,0,11,2022-05-05,11
0,ALDR,0,0,7,2022-05-08,7
0,ALDR,0,0,22,2022-05-09,22
0,ALDR,0,0,15,2022-05-10,15
0,ALDR,0,0,20,2022-05-11,20
0,ALDR,0,0,11,2022-05-13,11
0,ALDR,0,0,25,2022-05-14,25
0,ALDR,0,0,7,2022-05-16,7
0,ALDR,0,0,22,2022-05-17,22
0,ALDR,0,0,11,2022-05-19,11
0,ALDR,0,0,24,2022-05-20,24
0,ALDR,0,0,2,2022-05-21,2
0,ALDR,0,0,9,2022-05-22,9
0,ALDR,0,0,7,2022-05-24,7
0,ALDR,0,0,22,2022-05-25,22
21,ALDR,0,0,25,2022-05-26,4
0,ALDR,0,0,11,2022-05-27,11
0,ALDR,0,0,41,2022-05-29,41
0,ALDR,0,0,5,2022-05-30,5
0,ALDR,0,0,2,2022-06-01,2
0,ALDR,0,0,16,2022-06-02,16
0,ALDR,0,0,25,2022-06-03,25
0,ALDR,0,0,11,2022-06-04,11
0,ALDR,0,0,41,2022-06-06,41
0,ALDR,0,0,5,2022-06-07,5
0,ALDR,0,0,2,2022-06-09,2
0,ALDR,0,0,3,2022-06-10,3
0,ALDR,0,0,13,2022-06-11,13
0,ALDR,0,0,16,2022-06-12,16
0,ALDR,0,0,26,2022-06-14,26
0,ALDR,0,0,4,2022-06-15,4
0,ALDR,0,0,34,2022-06-17,34
0,ALDR,0,0,3,2022-06-18,3
0,ALDR,0,0,13,2022-06-19,13
0,ALDR,0,0,16,2022-06-20,16
0,ALDR,0,0,16,2022-06-21,16
0,ALDR,0,0,15,2022-06-22,15
0,ALDR,0,0,66,2022-06-24,66
0,ALDR,0,0,13,2022-06-25,13
