anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,5,2022-01-01,5
0,ALDR,0,0,13,2022-01-02,13
1,ALDR,0,0,2,2022-01-03,1
2,ALDR,0,0,14,2022-01-04,12
9,ALDR,0,0,20,2022-01-05,11
0,ALDR,0,0,19,2022-01-06,19
14,ALDR,0,0,43,2022-01-07,29
0,ALDR,0,0,4,2022-01-08,4
7,ALDR,0,0,37,2022-01-09,30
0,ALDR,0,0,9,2022-01-10,9
0,ALDR,0,0,2,2022-01-11,2
0,ALDR,0,0,11,2022-01-12,11
0,ALDR,0,0,5,2022-01-13,5
0,ALDR,0,0,9,2022-01-14,9
0,ALDR,0,0,43,2022-01-15,43
0,ALDR,0,0,4,2022-01-16,4
0,ALDR,0,0,37,2022-01-17,37
0,ALDR,0,0,9,2022-01-18,9
0,ALDR,0,0,2,2022-01-19,2
0,ALDR,0,0,35,2022-01-20,35
4,ALDR,0,0,29,2022-01-21,25
0,ALDR,0,0,9,2022-01-22,9
1,ALDR,0,0,19,2022-01-23,18
0,ALDR,0,1,33,2022-01-24,32
0,ALDR,0,0,32,2022-01-25,32
0,ALDR,0,0,22,2022-01-28,22
0,ALDR,0,0,29,2022-01-29,29
0,ALDR,0,0,9,2022-01-30,9
0,ALDR,0,0,19,2022-01-31,19
0,ALDR,0,1,44,2022-02-01,43
0,ALDR,0,0,30,2022-02-02,30
0,ALDR,0,0,15,2022-02-03,15
0,ALDR,0,0,27,2022-02-06,27
0,ALDR,0,0,9,2022-02-07,9
0,ALDR,0,0,19,2022-02-08,19
0,ALDR,0,0,44,2022-02-09,44
0,ALDR,0,0,30,2022-02-10,30
0,ALDR,0,0,2,2022-02-11,2
0,ALDR,0,0,23,2022-02-14,23
0,ALDR,0,0,5,2022-02-16,5
0,ALDR,0,0,12,2022-02-17,12
0,ALDR,0,0,13,2022-02-18,13
0,ALDR,0,1,19,2022-02-20,18
0,ALDR,0,0,9,2022-02-22,9
0,ALDR,0,0,14,2022-02-23,14
1,ALDR,0,0,7,2022-02-24,6
0,ALDR,0,0,3,2022-02-25,3
0,ALDR,0,0,24,2022-02-26,24
0,ALDR,0,0,26,2022-02-28,26
0,ALDR,0,0,13,2022-03-02,13
0,ALDR,0,0,27,2022-03-03,27
0,ALDR,0,0,7,2022-03-04,7
1,ALDR,0,0,28,2022-03-05,27
0,ALDR,0,0,24,2022-03-06,24
0,ALDR,0,0,25,2022-03-07,25
0,ALDR,0,0,1,2022-03-08,1
0,ALDR,0,0,15,2022-03-10,15
0,ALDR,0,0,25,2022-03-11,25
0,ALDR,0,0,7,2022-03-12,7
0,ALDR,0,0,36,2022-03-13,36
0,ALDR,0,0,11,2022-03-14,11
0,ALDR,0,0,5,2022-03-15,5
0,ALDR,0,0,1,2022-03-16,1
0,ALDR,0,0,25,2022-03-17,25
0,ALDR,0,0,40,2022-03-18,40
0,ALDR,0,0,25,2022-03-19,25
0,ALDR,0,0,7,2022-03-20,7
0,ALDR,0,0,42,2022-03-21,42
0,ALDR,0,0,34,2022-03-22,34
0,ALDR,0,0,2,2022-03-23,2
0,ALDR,0,0,25,2022-03-24,25
0,ALDR,0,0,40,2022-03-26,40
0,ALDR,0,0,25,2022-03-27,25
0,ALDR,0,0,7,2022-03-28,7
0,ALDR,0,0,48,2022-03-29,48
0,ALDR,0,0,54,2022-03-30,54
0,ALDR,0,0,2,2022-03-31,2
0,ALDR,0,0,1,2022-04-01,1
0,ALDR,0,0,91,2022-04-03,91
0,ALDR,0,0,27,2022-04-04,27
0,ALDR,0,0,3,2022-04-05,3
0,ALDR,0,0,39,2022-04-06,39
1,ALDR,0,0,38,2022-04-07,37
0,ALDR,0,0,3,2022-04-08,3
0,ALDR,0,0,1,2022-04-09,1
0,ALDR,0,0,64,2022-04-11,64
0,ALDR,0,0,12,2022-04-12,12
0,ALDR,0,0,3,2022-04-13,3
0,ALDR,0,0,17,2022-04-14,17
0,ALDR,0,0,27,2022-04-15,27
0,ALDR,0,0,1,2022-04-17,1
0,ALDR,0,0,49,2022-04-19,49
0,ALDR,0,0,4,2022-04-20,4
0,ALDR,0,0,25,2022-04-23,25
0,ALDR,0,0,1,2022-04-25,1
0,ALDR,0,0,45,2022-04-27,45
0,ALDR,0,0,32,2022-04-28,32
0,ALDR,0,0,22,2022-04-29,22
0,ALDR,0,0,29,2022-04-30,29
0,ALDR,0,0,46,2022-05-01,46
0,ALDR,0,0,1,2022-05-03,1
0,ALDR,0,0,45,2022-05-05,45
1,ALDR,0,0,32,2022-05-06,31
0,ALDR,0,0,31,2022-05-09,31
0,ALDR,0,0,16,2022-05-10,16
0,ALDR,0,0,1,2022-05-11,1
0,ALDR,0,0,25,2022-05-12,25
0,ALDR,0,1,21,2022-05-13,20
0,ALDR,0,0,31,2022-05-14,31
0,ALDR,0,0,25,2022-05-16,25
2,ALDR,0,0,32,2022-05-17,30
0,ALDR,0,0,22,2022-05-18,22
0,ALDR,0,0,25,2022-05-19,25
0,ALDR,0,0,29,2022-05-20,29
0,ALDR,0,0,17,2022-05-21,17
0,ALDR,0,0,32,2022-05-22,32
0,ALDR,0,0,20,2022-05-23,20
0,ALDR,0,0,55,2022-05-25,55
0,ALDR,0,0,5,2022-05-26,5
0,ALDR,0,0,42,2022-05-27,42
0,ALDR,0,0,41,2022-05-28,41
0,ALDR,0,0,22,2022-05-30,22
0,ALDR,0,0,2,2022-05-31,2
0,ALDR,0,0,39,2022-06-02,39
0,ALDR,0,0,5,2022-06-04,5
0,ALDR,0,0,32,2022-06-05,32
0,ALDR,0,0,50,2022-06-06,50
0,ALDR,0,0,33,2022-06-07,33
0,ALDR,0,0,55,2022-06-10,55
0,ALDR,0,0,49,2022-06-11,49
0,ALDR,0,0,37,2022-06-12,37
0,ALDR,0,0,45,2022-06-13,45
0,ALDR,0,0,43,2022-06-14,43
0,ALDR,0,0,33,2022-06-15,33
0,ALDR,0,0,2,2022-06-16,2
0,ALDR,0,0,5,2022-06-17,5
0,ALDR,0,0,51,2022-06-18,51
