anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,24,2022-01-06,24
0,ALDR,0,0,2,2022-01-07,2
0,ALDR,0,0,10,2022-01-19,10
0,ALDR,0,0,14,2022-01-20,14
0,ALDR,0,0,24,2022-01-31,24
0,ALDR,0,0,20,2022-02-06,20
0,ALDR,0,0,4,2022-02-07,4
0,ALDR,0,1,2,2022-02-12,1
0,ALDR,0,0,4,2022-02-14,4
0,ALDR,0,0,24,2022-02-15,24
0,ALDR,0,0,25,2022-03-01,25
0,ALDR,0,0,25,2022-03-02,25
0,ALDR,0,0,3,2022-03-03,3
0,ALDR,0,0,7,2022-03-05,7
4,ALDR,0,0,17,2022-03-07,13
5,ALDR,0,0,32,2022-03-10,27
0,ALDR,0,0,2,2022-03-13,2
0,ALDR,0,0,3,2022-03-14,3
0,ALDR,0,1,21,2022-03-18,20
0,ALDR,0,0,2,2022-03-26,2
0,ALDR,0,0,33,2022-03-28,33
0,ALDR,0,0,3,2022-03-29,3
0,ALDR,0,0,21,2022-04-01,21
0,ALDR,0,0,1,2022-04-02,1
0,ALDR,0,0,1,2022-04-03,1
0,ALDR,0,0,7,2022-04-05,7
0,ALDR,0,0,2,2022-04-07,2
0,ALDR,0,0,6,2022-04-08,6
0,ALDR,0,0,1,2022-04-11,1
0,ALDR,0,0,1,2022-04-14,1
0,ALDR,0,0,3,2022-04-27,3
0,ALDR,0,0,1,2022-04-29,1
0,ALDR,0,0,5,2022-05-02,5
0,ALDR,0,0,6,2022-06-18,6
0,ALDR,0,0,26,2022-06-19,26
0,ALDR,0,0,7,2022-06-21,7
0,ALDR,0,0,41,2022-06-22,41
0,ALDR,0,0,24,2022-06-23,24
0,ALDR,0,0,24,2022-06-24,24
0,ALDR,0,0,32,2022-06-25,32
0,ALDR,0,0,3,2022-06-28,3
0,ALDR,0,0,13,2022-06-29,13
0,ALDR,0,0,5,2022-06-30,5
0,ALDR,0,0,5,2022-07-02,5
0,ALDR,0,0,8,2022-07-03,8
0,ALDR,0,0,18,2022-07-04,18
0,ALDR,0,0,17,2022-07-05,17
0,ALDR,0,0,39,2022-07-06,39
0,ALDR,0,0,4,2022-07-14,4
0,ALDR,0,0,4,2022-07-15,4
0,ALDR,0,0,23,2022-07-16,23
1,ALDR,0,0,3,2022-07-17,2
0,ALDR,0,0,65,2022-07-18,65
0,ALDR,0,0,28,2022-07-20,28
0,ALDR,0,0,8,2022-07-27,8
0,ALDR,0,0,2,2022-07-30,2
0,ALDR,0,0,33,2022-08-09,33
0,ALDR,0,0,4,2022-08-10,4
0,ALDR,0,0,32,2022-08-12,32
0,ALDR,0,2,80,2022-08-27,78
2,ALDR,0,3,46,2022-09-14,41
0,ALDR,0,0,5,2022-09-16,5
0,ALDR,0,0,6,2022-09-17,6
0,ALDR,0,0,6,2022-09-18,6
0,ALDR,0,1,3,2022-09-27,2
0,ALDR,0,0,4,2022-09-28,4
1,ALDR,0,0,5,2022-09-30,4
2,ALDR,0,0,64,2022-10-02,62
0,ALDR,0,0,4,2022-10-03,4
0,ALDR,0,0,3,2022-10-08,3
0,ALDR,0,0,2,2022-10-09,2
0,ALDR,0,1,39,2022-10-10,38
0,ALDR,0,0,2,2022-10-11,2
0,ALDR,0,0,39,2022-10-12,39
0,ALDR,0,2,52,2022-10-15,50
0,ALDR,0,0,2,2022-10-16,2
0,ALDR,0,0,19,2022-10-21,19
0,ALDR,0,0,2,2022-10-22,2
4,ALDR,0,0,24,2022-10-25,20
2,ALDR,0,0,3,2022-10-26,1
4,ALDR,0,0,14,2022-10-27,10
0,ALDR,0,0,1,2022-10-31,1
0,ALDR,0,0,1,2022-11-02,1
0,ALDR,0,0,4,2022-11-03,4
0,ALDR,0,1,165,2022-11-05,164
0,ALDR,0,1,41,2022-11-16,40
0,ALDR,0,0,53,2022-11-20,53
0,ALDR,0,0,22,2022-11-21,22
0,ALDR,0,0,48,2022-11-25,48
0,ALDR,0,1,54,2022-11-26,53
0,ALDR,0,0,17,2022-11-27,17
0,ALDR,0,0,94,2022-11-29,94
0,ALDR,0,0,7,2022-11-30,7
0,ALDR,0,0,2,2022-12-02,2
