anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,95,2022-08-03,95
0,ALDR,0,0,13,2022-08-05,13
0,ALDR,0,0,26,2022-08-12,26
0,ALDR,0,0,27,2022-08-15,27
0,ALDR,0,10,19,2022-08-16,9
0,ALDR,0,42,154,2022-08-21,112
0,ALDR,0,1,19,2022-08-23,18
0,ALDR,0,3,35,2022-08-27,32
0,ALDR,0,0,2,2022-08-28,2
0,ALDR,0,3,59,2022-09-10,56
0,ALDR,0,1,23,2022-09-11,22
0,ALDR,0,11,31,2022-09-16,20
0,ALDR,0,0,25,2022-09-17,25
1,ALDR,0,10,67,2022-09-21,56
0,ALDR,0,0,10,2022-09-22,10
0,ALDR,0,15,84,2022-09-25,69
0,ALDR,0,9,117,2022-09-29,108
0,ALDR,0,0,4,2022-10-02,4
0,ALDR,0,3,117,2022-10-08,114
2,ALDR,0,34,124,2022-10-09,88
2,ALDR,0,5,24,2022-10-11,17
0,ALDR,0,0,17,2022-10-19,17
0,ALDR,0,0,55,2022-10-20,55
0,ALDR,0,0,11,2022-10-22,11
2,ALDR,0,11,37,2022-10-25,24
1,ALDR,0,0,10,2022-10-27,9
1,ALDR,0,0,29,2022-10-29,28
0,ALDR,0,52,146,2022-11-09,94
0,ALDR,0,0,52,2022-11-11,52
0,ALDR,0,0,60,2022-11-13,60
0,ALDR,0,0,4,2022-11-14,4
0,ALDR,0,0,32,2022-11-24,32
0,ALDR,0,10,37,2022-11-25,27
0,ALDR,0,10,37,2022-11-26,27
2,ANON,1,0,18,2022-01-01,15
2,ANON,0,0,3,2022-01-02,1
0,ANON,0,0,26,2022-01-06,26
2,ANON,0,0,15,2022-01-13,13
4,ANON,0,0,21,2022-02-24,17
9,ANON,0,0,68,2022-02-25,59
25,ANON,0,0,87,2022-03-15,62
18,ANON,0,0,95,2022-03-16,77
6,ANON,0,0,16,2022-03-17,10
1,ANON,0,0,2,2022-03-19,1
3,ANON,0,0,45,2022-05-29,42
22,ANON,2,0,94,2022-06-16,70
1,ANON,0,0,3,2022-06-18,2
1,ANON,0,0,3,2022-06-20,2
1,ANON,0,0,3,2022-06-22,2
0,ANON,0,0,2,2022-06-23,2
12,ANON,3,0,82,2022-07-29,67
27,ANON,2,12,96,2022-07-30,55
75,ANON,4,14,281,2022-07-31,188
0,ANON,0,0,17,2022-08-01,17
1,ANON,0,0,28,2022-08-04,27
15,ANON,1,0,48,2022-08-05,32
22,ANON,0,0,40,2022-08-06,18
9,ANON,2,24,143,2022-08-08,108
12,ANON,1,0,32,2022-08-09,19
23,ANON,3,0,59,2022-08-10,33
4,ANON,1,0,14,2022-08-12,9
17,ANON,2,2,92,2022-08-13,71
20,ANON,3,0,51,2022-08-14,28
3,ANON,0,0,10,2022-08-15,7
6,ANON,1,3,24,2022-08-16,14
52,ANON,6,23,232,2022-08-17,151
5,ANON,0,0,54,2022-08-18,49
25,ANON,0,0,243,2022-08-20,218
3,ANON,0,3,28,2022-08-21,22
11,ANON,1,42,166,2022-08-22,112
52,ANON,0,23,221,2022-08-23,146
27,ANON,0,25,126,2022-08-24,74
8,ANON,0,9,44,2022-08-25,27
1,ANON,0,1,3,2022-08-27,1
9,ANON,0,47,263,2022-08-28,207
