anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,6,15,87,2022-01-01,66
0,ALDR,6,2,56,2022-01-02,48
8,ALDR,6,0,68,2022-01-03,54
2,ALDR,1,6,83,2022-01-04,74
0,ALDR,3,6,19,2022-01-05,10
24,ALDR,6,12,69,2022-01-06,27
0,ALDR,0,0,2,2022-01-07,2
0,ALDR,2,1,40,2022-01-08,37
0,ALDR,5,14,78,2022-01-09,59
2,ALDR,6,0,56,2022-01-10,48
0,ALDR,6,8,68,2022-01-11,54
1,ALDR,1,7,83,2022-01-12,74
0,ALDR,3,6,19,2022-01-13,10
12,ALDR,7,24,69,2022-01-14,26
0,ALDR,0,0,9,2022-01-15,9
1,ALDR,2,0,33,2022-01-16,30
14,ALDR,5,0,78,2022-01-17,59
1,ALDR,1,0,20,2022-01-18,18
6,ALDR,4,0,38,2022-01-19,28
3,ALDR,0,0,28,2022-01-20,25
2,ALDR,0,0,24,2022-01-21,22
12,ALDR,0,0,15,2022-01-22,3
0,ALDR,1,0,10,2022-01-24,9
13,ALDR,4,0,59,2022-01-26,42
1,ALDR,6,0,38,2022-01-27,31
2,ALDR,0,0,20,2022-01-28,18
14,ALDR,1,0,39,2022-01-30,24
0,ALDR,0,0,1,2022-02-03,1
1,ALDR,2,0,16,2022-02-04,13
16,ALDR,6,0,85,2022-02-14,63
17,ALDR,3,0,81,2022-02-16,61
15,ALDR,6,1,83,2022-02-17,61
16,ALDR,6,0,85,2022-02-21,63
5,ALDR,2,0,32,2022-02-22,25
14,ALDR,4,0,55,2022-02-23,37
20,ALDR,1,0,94,2022-02-25,73
15,ALDR,5,0,70,2022-02-28,50
1,ALDR,0,0,2,2022-03-01,1
5,ALDR,2,0,34,2022-03-02,27
6,ALDR,4,0,31,2022-03-04,21
6,ALDR,1,0,33,2022-03-05,26
14,ALDR,5,0,78,2022-03-08,59
1,ALDR,0,0,2,2022-03-09,1
7,ALDR,0,0,34,2022-03-10,27
22,ALDR,10,0,105,2022-03-12,73
22,ALDR,7,0,117,2022-03-13,88
1,ALDR,0,1,37,2022-03-16,35
19,ALDR,0,0,43,2022-03-17,24
5,ALDR,2,0,34,2022-03-18,27
22,ALDR,10,1,105,2022-03-20,72
23,ALDR,7,0,125,2022-03-21,95
1,ALDR,0,1,31,2022-03-24,29
14,ALDR,5,1,43,2022-03-25,23
5,ALDR,1,0,44,2022-03-26,38
0,ALDR,0,0,9,2022-03-28,9
28,ALDR,12,0,125,2022-03-29,85
0,ALDR,0,0,11,2022-04-03,11
16,ALDR,6,0,73,2022-04-06,51
1,ALDR,0,0,1,2022-04-08,0
15,ALDR,6,0,94,2022-04-11,73
16,ALDR,6,0,73,2022-04-14,51
17,ALDR,6,0,85,2022-04-16,62
16,ALDR,6,0,84,2022-04-27,62
21,ALDR,6,0,84,2022-04-29,57
16,ALDR,6,0,84,2022-04-30,62
16,ALDR,6,0,84,2022-05-03,62
21,ALDR,6,0,84,2022-05-05,57
16,ALDR,7,0,87,2022-05-07,64
16,ALDR,6,0,84,2022-05-15,62
18,ALDR,4,0,84,2022-05-18,62
1,ALDR,0,0,17,2022-05-20,16
17,ALDR,4,0,67,2022-05-21,46
22,ALDR,0,0,85,2022-05-23,63
1,ALDR,0,0,17,2022-05-28,16
74,ALDR,4,1,208,2022-05-29,129
0,ALDR,2,0,6,2022-05-30,4
6,ALDR,0,0,21,2022-05-31,15
1,ALDR,0,0,17,2022-06-05,16
33,ALDR,2,0,125,2022-06-06,90
2,ALDR,0,0,5,2022-06-07,3
32,ALDR,0,0,105,2022-06-08,73
1,ALDR,0,0,2,2022-06-09,1
12,ALDR,0,0,21,2022-06-11,9
39,ALDR,0,0,140,2022-06-14,101
25,ALDR,0,0,95,2022-06-16,70
6,ALDR,0,0,17,2022-06-17,11
8,ALDR,0,0,14,2022-06-19,6
1,ALDR,0,0,1,2022-06-21,0
11,ALDR,0,0,43,2022-06-22,32
17,ALDR,0,0,37,2022-06-23,20
12,ALDR,0,0,37,2022-06-24,25
1,ALDR,0,0,5,2022-06-27,4
1,ALDR,0,0,21,2022-06-29,20
22,ALDR,0,0,84,2022-06-30,62
9,ALDR,0,0,25,2022-07-01,16
22,ALDR,0,0,75,2022-07-02,53
16,ALDR,0,0,37,2022-07-03,21
14,ALDR,0,0,32,2022-07-04,18
35,ALDR,0,0,86,2022-07-08,51
14,ALDR,0,0,32,2022-07-09,18
35,ALDR,0,0,152,2022-07-10,117
5,ALDR,0,0,58,2022-07-14,53
3,ALDR,0,0,27,2022-07-15,24
36,ALDR,0,0,105,2022-07-16,69
7,ALDR,0,0,23,2022-07-17,16
10,ALDR,0,0,23,2022-07-20,13
3,ALDR,0,0,9,2022-07-21,6
12,ALDR,0,0,51,2022-07-27,39
12,ALDR,0,0,40,2022-07-30,28
25,ALDR,1,0,111,2022-08-06,85
17,ALDR,0,0,55,2022-08-07,38
2,ALDR,3,0,12,2022-08-09,7
0,ALDR,0,0,20,2022-08-10,20
0,ALDR,0,0,4,2022-08-11,4
0,ALDR,0,0,4,2022-08-12,4
21,ALDR,0,0,46,2022-08-13,25
0,ALDR,0,0,7,2022-08-17,7
47,ALDR,0,47,211,2022-08-18,117
4,ALDR,0,1,9,2022-08-19,4
5,ALDR,0,2,9,2022-08-20,2
17,ALDR,0,10,46,2022-08-21,19
2,ALDR,0,0,22,2022-08-22,20
1,ALDR,0,0,3,2022-08-23,2
30,ALDR,0,20,59,2022-08-24,9
57,ALDR,0,23,161,2022-08-25,81
25,ALDR,0,4,44,2022-08-27,15
20,ALDR,6,11,91,2022-08-28,54
0,ALDR,0,0,7,2022-08-30,7
10,ALDR,0,10,54,2022-09-07,34
17,ALDR,0,0,37,2022-09-08,20
7,ALDR,0,0,14,2022-09-15,7
17,ALDR,0,0,37,2022-09-16,20
2,ALDR,0,0,5,2022-09-17,3
12,ALDR,0,10,55,2022-09-19,33
94,ALDR,0,40,277,2022-09-22,143
6,ALDR,0,0,23,2022-09-23,17
54,ALDR,0,20,184,2022-09-24,110
47,ALDR,0,3,82,2022-09-25,32
7,ALDR,0,0,7,2022-09-26,0
37,ALDR,0,0,60,2022-09-28,23
4,ALDR,0,0,8,2022-09-29,4
0,ALDR,0,0,2,2022-10-01,2
0,ALDR,0,0,6,2022-10-02,6
31,ALDR,0,20,145,2022-10-03,94
11,ALDR,0,0,57,2022-10-06,46
30,ALDR,0,20,100,2022-10-07,50
73,ALDR,0,1,171,2022-10-08,97
8,ALDR,0,0,15,2022-10-09,7
31,ALDR,0,11,104,2022-10-11,62
78,ALDR,0,27,320,2022-10-12,215
40,ALDR,0,11,94,2022-10-13,43
9,ALDR,0,11,33,2022-10-14,13
34,ALDR,0,11,77,2022-10-15,32
28,ALDR,0,15,96,2022-10-24,53
5,ALDR,0,0,24,2022-10-25,19
33,ALDR,0,30,133,2022-10-26,70
12,ALDR,0,0,25,2022-10-28,13
38,ALDR,0,0,48,2022-10-29,10
41,ALDR,0,23,117,2022-11-02,53
6,ALDR,0,0,30,2022-11-03,24
57,ALDR,0,1,329,2022-11-09,271
56,ALDR,0,13,218,2022-11-10,149
14,ALDR,0,7,33,2022-11-11,12
82,ALDR,0,1,158,2022-11-14,75
60,ALDR,0,0,96,2022-11-15,36
14,ALDR,0,0,48,2022-11-18,34
24,ALDR,0,10,40,2022-11-19,6
31,ALDR,0,10,84,2022-11-20,43
39,ALDR,0,0,79,2022-11-21,40
30,ALDR,0,0,71,2022-11-28,41
37,ALDR,0,0,68,2022-11-29,31
143,ALDR,0,30,303,2022-11-30,130
17,ALDR,0,0,17,2022-12-01,0
14,ALDR,0,10,69,2022-12-04,45
21,ALDR,0,1,41,2022-12-05,19
41,ALDR,0,10,116,2022-12-08,65
0,ALDR,0,0,6,2022-12-13,6
15,ALDR,0,1,37,2022-12-14,21
81,ALDR,0,21,246,2022-12-29,144
