anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
5,ALDR,0,2,83,2022-01-03,76
5,ALDR,0,3,83,2022-01-11,75
0,ALDR,0,0,83,2022-02-19,83
0,ALDR,0,0,83,2022-02-21,83
0,ALDR,0,0,2,2022-02-23,2
0,ALDR,0,0,40,2022-02-27,40
0,ALDR,0,0,13,2022-02-28,13
0,ANON,0,0,1,2022-01-01,1
8,ANON,0,0,69,2022-01-03,61
12,ANON,0,17,267,2022-01-04,238
0,ANON,0,0,1,2022-01-05,1
2,ANON,0,0,27,2022-01-06,25
0,ANON,0,9,97,2022-01-07,88
0,ANON,0,7,14,2022-01-08,7
0,ANON,0,0,1,2022-01-10,1
22,ANON,0,0,62,2022-01-12,40
0,ANON,0,0,2,2022-01-13,2
3,ANON,0,3,64,2022-01-14,58
1,ANON,0,9,101,2022-01-15,91
0,ANON,0,0,5,2022-01-18,5
0,ANON,0,7,9,2022-01-19,2
1,ANON,0,0,43,2022-01-22,42
0,ANON,0,0,61,2022-01-23,61
0,ANON,0,0,28,2022-01-24,28
8,ANON,0,0,71,2022-01-25,63
1,ANON,0,0,11,2022-01-26,10
0,ANON,0,9,30,2022-01-27,21
1,ANON,0,7,20,2022-01-28,12
0,ANON,0,0,10,2022-01-29,10
1,ANON,0,0,80,2022-01-31,79
0,ANON,0,0,27,2022-02-01,27
1,ANON,0,0,52,2022-02-02,51
7,ANON,0,0,46,2022-02-03,39
0,ANON,0,9,29,2022-02-04,20
2,ANON,0,0,10,2022-02-05,8
1,ANON,0,7,14,2022-02-06,6
0,ANON,0,0,11,2022-02-07,11
1,ANON,0,0,33,2022-02-08,32
0,ANON,0,0,57,2022-02-09,57
1,ANON,0,0,26,2022-02-10,25
1,ANON,0,0,38,2022-02-11,37
0,ANON,0,0,38,2022-02-12,38
0,ANON,0,0,31,2022-02-14,31
0,ANON,0,1,66,2022-02-16,65
1,ANON,0,0,83,2022-02-18,82
