anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
14,ALDR,0,2,187,2022-01-01,171
9,ALDR,0,2,183,2022-01-02,172
6,ALDR,0,2,132,2022-01-03,124
6,ALDR,0,0,108,2022-01-04,102
6,ALDR,0,2,222,2022-01-05,214
6,ALDR,0,0,90,2022-01-06,84
6,ALDR,0,1,61,2022-01-07,54
6,ALDR,0,0,66,2022-01-08,60
12,ALDR,0,2,137,2022-01-09,123
6,ALDR,0,1,160,2022-01-10,153
7,ALDR,0,3,153,2022-01-11,143
14,ALDR,0,0,145,2022-01-12,131
7,ALDR,0,2,193,2022-01-13,184
6,ALDR,0,1,72,2022-01-14,65
11,ALDR,0,4,73,2022-01-15,58
6,ALDR,0,1,59,2022-01-16,52
20,ALDR,0,2,161,2022-01-17,139
10,ALDR,0,0,166,2022-01-18,156
6,ALDR,0,2,150,2022-01-19,142
8,ALDR,0,0,165,2022-01-20,157
6,ALDR,0,1,258,2022-01-21,251
17,ALDR,0,2,130,2022-01-22,111
6,ALDR,0,5,112,2022-01-23,101
6,ALDR,0,2,114,2022-01-24,106
11,ALDR,0,6,222,2022-01-25,205
7,ALDR,0,2,203,2022-01-26,194
6,ALDR,0,3,102,2022-01-27,93
8,ALDR,0,0,117,2022-01-28,109
6,ALDR,0,0,151,2022-01-29,145
7,ALDR,0,1,116,2022-01-30,108
6,ALDR,0,2,91,2022-01-31,83
6,ALDR,0,1,79,2022-02-01,72
10,ALDR,0,0,185,2022-02-02,175
6,ALDR,0,1,186,2022-02-03,179
6,ALDR,0,1,139,2022-02-04,132
6,ALDR,0,0,118,2022-02-05,112
6,ALDR,0,4,181,2022-02-06,171
7,ALDR,0,0,99,2022-02-07,92
6,ALDR,0,2,65,2022-02-08,57
6,ALDR,0,0,40,2022-02-09,34
6,ALDR,0,1,165,2022-02-10,158
6,ALDR,0,1,162,2022-02-11,155
6,ALDR,0,6,144,2022-02-12,132
9,ALDR,0,2,148,2022-02-13,137
9,ALDR,0,4,210,2022-02-14,197
6,ALDR,0,0,36,2022-02-15,30
6,ALDR,0,0,27,2022-02-16,21
6,ALDR,0,0,26,2022-02-17,20
6,ALDR,0,3,64,2022-02-18,55
0,ALDR,0,5,134,2022-02-19,129
11,ALDR,0,4,129,2022-02-20,114
6,ALDR,0,0,119,2022-02-21,113
0,ALDR,0,4,206,2022-02-22,202
7,ALDR,0,0,114,2022-02-23,107
9,ALDR,0,2,82,2022-02-24,71
6,ALDR,0,0,67,2022-02-25,61
0,ALDR,0,1,86,2022-02-26,85
0,ALDR,0,1,111,2022-02-27,110
1,ALDR,0,1,124,2022-02-28,122
0,ALDR,0,0,116,2022-03-01,116
0,ALDR,0,0,153,2022-03-02,153
2,ALDR,0,3,97,2022-03-03,92
0,ALDR,0,1,49,2022-03-04,48
0,ALDR,0,1,64,2022-03-05,63
4,ALDR,0,2,115,2022-03-06,109
0,ALDR,0,3,122,2022-03-07,119
0,ALDR,0,2,62,2022-03-08,60
1,ALDR,0,0,69,2022-03-09,68
2,ALDR,0,2,170,2022-03-10,166
1,ALDR,0,0,61,2022-03-11,60
2,ALDR,0,1,72,2022-03-12,69
0,ALDR,0,0,55,2022-03-13,55
3,ALDR,0,2,76,2022-03-14,71
3,ALDR,0,3,152,2022-03-15,146
0,ALDR,0,2,134,2022-03-16,132
0,ALDR,0,1,119,2022-03-17,118
2,ALDR,0,2,203,2022-03-18,199
0,ALDR,0,0,53,2022-03-19,53
0,ALDR,0,0,32,2022-03-20,32
0,ALDR,0,2,64,2022-03-21,62
1,ALDR,0,3,46,2022-03-22,42
0,ALDR,0,2,108,2022-03-23,106
0,ALDR,0,6,126,2022-03-24,120
0,ALDR,0,0,94,2022-03-25,94
0,ALDR,0,0,178,2022-03-26,178
0,ALDR,0,1,56,2022-03-27,55
0,ALDR,0,0,31,2022-03-28,31
0,ALDR,0,2,61,2022-03-29,59
0,ALDR,0,1,27,2022-03-30,26
1,ALDR,0,4,177,2022-03-31,172
0,ALDR,0,4,77,2022-04-01,73
0,ALDR,0,0,107,2022-04-02,107
0,ALDR,0,3,164,2022-04-03,161
0,ALDR,0,1,52,2022-04-04,51
0,ALDR,0,1,5,2022-04-05,4
0,ALDR,0,1,26,2022-04-06,25
0,ALDR,0,0,11,2022-04-07,11
0,ALDR,0,5,144,2022-04-08,139
0,ALDR,0,0,19,2022-04-09,19
1,ALDR,0,0,9,2022-04-10,8
0,ALDR,0,0,134,2022-04-11,134
0,ALDR,0,0,56,2022-04-12,56
0,ALDR,0,0,20,2022-04-13,20
0,ALDR,0,0,16,2022-04-14,16
0,ALDR,0,0,13,2022-04-15,13
0,ALDR,0,1,111,2022-04-16,110
0,ALDR,0,1,18,2022-04-17,17
0,ALDR,0,0,48,2022-04-18,48
0,ALDR,0,0,218,2022-04-19,218
0,ALDR,0,0,45,2022-04-20,45
0,ALDR,0,0,12,2022-04-22,12
