anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,32,2022-06-13,32
0,ALDR,0,0,38,2022-06-15,38
0,ALDR,0,0,26,2022-06-18,26
2,ANON,0,0,30,2022-01-23,28
0,ANON,0,0,46,2022-06-11,46
0,ANON,0,0,54,2022-06-12,54
0,ANON,0,0,86,2022-06-13,86
0,ANON,0,0,14,2022-06-14,14
0,ANON,0,0,14,2022-06-15,14
0,ANON,0,0,86,2022-06-16,86
0,ANON,0,0,100,2022-06-17,100
0,ANON,0,0,98,2022-06-18,98
0,ANON,0,0,50,2022-06-19,50
0,COMM,0,0,20,2022-06-13,20
0,COMM,0,0,20,2022-06-16,20
0,COMM,0,0,20,2022-06-19,20
0,COMT,0,0,1,2022-01-05,1
1,COMT,0,0,4,2022-01-22,3
0,COMT,0,0,9,2022-01-23,9
0,COMT,0,0,6,2022-06-11,6
0,COMT,0,0,101,2022-06-12,101
0,COMT,0,0,12,2022-06-13,12
0,COMT,0,0,27,2022-06-14,27
0,COMT,0,0,90,2022-06-15,90
0,COMT,0,0,109,2022-06-16,109
0,COMT,0,0,12,2022-06-17,12
0,COMT,0,0,143,2022-06-18,143
0,COMT,0,0,50,2022-06-19,50
0,COMT,0,0,6,2022-08-10,6
0,COMT,0,0,6,2022-10-29,6
0,CTRL,0,0,18,2022-06-13,18
0,CTRL,0,0,18,2022-06-16,18
0,CTRL,0,0,18,2022-06-19,18
0,CULTR,0,0,4,2022-01-23,4
0,CULTR,0,0,1,2022-06-12,1
0,CULTR,0,0,113,2022-06-13,113
0,CULTR,0,0,40,2022-06-15,40
0,CULTR,0,0,1,2022-06-16,1
0,CULTR,0,0,23,2022-06-17,23
0,CULTR,0,0,55,2022-06-18,55
0,DATE,0,0,16,2022-06-13,16
0,DATE,0,0,20,2022-06-15,20
0,DATE,0,0,12,2022-06-18,12
0,ECON,0,0,25,2022-06-13,25
0,ECON,0,0,25,2022-06-16,25
0,ECON,0,0,25,2022-06-19,25
0,ENV,0,0,26,2022-06-12,26
0,ENV,0,0,6,2022-06-13,6
0,ENV,0,0,32,2022-06-15,32
0,ENV,0,0,51,2022-06-17,51
0,ENV,0,0,28,2022-06-19,28
0,FILE,0,0,2,2022-06-12,2
0,FILE,0,0,51,2022-06-13,51
0,FILE,0,0,23,2022-06-15,23
0,FILE,0,0,1,2022-06-16,1
0,FILE,0,0,13,2022-06-17,13
3,FILE,0,0,27,2022-06-18,24
0,GAME,0,0,20,2022-06-13,20
0,GAME,0,0,20,2022-06-16,20
0,GAME,0,0,20,2022-06-19,20
0,GMB,0,0,31,2022-06-13,31
0,GMB,0,0,39,2022-06-15,39
1,GMB,0,0,23,2022-06-18,22
0,GOVT,0,0,1,2022-06-12,1
1,GOVT,0,0,44,2022-06-13,43
1,GOVT,0,0,9,2022-06-15,8
0,GOVT,0,0,2,2022-06-17,2
1,GOVT,0,0,26,2022-06-18,25
0,GRP,0,0,2,2022-01-05,2
0,GRP,0,0,3,2022-01-22,3
0,GRP,0,0,63,2022-06-11,63
0,GRP,0,0,13,2022-06-12,13
0,GRP,0,0,73,2022-06-13,73
0,GRP,0,0,23,2022-06-14,23
1,GRP,0,0,82,2022-06-15,81
0,GRP,0,0,61,2022-06-16,61
0,GRP,0,0,44,2022-06-17,44
0,GRP,0,0,88,2022-06-18,88
0,GRP,0,0,141,2022-06-19,141
0,GRP,0,0,10,2022-08-10,10
0,GRP,0,0,9,2022-10-29,9
0,HACK,0,0,40,2022-06-13,40
1,HACK,0,0,40,2022-06-16,39
1,HACK,0,0,40,2022-06-19,39
0,HATE,0,0,8,2022-06-13,8
0,HATE,0,0,11,2022-06-15,11
0,HATE,0,0,5,2022-06-18,5
0,HOST,0,0,1,2022-06-11,1
1,HOST,0,0,103,2022-06-12,102
0,HOST,0,0,9,2022-06-13,9
3,HOST,0,0,110,2022-06-15,107
0,HOST,0,0,2,2022-06-16,2
1,HOST,0,0,150,2022-06-17,149
0,HOST,0,0,3,2022-06-18,3
5,HOST,0,0,165,2022-06-19,160
0,HUMR,0,0,18,2022-01-23,18
0,HUMR,0,0,65,2022-06-11,65
1,HUMR,0,0,83,2022-06-12,82
0,HUMR,0,0,84,2022-06-13,84
2,HUMR,0,0,64,2022-06-14,62
0,HUMR,0,0,1,2022-06-15,1
1,HUMR,0,1,147,2022-06-16,145
0,HUMR,0,0,149,2022-06-17,149
1,HUMR,0,0,134,2022-06-18,133
0,HUMR,0,0,99,2022-06-19,99
0,IGO,0,0,10,2022-06-13,10
0,IGO,0,0,4,2022-06-15,4
0,IGO,0,0,7,2022-06-18,7
0,LGBT,0,0,4,2022-01-23,4
2,LGBT,0,0,31,2022-06-11,29
1,LGBT,0,0,50,2022-06-12,49
1,LGBT,0,0,51,2022-06-13,50
2,LGBT,0,0,27,2022-06-14,25
1,LGBT,0,0,5,2022-06-15,4
2,LGBT,0,0,79,2022-06-16,77
1,LGBT,0,0,79,2022-06-17,78
1,LGBT,0,0,75,2022-06-18,74
0,LGBT,0,0,44,2022-06-19,44
0,MILX,0,0,4,2022-06-13,4
0,MILX,0,0,5,2022-06-15,5
0,MILX,0,0,3,2022-06-18,3
0,MISC,0,0,1,2022-06-13,1
0,MISC,0,0,1,2022-06-16,1
0,MISC,0,0,1,2022-06-19,1
3,MMED,0,0,9,2022-01-23,6
0,MMED,0,0,9,2022-06-11,9
0,MMED,0,0,48,2022-06-12,48
0,MMED,0,0,20,2022-06-13,20
0,MMED,0,0,11,2022-06-14,11
1,MMED,0,0,51,2022-06-15,50
1,MMED,0,0,57,2022-06-16,56
0,MMED,0,0,22,2022-06-17,22
0,MMED,0,0,80,2022-06-18,80
0,MMED,0,0,31,2022-06-19,31
0,MMED,0,0,5,2022-08-10,5
0,MMED,0,0,3,2022-10-29,3
0,NEWS,0,0,1,2022-01-05,1
0,NEWS,0,0,1,2022-01-22,1
0,NEWS,0,0,14,2022-01-23,14
1,NEWS,0,0,55,2022-06-11,54
0,NEWS,0,0,72,2022-06-12,72
1,NEWS,0,0,68,2022-06-13,67
1,NEWS,0,0,60,2022-06-14,59
0,NEWS,0,0,7,2022-06-15,7
1,NEWS,0,0,123,2022-06-16,122
1,NEWS,0,0,127,2022-06-17,126
1,NEWS,0,1,116,2022-06-18,114
1,NEWS,0,0,89,2022-06-19,88
0,NEWS,0,0,1,2022-08-10,1
0,NEWS,0,0,1,2022-10-29,1
0,POLR,0,0,4,2022-01-05,4
0,POLR,0,0,4,2022-01-22,4
1,POLR,0,0,25,2022-06-11,24
1,POLR,0,0,36,2022-06-12,35
1,POLR,0,0,37,2022-06-13,36
2,POLR,0,0,23,2022-06-14,21
0,POLR,0,0,4,2022-06-15,4
3,POLR,0,0,57,2022-06-16,54
2,POLR,0,0,62,2022-06-17,60
1,POLR,0,0,54,2022-06-18,53
0,POLR,0,0,38,2022-06-19,38
0,PORN,0,0,1,2022-06-11,1
1,PORN,0,0,16,2022-06-13,15
0,PORN,0,0,1,2022-06-14,1
1,PORN,0,0,20,2022-06-15,19
0,PORN,0,0,1,2022-06-16,1
0,PORN,0,0,1,2022-06-17,1
0,PORN,0,0,13,2022-06-18,13
0,PORN,0,0,1,2022-06-19,1
0,PROV,0,0,17,2022-06-13,17
0,PROV,0,0,24,2022-06-15,24
0,PROV,0,0,10,2022-06-18,10
0,PUBH,0,0,57,2022-06-12,57
0,PUBH,0,0,1,2022-06-13,1
0,PUBH,0,0,13,2022-06-14,13
0,PUBH,0,0,45,2022-06-15,45
0,PUBH,0,0,57,2022-06-16,57
1,PUBH,0,0,80,2022-06-18,79
1,PUBH,0,0,13,2022-06-19,12
0,REL,0,0,1,2022-06-11,1
1,REL,0,0,43,2022-06-12,42
0,REL,0,0,8,2022-06-13,8
0,REL,0,0,1,2022-06-14,1
0,REL,0,0,49,2022-06-15,49
0,REL,0,0,2,2022-06-16,2
0,REL,0,0,64,2022-06-17,64
0,REL,0,0,2,2022-06-18,2
3,REL,0,0,86,2022-06-19,83
1,SRCH,0,0,28,2022-06-12,27
1,SRCH,0,0,5,2022-06-14,4
0,SRCH,0,0,23,2022-06-15,23
1,SRCH,0,0,28,2022-06-16,27
1,SRCH,0,0,42,2022-06-18,41
