anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,24,2022-02-06,24
0,ALDR,0,0,24,2022-02-08,24
0,ALDR,0,0,24,2022-02-11,24
0,ALDR,0,0,18,2022-02-16,18
1,ALDR,0,0,30,2022-02-17,29
0,ALDR,0,0,24,2022-02-19,24
0,ALDR,0,0,1,2022-02-22,1
0,ALDR,0,0,2,2022-02-23,2
0,ALDR,0,0,18,2022-02-24,18
0,ALDR,0,0,23,2022-02-25,23
0,ALDR,0,0,7,2022-02-27,7
0,ALDR,0,0,18,2022-03-05,18
0,ALDR,0,0,4,2022-03-06,4
0,ALDR,0,0,7,2022-03-07,7
0,ALDR,0,0,21,2022-03-08,21
1,ALDR,0,0,18,2022-03-13,17
0,ALDR,0,0,11,2022-03-15,11
0,ALDR,0,0,21,2022-03-17,21
0,ALDR,0,0,18,2022-03-22,18
0,ALDR,0,1,11,2022-03-24,10
0,ALDR,0,0,14,2022-03-30,14
0,ALDR,0,0,15,2022-03-31,15
0,ALDR,0,0,6,2022-04-01,6
0,ALDR,0,0,26,2022-04-21,26
0,ALDR,0,0,21,2022-04-27,21
0,ALDR,0,0,3,2022-04-28,3
0,ALDR,0,0,1,2022-04-29,1
0,ALDR,0,0,25,2022-04-30,25
0,ALDR,0,0,18,2022-05-05,18
0,ALDR,0,0,6,2022-05-06,6
0,ALDR,0,0,1,2022-05-12,1
0,ALDR,0,0,24,2022-05-17,24
0,ALDR,0,0,1,2022-05-21,1
0,ALDR,0,0,33,2022-05-25,33
0,ALDR,0,0,16,2022-05-26,16
0,ALDR,0,0,1,2022-06-01,1
0,ALDR,0,0,9,2022-06-02,9
0,ALDR,0,0,3,2022-06-03,3
0,ALDR,0,0,13,2022-06-05,13
0,ALDR,0,0,8,2022-06-21,8
0,ALDR,0,0,16,2022-06-22,16
0,ALDR,0,0,24,2022-06-27,24
0,ALDR,0,0,24,2022-06-28,24
0,ALDR,0,0,28,2022-06-30,28
0,ALDR,0,0,21,2022-07-01,21
0,ALDR,0,0,13,2022-07-02,13
0,ALDR,0,0,50,2022-07-03,50
0,ALDR,0,0,35,2022-07-05,35
0,ALDR,0,0,21,2022-07-07,21
1,ALDR,0,0,44,2022-07-10,43
0,ALDR,0,0,32,2022-07-22,32
1,ALDR,0,0,32,2022-08-07,31
1,ANON,0,0,71,2022-02-04,70
0,ANON,0,0,16,2022-02-05,16
0,ANON,0,0,47,2022-02-06,47
1,ANON,0,0,45,2022-02-07,44
2,ANON,0,1,84,2022-02-08,81
0,ANON,0,0,5,2022-02-09,5
3,ANON,0,1,84,2022-02-10,80
0,ANON,0,1,41,2022-02-11,40
1,ANON,0,1,87,2022-02-12,85
0,ANON,0,0,16,2022-02-13,16
0,ANON,0,0,1,2022-02-15,1
3,ANON,0,1,129,2022-02-17,125
3,ANON,0,2,150,2022-02-18,145
0,ANON,0,0,23,2022-02-19,23
1,ANON,0,0,91,2022-02-20,90
0,ANON,0,0,11,2022-02-21,11
1,ANON,0,1,36,2022-02-22,34
2,ANON,0,1,59,2022-02-23,56
1,ANON,0,0,36,2022-02-24,35
0,ANON,0,0,13,2022-02-25,13
2,ANON,0,1,83,2022-02-26,80
0,ANON,0,0,32,2022-02-27,32
0,ANON,0,0,5,2022-03-02,5
0,ANON,0,0,66,2022-03-05,66
3,ANON,0,1,84,2022-03-06,80
0,ANON,0,0,14,2022-03-07,14
0,ANON,0,0,40,2022-03-08,40
1,ANON,0,1,74,2022-03-10,72
0,ANON,0,0,25,2022-03-12,25
0,ANON,0,0,17,2022-03-13,17
1,ANON,0,0,35,2022-03-14,34
2,ANON,0,0,73,2022-03-15,71
0,ANON,0,0,12,2022-03-16,12
0,ANON,0,0,42,2022-03-17,42
3,ANON,0,0,67,2022-03-18,64
0,ANON,0,0,4,2022-03-20,4
0,ANON,0,0,6,2022-03-22,6
3,ANON,0,0,143,2022-03-24,140
0,ANON,0,0,8,2022-03-27,8
0,ANON,0,0,4,2022-03-28,4
0,ANON,0,0,24,2022-03-29,24
0,ANON,0,0,6,2022-03-30,6
0,ANON,0,0,3,2022-03-31,3
4,ANON,0,0,115,2022-04-01,111
0,ANON,0,0,8,2022-04-20,8
1,ANON,0,1,86,2022-04-21,84
1,ANON,0,0,91,2022-04-22,90
0,ANON,0,0,1,2022-04-24,1
0,ANON,0,0,1,2022-04-26,1
0,ANON,0,0,1,2022-04-27,1
0,ANON,0,0,94,2022-04-28,94
0,ANON,0,0,8,2022-04-29,8
0,ANON,0,0,143,2022-04-30,143
1,ANON,0,0,48,2022-05-01,47
0,ANON,0,0,54,2022-05-06,54
1,ANON,0,0,42,2022-05-10,41
1,ANON,0,0,32,2022-05-12,31
0,ANON,0,0,32,2022-05-14,32
0,ANON,0,0,1,2022-05-15,1
0,ANON,0,0,26,2022-05-17,26
0,ANON,0,0,42,2022-05-20,42
0,ANON,0,0,80,2022-05-21,80
0,ANON,0,0,37,2022-05-22,37
0,ANON,0,0,4,2022-05-23,4
0,ANON,0,0,1,2022-05-24,1
0,ANON,0,0,26,2022-05-25,26
0,ANON,0,0,14,2022-05-26,14
0,ANON,0,0,18,2022-05-27,18
0,ANON,0,0,30,2022-05-28,30
0,ANON,0,0,60,2022-05-29,60
0,ANON,0,0,37,2022-05-30,37
0,ANON,0,0,4,2022-05-31,4
0,ANON,0,0,95,2022-06-01,95
0,ANON,0,0,21,2022-06-05,21
1,ANON,0,0,42,2022-06-07,41
0,ANON,0,0,1,2022-06-08,1
0,ANON,0,0,27,2022-06-10,27
0,ANON,0,0,10,2022-06-11,10
0,ANON,0,0,21,2022-06-13,21
1,ANON,0,0,42,2022-06-16,41
0,ANON,0,0,7,2022-06-18,7
0,ANON,0,0,30,2022-06-20,30
2,ANON,0,0,47,2022-06-21,45
4,ANON,0,0,84,2022-06-22,80
1,ANON,0,0,10,2022-06-23,9
0,ANON,0,0,12,2022-06-24,12
0,ANON,0,0,16,2022-06-26,16
1,ANON,0,0,105,2022-06-27,104
1,ANON,0,0,66,2022-06-28,65
0,ANON,0,0,31,2022-06-29,31
4,ANON,0,1,110,2022-06-30,105
5,ANON,0,0,181,2022-07-01,176
4,ANON,0,0,86,2022-07-02,82
3,ANON,0,0,78,2022-07-03,75
4,ANON,0,0,125,2022-07-04,121
8,ANON,0,0,135,2022-07-05,127
2,ANON,0,0,95,2022-07-06,93
2,ANON,0,0,50,2022-07-07,48
0,ANON,0,0,50,2022-07-08,50
1,ANON,0,0,23,2022-07-10,22
0,ANON,0,0,10,2022-07-11,10
1,ANON,0,0,8,2022-07-13,7
