anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,2,64,2022-08-25,62
0,ALDR,0,1,32,2022-08-26,31
0,ALDR,0,1,32,2022-08-27,31
0,ALDR,0,1,21,2022-08-28,20
0,ALDR,0,0,11,2022-08-29,11
0,ALDR,0,1,32,2022-08-30,31
0,ALDR,0,1,32,2022-08-31,31
2,ALDR,0,0,46,2022-09-01,44
0,ALDR,0,0,18,2022-09-02,18
1,ALDR,0,0,32,2022-09-05,31
1,ALDR,0,1,32,2022-09-06,30
1,ALDR,0,1,32,2022-09-07,30
1,ALDR,0,0,32,2022-09-08,31
1,ALDR,0,1,32,2022-09-09,30
1,ALDR,0,0,33,2022-09-10,32
2,ALDR,0,0,31,2022-09-11,29
2,ALDR,0,0,32,2022-09-12,30
1,ALDR,0,0,32,2022-09-13,31
1,ALDR,0,0,32,2022-09-15,31
1,ALDR,0,0,37,2022-09-16,36
1,ALDR,0,0,34,2022-09-19,33
1,ALDR,0,0,29,2022-09-20,28
1,ALDR,0,0,29,2022-09-22,28
1,ALDR,0,0,37,2022-10-03,36
1,ALDR,0,0,37,2022-10-05,36
1,ALDR,0,0,29,2022-10-06,28
0,ALDR,0,0,8,2022-10-07,8
1,ALDR,0,1,37,2022-10-09,35
1,ALDR,0,1,36,2022-10-10,34
0,ALDR,0,0,1,2022-10-11,1
1,ALDR,0,1,37,2022-10-13,35
1,ALDR,0,1,37,2022-11-12,35
1,ALDR,0,0,37,2022-11-19,36
1,ALDR,0,0,54,2022-11-25,53
1,ALDR,0,0,37,2022-12-09,36
0,ALDR,0,1,37,2022-12-12,36
1,ALDR,0,1,75,2022-12-13,73
1,ALDR,0,3,37,2022-12-15,33
0,ALDR,0,0,37,2022-12-19,37
0,ALDR,0,1,37,2022-12-20,36
1,ALDR,0,0,93,2022-12-22,92
1,ALDR,0,0,37,2022-12-29,36
4,ANON,0,9,100,2022-08-24,87
8,ANON,0,13,200,2022-08-25,179
6,ANON,0,13,198,2022-08-26,179
6,ANON,0,7,143,2022-08-27,130
5,ANON,0,11,159,2022-08-28,143
8,ANON,0,15,210,2022-08-29,187
4,ANON,0,11,187,2022-08-30,172
6,ANON,0,12,180,2022-08-31,162
7,ANON,0,13,192,2022-09-01,172
3,ANON,0,6,128,2022-09-02,119
3,ANON,0,7,103,2022-09-05,93
6,ANON,0,13,189,2022-09-06,170
7,ANON,0,12,186,2022-09-07,167
5,ANON,0,11,160,2022-09-08,144
4,ANON,0,8,165,2022-09-09,153
8,ANON,0,15,216,2022-09-10,193
4,ANON,0,6,107,2022-09-11,97
8,ANON,0,17,256,2022-09-12,231
3,ANON,0,6,83,2022-09-13,74
0,ANON,0,0,49,2022-09-14,49
7,ANON,0,13,202,2022-09-15,182
3,ANON,0,6,102,2022-09-16,93
7,ANON,0,12,170,2022-09-19,151
10,ANON,0,7,151,2022-09-20,134
12,ANON,0,17,249,2022-09-21,220
4,ANON,0,7,110,2022-09-22,99
3,ANON,0,6,99,2022-09-23,90
0,ANON,0,0,2,2022-09-28,2
6,ANON,0,11,155,2022-10-03,138
3,ANON,0,10,167,2022-10-04,154
3,ANON,0,6,130,2022-10-05,121
2,ANON,0,6,105,2022-10-06,97
4,ANON,0,13,162,2022-10-07,145
1,ANON,0,6,113,2022-10-10,106
3,ANON,0,6,145,2022-10-11,136
2,ANON,0,1,14,2022-10-12,11
2,ANON,0,11,160,2022-10-13,147
0,ANON,0,0,56,2022-10-14,56
3,ANON,0,0,18,2022-10-24,15
9,ANON,0,9,63,2022-10-25,45
5,ANON,0,12,218,2022-10-26,201
0,ANON,0,0,222,2022-10-27,222
0,ANON,0,0,184,2022-10-28,184
21,ANON,0,6,400,2022-10-31,373
2,ANON,0,0,126,2022-11-01,124
0,ANON,0,0,80,2022-11-02,80
0,ANON,0,0,15,2022-11-03,15
1,ANON,0,3,36,2022-11-05,32
37,ANON,0,20,329,2022-11-07,272
11,ANON,0,18,382,2022-11-08,353
1,ANON,0,0,177,2022-11-09,176
0,ANON,0,0,160,2022-11-10,160
0,ANON,0,0,158,2022-11-11,158
1,ANON,0,5,99,2022-11-13,93
1,ANON,0,0,83,2022-11-14,82
0,ANON,0,0,40,2022-11-15,40
2,ANON,0,1,91,2022-11-16,88
2,ANON,0,3,107,2022-11-19,102
1,ANON,0,7,103,2022-11-20,95
41,ANON,0,21,221,2022-11-21,159
8,ANON,0,12,230,2022-11-22,210
0,ANON,0,0,170,2022-11-23,170
0,ANON,0,0,190,2022-11-24,190
0,ANON,0,0,2,2022-11-25,2
9,ANON,0,0,56,2022-12-05,47
2,ANON,0,23,299,2022-12-06,274
0,ANON,0,2,30,2022-12-07,28
1,ANON,0,19,213,2022-12-09,193
0,ANON,0,0,37,2022-12-11,37
4,ANON,0,10,116,2022-12-12,102
6,ANON,0,16,235,2022-12-13,213
0,ANON,0,9,165,2022-12-14,156
4,ANON,0,9,126,2022-12-15,113
2,ANON,0,8,107,2022-12-16,97
2,ANON,0,5,129,2022-12-18,122
3,ANON,0,7,107,2022-12-19,97
3,ANON,0,7,132,2022-12-20,122
5,ANON,0,14,203,2022-12-21,184
1,ANON,0,7,78,2022-12-22,70
2,ANON,0,0,18,2022-12-23,16
3,ANON,0,1,38,2022-12-24,34
0,ANON,0,0,11,2022-12-25,11
4,ANON,0,14,206,2022-12-26,188
4,ANON,0,15,159,2022-12-27,140
3,ANON,0,8,170,2022-12-28,159
4,ANON,0,18,214,2022-12-29,192
2,ANON,0,7,49,2022-12-30,40
0,COMM,0,0,25,2022-08-25,25
0,COMM,0,0,15,2022-08-26,15
0,COMM,0,0,20,2022-08-27,20
0,COMM,0,0,20,2022-08-28,20
0,COMM,0,0,20,2022-08-29,20
0,COMM,0,0,20,2022-08-30,20
0,COMM,0,0,20,2022-08-31,20
0,COMM,0,0,10,2022-09-01,10
0,COMM,0,0,10,2022-09-02,10
0,COMM,0,0,20,2022-09-05,20
0,COMM,0,0,20,2022-09-06,20
