anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
9,ANON,0,0,174,2022-08-03,165
0,ANON,0,0,3,2022-08-04,3
2,ANON,0,0,21,2022-08-06,19
1,ANON,0,0,11,2022-08-08,10
0,COMT,0,0,6,2022-05-15,6
2,COMT,0,0,65,2022-08-03,63
4,COMT,0,0,6,2022-08-04,2
5,COMT,0,0,67,2022-08-06,62
1,COMT,0,0,1,2022-08-08,0
0,CULTR,0,0,1,2022-08-06,1
0,ENV,0,0,2,2022-08-08,2
0,FILE,0,0,1,2022-08-04,1
0,GRP,0,0,2,2022-05-13,2
0,GRP,0,0,11,2022-05-15,11
0,GRP,0,0,2,2022-05-16,2
4,GRP,0,1,151,2022-08-03,146
0,GRP,0,0,3,2022-08-04,3
0,GRP,0,0,8,2022-08-06,8
0,GRP,0,0,2,2022-08-08,2
0,HOST,0,0,4,2022-08-03,4
0,HOST,0,0,1,2022-08-04,1
1,HOST,0,0,26,2022-08-08,25
8,HUMR,0,0,195,2022-08-03,187
0,HUMR,0,0,10,2022-08-04,10
9,HUMR,0,0,39,2022-08-06,30
10,HUMR,0,0,29,2022-08-08,19
6,LGBT,0,0,125,2022-08-03,119
0,LGBT,0,0,3,2022-08-05,3
5,LGBT,0,0,17,2022-08-06,12
5,LGBT,0,0,17,2022-08-08,12
0,MMED,0,0,2,2022-05-13,2
0,MMED,0,0,3,2022-05-15,3
0,MMED,0,0,1,2022-05-16,1
0,MMED,0,0,35,2022-08-03,35
1,MMED,0,1,3,2022-08-04,1
0,MMED,0,0,6,2022-08-05,6
3,MMED,0,0,37,2022-08-06,34
0,MMED,0,0,2,2022-08-08,2
0,NEWS,0,0,1,2022-05-13,1
9,NEWS,0,0,153,2022-08-03,144
1,NEWS,0,0,2,2022-08-04,1
4,NEWS,0,0,23,2022-08-06,19
8,NEWS,0,0,26,2022-08-08,18
1,POLR,0,0,37,2022-08-03,36
1,POLR,0,0,3,2022-08-04,2
3,POLR,0,0,10,2022-08-06,7
2,POLR,0,0,4,2022-08-08,2
0,PORN,0,0,2,2022-08-03,2
1,PUBH,0,0,18,2022-08-03,17
6,PUBH,0,0,11,2022-08-04,5
0,PUBH,0,0,1,2022-08-05,1
4,PUBH,0,0,30,2022-08-06,26
0,REL,0,0,4,2022-08-03,4
0,REL,0,0,1,2022-08-08,1
0,SRCH,0,0,12,2022-08-03,12
3,SRCH,0,0,5,2022-08-04,2
0,SRCH,0,0,13,2022-08-06,13
1,SRCH,0,0,1,2022-08-08,0
0,XED,0,0,2,2022-08-08,2
