anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
1,ALDR,0,0,65,2022-01-11,64
1,ALDR,0,0,48,2022-01-12,47
0,ALDR,0,0,17,2022-01-13,17
1,ALDR,0,0,65,2022-01-15,64
1,ALDR,0,0,65,2022-01-16,64
1,ALDR,0,0,35,2022-01-18,34
0,ALDR,0,0,30,2022-01-19,30
1,ALDR,0,0,48,2022-01-20,47
0,ALDR,0,0,17,2022-01-21,17
1,ALDR,0,0,65,2022-01-23,64
1,ALDR,0,0,66,2022-01-24,65
1,ALDR,0,0,35,2022-01-26,34
0,ALDR,0,0,29,2022-01-27,29
1,ALDR,0,0,48,2022-01-28,47
1,ALDR,0,0,82,2022-01-29,81
1,ALDR,0,0,65,2022-01-31,64
1,ALDR,0,1,66,2022-02-01,64
1,ALDR,0,0,35,2022-02-03,34
0,ALDR,0,0,29,2022-02-04,29
1,ALDR,0,0,56,2022-02-05,55
1,ALDR,0,0,74,2022-02-06,73
1,ALDR,0,0,78,2022-02-08,77
0,ALDR,0,0,1,2022-02-09,1
1,ALDR,0,0,34,2022-02-11,33
3,ALDR,0,0,107,2022-02-12,104
0,ALDR,0,0,34,2022-02-13,34
1,ALDR,0,0,16,2022-02-14,15
0,ALDR,0,0,55,2022-02-15,55
1,ALDR,0,0,78,2022-02-16,77
0,ALDR,0,0,1,2022-02-17,1
1,ALDR,0,0,65,2022-02-18,64
1,ALDR,0,0,34,2022-02-19,33
1,ALDR,0,0,42,2022-02-20,41
0,ALDR,0,0,66,2022-02-21,66
1,ALDR,0,0,16,2022-02-22,15
0,ALDR,0,0,46,2022-02-23,46
3,ALDR,0,0,60,2022-02-24,57
0,ALDR,0,0,1,2022-02-25,1
1,ALDR,0,0,65,2022-02-26,64
1,ALDR,0,0,34,2022-02-27,33
1,ALDR,0,0,42,2022-02-28,41
0,ALDR,0,0,66,2022-03-01,66
1,ALDR,0,0,16,2022-03-02,15
0,ALDR,0,0,16,2022-03-03,16
1,ALDR,0,0,90,2022-03-04,89
0,ALDR,0,0,1,2022-03-05,1
1,ALDR,0,0,65,2022-03-06,64
1,ALDR,0,0,34,2022-03-07,33
1,ALDR,0,0,42,2022-03-08,41
0,ALDR,0,0,32,2022-03-09,32
1,ALDR,0,0,50,2022-03-10,49
0,ALDR,0,0,26,2022-03-11,26
2,ALDR,0,0,80,2022-03-12,78
0,ALDR,0,0,1,2022-03-13,1
1,ALDR,0,0,65,2022-03-14,64
1,ALDR,0,0,34,2022-03-15,33
1,ALDR,0,0,42,2022-03-16,41
0,ALDR,0,0,61,2022-03-17,61
1,ALDR,0,0,21,2022-03-18,20
0,ALDR,0,0,26,2022-03-19,26
1,ALDR,0,0,80,2022-03-20,79
0,ALDR,0,0,1,2022-03-21,1
1,ALDR,0,0,53,2022-03-22,52
0,ALDR,0,0,4,2022-03-23,4
1,ALDR,0,0,19,2022-03-24,18
1,ALDR,0,0,126,2022-03-25,125
1,ALDR,0,0,21,2022-03-26,20
0,ALDR,0,0,13,2022-03-27,13
0,ALDR,0,0,33,2022-03-28,33
0,ALDR,0,0,1,2022-03-29,1
2,ALDR,0,0,113,2022-03-30,111
0,ALDR,0,0,4,2022-03-31,4
4,ALDR,0,0,19,2022-04-01,15
7,ALDR,0,2,61,2022-04-02,52
2,ALDR,0,1,116,2022-04-03,113
0,ALDR,0,0,13,2022-04-04,13
1,ALDR,0,0,69,2022-04-05,68
0,ALDR,0,0,1,2022-04-06,1
2,ALDR,0,0,116,2022-04-07,114
1,ALDR,0,0,75,2022-04-08,74
2,ALDR,0,0,24,2022-04-09,22
3,ALDR,0,0,180,2022-04-10,177
0,ALDR,0,0,122,2022-04-11,122
0,ALDR,0,0,10,2022-04-12,10
3,ALDR,0,0,136,2022-04-13,133
3,ALDR,0,0,156,2022-04-15,153
2,ALDR,0,0,43,2022-04-16,41
3,ALDR,0,0,22,2022-04-17,19
2,ALDR,0,0,172,2022-04-18,170
0,ALDR,0,0,67,2022-04-19,67
0,ALDR,0,0,65,2022-04-20,65
11,ALDR,0,0,293,2022-04-21,282
2,ALDR,0,0,130,2022-04-23,128
1,ALDR,0,0,43,2022-04-24,42
5,ALDR,0,0,90,2022-04-25,85
4,ALDR,0,0,249,2022-04-26,245
0,ALDR,0,0,66,2022-04-27,66
0,ALDR,0,0,64,2022-04-28,64
3,ALDR,0,0,332,2022-04-29,329
1,ALDR,0,0,36,2022-05-01,35
0,ALDR,0,0,19,2022-05-02,19
5,ALDR,0,0,92,2022-05-03,87
3,ALDR,0,0,187,2022-05-04,184
1,ALDR,0,0,74,2022-05-05,73
0,ALDR,0,0,62,2022-05-06,62
3,ALDR,0,0,388,2022-05-07,385
1,ALDR,0,0,66,2022-05-08,65
1,ALDR,0,0,36,2022-05-09,35
1,ALDR,0,0,90,2022-05-10,89
3,ALDR,0,0,14,2022-05-11,11
4,ALDR,0,2,166,2022-05-12,160
0,ALDR,0,0,43,2022-05-13,43
0,ALDR,0,0,95,2022-05-14,95
2,ALDR,0,0,314,2022-05-15,312
2,ALDR,0,0,70,2022-05-17,68
1,ALDR,0,0,96,2022-05-18,95
3,ALDR,0,0,16,2022-05-19,13
4,ALDR,0,0,165,2022-05-20,161
0,ALDR,0,0,35,2022-05-21,35
