anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,25,2022-05-12,25
0,ALDR,0,0,25,2022-05-14,25
0,ANON,0,0,7,2022-01-21,7
0,ANON,0,0,7,2022-03-24,7
0,ANON,0,0,22,2022-03-26,22
1,ANON,0,0,93,2022-05-10,92
0,ANON,0,0,1,2022-05-11,1
1,ANON,0,0,20,2022-05-12,19
0,ANON,0,0,75,2022-05-13,75
1,ANON,0,0,87,2022-05-14,86
0,ANON,0,0,9,2022-05-15,9
0,COMM,0,0,18,2022-05-12,18
0,COMM,0,0,18,2022-05-15,18
0,COMT,0,0,5,2022-01-20,5
0,COMT,0,0,2,2022-01-21,2
0,COMT,0,0,7,2022-02-25,7
0,COMT,0,0,6,2022-03-13,6
0,COMT,0,0,6,2022-03-24,6
0,COMT,0,0,6,2022-04-06,6
0,COMT,0,0,3,2022-04-24,3
0,COMT,0,0,3,2022-04-28,3
0,COMT,0,0,6,2022-05-09,6
0,COMT,0,0,43,2022-05-10,43
0,COMT,0,0,54,2022-05-11,54
0,COMT,0,0,12,2022-05-12,12
0,COMT,0,0,96,2022-05-13,96
0,COMT,0,0,13,2022-05-14,13
0,COMT,0,0,103,2022-05-15,103
0,COMT,0,0,6,2022-07-10,6
0,COMT,0,0,6,2022-09-25,6
0,COMT,0,1,6,2022-09-26,5
0,COMT,0,0,6,2022-10-28,6
0,COMT,0,0,6,2022-11-21,6
0,COMT,0,0,6,2022-11-25,6
0,COMT,0,0,9,2022-12-25,9
0,CTRL,0,0,18,2022-05-12,18
0,CTRL,0,0,18,2022-05-15,18
0,CULTR,0,0,1,2022-03-24,1
0,CULTR,0,0,2,2022-05-10,2
0,CULTR,0,0,52,2022-05-11,52
0,CULTR,0,0,11,2022-05-12,11
0,CULTR,0,0,4,2022-05-13,4
0,CULTR,0,0,64,2022-05-14,64
0,CULTR,0,0,3,2022-05-15,3
0,DATE,0,0,13,2022-05-12,13
0,DATE,0,0,13,2022-05-14,13
0,ECON,0,0,20,2022-05-12,20
0,ECON,0,0,20,2022-05-15,20
0,ENV,0,0,24,2022-05-11,24
0,ENV,0,0,24,2022-05-14,24
0,ENV,0,0,3,2022-05-15,3
0,FILE,0,0,1,2022-05-10,1
0,FILE,0,0,26,2022-05-11,26
0,FILE,0,0,6,2022-05-12,6
0,FILE,0,0,1,2022-05-13,1
0,FILE,0,0,32,2022-05-14,32
0,FILE,0,0,1,2022-05-15,1
0,GAME,0,0,18,2022-05-12,18
0,GAME,0,0,18,2022-05-15,18
0,GMB,0,0,28,2022-05-12,28
0,GMB,0,0,28,2022-05-14,28
0,GOVT,0,0,18,2022-05-11,18
0,GOVT,0,0,8,2022-05-12,8
