anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,240,2022-01-01,240
0,ALDR,0,1,216,2022-01-02,215
0,ALDR,0,0,216,2022-01-03,216
0,ALDR,0,0,216,2022-01-04,216
0,ALDR,0,0,216,2022-01-05,216
0,ALDR,0,0,216,2022-01-06,216
0,ALDR,0,0,216,2022-01-07,216
0,ALDR,0,0,240,2022-01-08,240
0,ALDR,0,0,240,2022-01-09,240
0,ALDR,0,0,240,2022-01-10,240
1,ALDR,0,0,240,2022-01-11,239
0,ALDR,0,0,240,2022-01-12,240
0,ALDR,0,0,240,2022-01-13,240
0,ALDR,0,0,225,2022-01-14,225
0,ALDR,0,0,207,2022-01-15,207
0,ALDR,0,0,238,2022-01-16,238
0,ALDR,0,1,218,2022-01-17,217
0,ALDR,0,0,213,2022-01-18,213
0,ALDR,0,0,243,2022-01-19,243
0,ALDR,0,0,214,2022-01-20,214
0,ALDR,0,0,242,2022-01-21,242
0,ALDR,0,1,216,2022-01-22,215
0,ALDR,0,0,240,2022-01-23,240
0,ALDR,0,3,213,2022-01-24,210
0,ALDR,0,0,230,2022-01-25,230
0,ALDR,0,0,229,2022-01-26,229
0,ALDR,0,0,240,2022-01-27,240
0,ALDR,0,0,216,2022-01-28,216
0,ALDR,0,0,240,2022-01-29,240
0,ALDR,0,0,216,2022-01-30,216
0,ALDR,0,0,240,2022-01-31,240
0,ALDR,0,0,207,2022-02-01,207
0,ALDR,0,0,249,2022-02-02,249
0,ALDR,0,0,206,2022-02-03,206
0,ALDR,0,2,226,2022-02-04,224
0,ALDR,0,0,216,2022-02-05,216
0,ALDR,0,0,216,2022-02-06,216
0,ALDR,0,0,238,2022-02-07,238
0,ALDR,0,0,210,2022-02-08,210
0,ALDR,0,0,224,2022-02-09,224
0,ALDR,0,0,236,2022-02-10,236
0,ALDR,0,0,244,2022-02-11,244
3,ALDR,0,0,235,2022-02-12,232
2,ALDR,0,0,245,2022-02-13,243
1,ALDR,0,0,215,2022-02-14,214
0,ALDR,0,0,241,2022-02-15,241
1,ALDR,0,0,216,2022-02-16,215
1,ALDR,0,0,240,2022-02-17,239
0,ALDR,0,0,202,2022-02-18,202
1,ALDR,0,0,230,2022-02-19,229
0,ALDR,0,0,216,2022-02-20,216
0,ALDR,0,0,211,2022-02-21,211
0,ALDR,0,1,365,2022-02-22,364
0,ALDR,0,2,413,2022-02-23,411
0,ALDR,0,0,486,2022-02-24,486
0,ALDR,0,0,327,2022-02-25,327
7,ALDR,0,0,255,2022-02-26,248
0,ALDR,0,0,318,2022-02-27,318
0,ALDR,0,0,481,2022-02-28,481
0,ALDR,0,0,466,2022-03-01,466
0,ALDR,0,0,428,2022-03-02,428
0,ALDR,0,0,437,2022-03-03,437
0,ALDR,0,0,476,2022-03-04,476
0,ALDR,0,0,458,2022-03-05,458
1,ALDR,0,1,508,2022-03-06,506
1,ALDR,0,0,440,2022-03-07,439
0,ALDR,0,0,474,2022-03-08,474
0,ALDR,0,0,458,2022-03-09,458
4,ALDR,0,0,450,2022-03-10,446
0,ALDR,0,0,474,2022-03-11,474
0,ALDR,0,0,448,2022-03-12,448
0,ALDR,0,0,441,2022-03-13,441
0,ALDR,0,0,418,2022-03-14,418
0,ALDR,0,0,407,2022-03-15,407
0,ALDR,0,0,392,2022-03-16,392
0,ALDR,0,0,439,2022-03-17,439
1,ALDR,0,0,425,2022-03-18,424
0,ALDR,0,0,432,2022-03-19,432
0,ALDR,0,0,392,2022-03-20,392
0,ALDR,0,1,443,2022-03-21,442
1,ALDR,0,0,435,2022-03-22,434
0,ALDR,0,0,394,2022-03-23,394
0,ALDR,0,0,436,2022-03-24,436
0,ALDR,0,0,395,2022-03-25,395
1,ALDR,0,0,396,2022-03-26,395
0,ALDR,0,0,431,2022-03-27,431
0,ALDR,0,0,385,2022-03-28,385
0,ALDR,0,0,411,2022-03-29,411
0,ALDR,0,0,415,2022-03-30,415
1,ALDR,0,0,446,2022-03-31,445
0,ALDR,0,0,425,2022-04-01,425
0,ALDR,0,0,400,2022-04-02,400
0,ALDR,0,0,440,2022-04-03,440
0,ALDR,0,0,412,2022-04-04,412
0,ALDR,0,0,410,2022-04-05,410
0,ALDR,0,0,428,2022-04-06,428
0,ALDR,0,0,412,2022-04-07,412
0,ALDR,0,0,398,2022-04-08,398
0,ALDR,0,0,418,2022-04-09,418
0,ALDR,0,0,424,2022-04-10,424
0,ALDR,0,0,389,2022-04-11,389
0,ALDR,0,0,394,2022-04-12,394
2,ALDR,0,0,465,2022-04-13,463
1,ALDR,0,0,364,2022-04-14,363
0,ALDR,0,0,246,2022-04-15,246
2,ALDR,0,0,250,2022-04-16,248
0,ALDR,0,0,250,2022-04-17,250
2,ALDR,0,0,384,2022-04-18,382
0,ALDR,0,0,357,2022-04-19,357
0,ALDR,0,0,433,2022-04-20,433
1,ALDR,0,0,354,2022-04-21,353
0,ALDR,0,0,420,2022-04-22,420
5,ALDR,0,0,277,2022-04-23,272
2,ALDR,0,0,116,2022-04-24,114
0,ALDR,0,0,400,2022-04-25,400
1,ALDR,0,0,425,2022-04-26,424
0,ALDR,0,0,450,2022-04-27,450
0,ALDR,0,0,450,2022-04-28,450
0,ALDR,0,0,450,2022-04-29,450
0,ALDR,0,0,425,2022-04-30,425
1,ALDR,0,0,450,2022-05-01,449
0,ALDR,0,0,450,2022-05-02,450
0,ALDR,0,0,457,2022-05-03,457
0,ALDR,0,0,443,2022-05-04,443
0,ALDR,0,1,378,2022-05-05,377
0,ALDR,0,0,374,2022-05-06,374
2,ALDR,0,0,461,2022-05-07,459
0,ALDR,0,0,437,2022-05-08,437
0,ALDR,0,0,450,2022-05-09,450
0,ALDR,0,0,475,2022-05-10,475
0,ALDR,0,0,450,2022-05-11,450
0,ALDR,0,1,450,2022-05-12,449
0,ALDR,0,0,425,2022-05-13,425
0,ALDR,0,0,450,2022-05-14,450
0,ALDR,0,0,450,2022-05-15,450
0,ALDR,0,4,278,2022-05-16,274
0,ALDR,0,0,197,2022-05-17,197
0,ALDR,0,0,221,2022-05-18,221
0,ALDR,0,0,250,2022-05-19,250
0,ALDR,0,0,250,2022-05-20,250
0,ALDR,0,0,250,2022-05-21,250
0,ALDR,0,0,250,2022-05-22,250
0,ALDR,0,0,250,2022-05-23,250
0,ALDR,0,0,250,2022-05-24,250
0,ALDR,0,0,250,2022-05-25,250
0,ALDR,0,0,250,2022-05-26,250
0,ALDR,0,0,250,2022-05-27,250
0,ALDR,0,0,225,2022-05-28,225
0,ALDR,0,0,225,2022-05-29,225
1,ALDR,0,25,175,2022-05-30,149
0,ALDR,0,0,250,2022-05-31,250
0,ALDR,0,0,250,2022-06-01,250
0,ALDR,0,1,250,2022-06-02,249
0,ALDR,0,0,275,2022-06-03,275
0,ALDR,0,0,350,2022-06-04,350
0,ALDR,0,0,250,2022-06-05,250
0,ALDR,0,0,249,2022-06-06,249
1,ALDR,0,0,226,2022-06-07,225
0,ALDR,0,0,250,2022-06-08,250
0,ALDR,0,0,250,2022-06-09,250
0,ALDR,0,0,250,2022-06-10,250
0,ALDR,0,0,309,2022-06-11,309
2,ALDR,0,2,474,2022-06-12,470
0,ALDR,0,0,349,2022-06-13,349
0,ALDR,0,1,320,2022-06-14,319
0,ALDR,0,0,288,2022-06-15,288
1,ALDR,0,0,376,2022-06-16,375
0,ALDR,0,0,353,2022-06-17,353
0,ALDR,0,0,377,2022-06-18,377
0,ALDR,0,0,352,2022-06-19,352
1,ALDR,0,0,359,2022-06-20,358
1,ALDR,0,0,447,2022-06-21,446
0,ALDR,0,0,533,2022-06-22,533
1,ALDR,0,0,507,2022-06-23,506
0,ALDR,0,0,403,2022-06-24,403
0,ALDR,0,0,381,2022-06-25,381
0,ALDR,0,0,410,2022-06-26,410
0,ALDR,0,0,441,2022-06-27,441
1,ALDR,0,0,400,2022-06-28,399
0,ALDR,0,0,344,2022-06-29,344
0,ALDR,0,0,401,2022-06-30,401
0,ALDR,0,0,376,2022-07-01,376
0,ALDR,0,0,417,2022-07-02,417
3,ALDR,0,0,508,2022-07-03,505
0,ALDR,0,0,299,2022-07-04,299
0,ALDR,0,0,321,2022-07-05,321
0,ALDR,0,0,424,2022-07-06,424
0,ALDR,0,0,384,2022-07-07,384
0,ALDR,0,0,499,2022-07-08,499
1,ALDR,0,0,443,2022-07-09,442
0,ALDR,0,0,455,2022-07-10,455
0,ALDR,0,0,442,2022-07-11,442
0,ALDR,0,0,497,2022-07-12,497
0,ALDR,0,0,707,2022-07-13,707
0,ALDR,0,0,504,2022-07-14,504
0,ALDR,0,0,536,2022-07-15,536
0,ALDR,0,0,500,2022-07-16,500
0,ALDR,0,0,678,2022-07-17,678
0,ALDR,0,0,481,2022-07-18,481
2,ALDR,0,0,504,2022-07-19,502
