anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,25,2022-01-02,25
2,ALDR,0,0,25,2022-01-05,23
0,ALDR,0,0,25,2022-01-07,25
2,ALDR,0,0,25,2022-01-10,23
1,ALDR,0,0,25,2022-01-13,24
0,ALDR,0,0,25,2022-01-16,25
0,ALDR,0,0,25,2022-01-18,25
1,ALDR,0,0,5,2022-01-19,4
0,ALDR,0,0,20,2022-01-21,20
0,ALDR,0,0,25,2022-01-24,25
0,ALDR,0,0,25,2022-01-26,25
0,ALDR,0,0,5,2022-01-27,5
0,ALDR,0,0,22,2022-01-29,22
0,ALDR,0,0,23,2022-01-31,23
0,ALDR,0,0,50,2022-02-03,50
0,ALDR,0,0,4,2022-02-04,4
0,ALDR,0,0,1,2022-02-07,1
0,ALDR,0,0,20,2022-02-08,20
0,ALDR,0,0,25,2022-02-10,25
0,ALDR,0,0,25,2022-02-11,25
0,ALDR,0,0,4,2022-02-12,4
0,ALDR,0,0,2,2022-02-15,2
0,ALDR,0,0,12,2022-02-16,12
0,ALDR,0,0,8,2022-02-17,8
0,ALDR,0,0,24,2022-02-18,24
0,ALDR,0,0,4,2022-02-20,4
0,ALDR,0,0,25,2022-02-21,25
0,ALDR,0,0,1,2022-02-22,1
0,ALDR,0,0,4,2022-02-23,4
0,ALDR,0,0,12,2022-02-24,12
0,ALDR,0,0,8,2022-02-25,8
2,ALDR,0,0,24,2022-02-26,22
0,ALDR,0,0,4,2022-02-28,4
0,ALDR,0,0,25,2022-03-01,25
0,ALDR,0,0,1,2022-03-02,1
0,ALDR,0,0,28,2022-03-03,28
0,ALDR,0,0,14,2022-03-04,14
0,ALDR,0,0,8,2022-03-06,8
0,ALDR,0,0,1,2022-03-07,1
0,ALDR,0,0,4,2022-03-08,4
0,ALDR,0,0,23,2022-03-09,23
1,ALDR,0,0,28,2022-03-11,27
0,ALDR,0,0,10,2022-03-12,10
0,ALDR,0,0,4,2022-03-13,4
1,ALDR,0,0,8,2022-03-14,7
0,ALDR,0,0,1,2022-03-15,1
1,ALDR,0,0,30,2022-03-16,29
2,ALDR,0,0,25,2022-03-19,23
0,ALDR,0,0,10,2022-03-20,10
1,ALDR,0,0,30,2022-03-21,29
0,ALDR,0,0,9,2022-03-23,9
1,ALDR,0,0,30,2022-03-24,29
2,ALDR,0,0,13,2022-03-29,11
0,ALDR,0,0,23,2022-04-04,23
0,ALDR,0,0,16,2022-04-05,16
1,ALDR,0,0,13,2022-04-06,12
0,ALDR,0,0,26,2022-04-07,26
1,ALDR,0,0,17,2022-04-11,16
0,ALDR,0,0,10,2022-04-12,10
0,ALDR,0,0,12,2022-04-13,12
1,ALDR,0,0,13,2022-04-14,12
1,ALDR,0,0,13,2022-04-17,12
1,ALDR,0,0,31,2022-04-18,30
0,ALDR,0,0,3,2022-04-19,3
0,ALDR,0,0,33,2022-04-20,33
0,ALDR,0,0,11,2022-04-21,11
0,ALDR,0,0,13,2022-04-22,13
1,ALDR,0,0,39,2022-04-25,38
0,ALDR,0,0,31,2022-04-26,31
0,ALDR,0,0,5,2022-04-27,5
0,ALDR,0,0,31,2022-04-28,31
0,ALDR,0,0,20,2022-05-03,20
3,ALDR,0,0,22,2022-05-04,19
0,ALDR,0,0,5,2022-05-05,5
0,ALDR,0,0,31,2022-05-06,31
0,ALDR,0,0,26,2022-05-09,26
0,ALDR,0,0,20,2022-05-11,20
1,ALDR,0,0,22,2022-05-12,21
0,ALDR,0,0,5,2022-05-13,5
0,ALDR,0,0,9,2022-05-14,9
0,ALDR,0,0,22,2022-05-17,22
0,ALDR,0,0,5,2022-05-19,5
0,ALDR,0,0,37,2022-05-20,37
0,ALDR,0,0,2,2022-05-21,2
0,ALDR,0,0,12,2022-05-22,12
2,ALDR,0,0,22,2022-05-25,20
0,ALDR,0,0,31,2022-05-27,31
0,ALDR,0,0,11,2022-05-28,11
0,ALDR,0,0,2,2022-05-29,2
0,ALDR,0,0,38,2022-05-30,38
0,ALDR,0,0,2,2022-06-02,2
0,ALDR,0,0,22,2022-06-04,22
0,ALDR,0,0,16,2022-06-06,16
4,ALDR,0,0,38,2022-06-07,34
0,ALDR,0,0,2,2022-06-10,2
2,ALDR,0,0,24,2022-06-12,22
0,ALDR,0,0,27,2022-06-13,27
0,ALDR,0,0,30,2022-06-14,30
0,ALDR,0,0,32,2022-06-15,32
1,ALDR,0,0,11,2022-06-20,10
0,ALDR,0,0,59,2022-06-21,59
1,ALDR,0,0,8,2022-06-22,7
0,ALDR,0,0,27,2022-06-23,27
0,ALDR,0,0,6,2022-06-27,6
1,ALDR,0,0,27,2022-06-29,26
3,ALDR,0,0,25,2022-07-02,22
0,ALDR,0,0,6,2022-07-04,6
1,ALDR,0,0,21,2022-07-05,20
0,ALDR,0,0,20,2022-07-06,20
0,ALDR,0,0,27,2022-07-12,27
0,ALDR,0,0,26,2022-07-13,26
0,ALDR,0,0,1,2022-07-14,1
0,ALDR,0,0,12,2022-07-18,12
0,ALDR,0,0,33,2022-07-19,33
0,ALDR,0,0,27,2022-07-25,27
0,ALDR,0,0,27,2022-07-27,27
3,ALDR,0,0,33,2022-07-28,30
0,ALDR,0,0,6,2022-07-31,6
0,ALDR,0,0,33,2022-08-02,33
0,ALDR,0,0,33,2022-08-05,33
1,ALDR,0,0,25,2022-08-11,24
0,ALDR,0,0,8,2022-08-12,8
0,ALDR,0,0,51,2022-08-15,51
0,ALDR,0,0,2,2022-08-18,2
0,ALDR,0,1,58,2022-08-19,57
1,ALDR,0,2,50,2022-08-30,47
1,ALDR,0,0,27,2022-09-01,26
0,ALDR,0,0,1,2022-09-02,1
0,ALDR,0,0,5,2022-09-04,5
0,ALDR,0,0,6,2022-09-05,6
5,ALDR,0,3,83,2022-09-06,75
0,ALDR,0,0,2,2022-09-15,2
0,ALDR,0,0,5,2022-09-17,5
2,ALDR,0,0,19,2022-09-22,17
1,ALDR,0,2,48,2022-09-24,45
3,ALDR,0,1,35,2022-09-26,31
1,ALDR,0,0,9,2022-09-27,8
0,ALDR,0,0,26,2022-09-28,26
1,ALDR,0,0,6,2022-09-29,5
3,ALDR,0,0,20,2022-09-30,17
1,ALDR,0,0,38,2022-10-04,37
1,ALDR,0,0,38,2022-10-06,37
0,ALDR,0,6,97,2022-10-11,91
2,ALDR,0,2,30,2022-10-12,26
1,ALDR,0,0,14,2022-10-18,13
2,ALDR,0,1,24,2022-10-21,21
0,ALDR,0,1,38,2022-10-22,37
4,ALDR,0,0,38,2022-11-02,34
0,ALDR,0,0,38,2022-11-03,38
0,ALDR,0,0,7,2022-11-04,7
0,ALDR,0,0,68,2022-11-05,68
3,ALDR,0,0,38,2022-11-15,35
0,ALDR,0,0,38,2022-11-16,38
1,ALDR,0,0,43,2022-11-17,42
0,ALDR,0,0,38,2022-11-18,38
0,ALDR,0,0,24,2022-12-03,24
0,ALDR,0,0,38,2022-12-08,38
3,ALDR,0,0,30,2022-12-09,27
0,ALDR,0,0,54,2022-12-19,54
0,ALDR,0,0,10,2022-12-20,10
0,ALDR,0,0,12,2022-12-26,12
0,ALDR,0,0,2,2022-12-28,2
0,ALDR,0,0,18,2022-12-29,18
0,ANON,0,0,52,2022-01-01,52
0,ANON,0,0,1,2022-01-02,1
0,ANON,0,0,72,2022-01-03,72
1,ANON,0,0,10,2022-01-04,9
1,ANON,0,0,67,2022-01-05,66
0,ANON,0,0,41,2022-01-06,41
13,ANON,0,1,107,2022-01-07,93
1,ANON,0,0,13,2022-01-08,12
0,ANON,0,0,53,2022-01-09,53
5,ANON,0,0,27,2022-01-10,22
2,ANON,0,0,76,2022-01-11,74
1,ANON,0,0,52,2022-01-12,51
6,ANON,0,0,93,2022-01-13,87
1,ANON,0,0,39,2022-01-14,38
1,ANON,0,0,36,2022-01-16,35
4,ANON,0,0,129,2022-01-17,125
4,ANON,0,0,23,2022-01-18,19
7,ANON,0,0,98,2022-01-19,91
2,ANON,0,0,38,2022-01-20,36
9,ANON,0,0,86,2022-01-21,77
3,ANON,0,0,26,2022-01-22,23
