anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,4,2022-01-01,4
0,ALDR,0,2,11,2022-01-02,9
0,ALDR,0,23,80,2022-01-05,57
0,ALDR,0,12,52,2022-01-08,40
0,ALDR,0,0,4,2022-01-09,4
0,ALDR,0,1,16,2022-01-10,15
0,ALDR,0,16,49,2022-01-11,33
0,ALDR,0,19,77,2022-01-13,58
0,ALDR,0,8,56,2022-01-14,48
0,ALDR,0,12,43,2022-01-16,31
0,ALDR,0,0,4,2022-01-17,4
0,ALDR,0,1,16,2022-01-18,15
0,ALDR,0,16,49,2022-01-19,33
0,ALDR,0,0,9,2022-01-22,9
0,ALDR,0,11,35,2022-01-24,24
0,ALDR,0,0,2,2022-01-25,2
0,ALDR,0,1,16,2022-01-26,15
0,ALDR,0,15,41,2022-01-27,26
0,ALDR,0,13,27,2022-01-30,14
0,ALDR,0,3,26,2022-01-31,23
0,ALDR,0,11,35,2022-02-01,24
0,ALDR,0,0,5,2022-02-03,5
0,ALDR,0,6,29,2022-02-04,23
0,ALDR,0,0,1,2022-02-05,1
0,ALDR,0,4,16,2022-02-07,12
0,ALDR,0,22,63,2022-02-08,41
0,ALDR,0,4,13,2022-02-09,9
0,ALDR,0,4,20,2022-02-10,16
0,ALDR,0,0,5,2022-02-11,5
0,ALDR,0,12,29,2022-02-12,17
0,ALDR,0,0,1,2022-02-13,1
0,ALDR,0,4,16,2022-02-15,12
0,ALDR,0,15,63,2022-02-16,48
0,ALDR,0,4,13,2022-02-17,9
0,ALDR,0,4,20,2022-02-18,16
0,ALDR,0,0,5,2022-02-19,5
0,ALDR,0,12,39,2022-02-20,27
0,ALDR,0,0,3,2022-02-23,3
0,ALDR,0,10,30,2022-02-24,20
0,ALDR,0,4,13,2022-02-25,9
0,ALDR,0,4,22,2022-02-27,18
0,ALDR,0,4,11,2022-02-28,7
0,ALDR,0,5,21,2022-03-02,16
0,ALDR,0,0,3,2022-03-03,3
0,ALDR,0,14,43,2022-03-05,29
0,ALDR,0,4,22,2022-03-07,18
0,ALDR,0,1,11,2022-03-08,10
0,ALDR,0,5,24,2022-03-11,19
0,ALDR,0,14,43,2022-03-13,29
0,ALDR,0,4,22,2022-03-15,18
0,ALDR,0,1,11,2022-03-16,10
0,ALDR,0,5,24,2022-03-19,19
9,ALDR,0,0,23,2022-03-20,14
6,ALDR,0,0,33,2022-03-21,27
11,ALDR,0,0,37,2022-03-22,26
0,ALDR,0,4,22,2022-03-23,18
1,ALDR,0,0,11,2022-03-24,10
12,ALDR,0,0,50,2022-03-25,38
0,ALDR,0,12,24,2022-03-27,12
0,ALDR,0,46,73,2022-03-28,27
3,ALDR,0,15,33,2022-03-29,15
0,ALDR,0,22,37,2022-03-30,15
4,ALDR,0,0,22,2022-03-31,18
0,ALDR,0,1,11,2022-04-01,10
9,ALDR,0,3,50,2022-04-02,38
12,ALDR,0,0,50,2022-04-03,38
8,ALDR,0,0,24,2022-04-04,16
12,ALDR,0,9,73,2022-04-05,52
3,ALDR,0,3,33,2022-04-06,27
17,ALDR,0,6,87,2022-04-07,64
4,ALDR,0,0,22,2022-04-08,18
4,ALDR,0,0,11,2022-04-09,7
3,ALDR,0,9,50,2022-04-11,38
5,ALDR,0,0,24,2022-04-12,19
21,ALDR,0,0,73,2022-04-13,52
3,ALDR,0,3,33,2022-04-14,27
26,ALDR,0,0,87,2022-04-15,61
0,ALDR,0,4,22,2022-04-16,18
0,ALDR,0,1,11,2022-04-17,10
12,ALDR,0,0,50,2022-04-19,38
5,ALDR,0,0,24,2022-04-20,19
0,ALDR,0,9,23,2022-04-21,14
3,ALDR,0,3,33,2022-04-22,27
11,ALDR,0,12,87,2022-04-23,64
4,ALDR,0,4,31,2022-04-24,23
1,ALDR,0,0,11,2022-04-25,10
5,ALDR,0,0,16,2022-04-27,11
0,ALDR,0,0,6,2022-04-28,6
12,ALDR,0,5,66,2022-04-29,49
3,ALDR,0,3,33,2022-04-30,27
14,ALDR,0,9,87,2022-05-01,64
4,ALDR,0,4,31,2022-05-02,23
1,ALDR,0,0,19,2022-05-03,18
17,ALDR,0,0,58,2022-05-05,41
0,ALDR,0,0,6,2022-05-06,6
0,ALDR,0,5,17,2022-05-07,12
0,ALDR,0,3,12,2022-05-08,9
0,ALDR,0,14,57,2022-05-09,43
0,ALDR,0,4,9,2022-05-10,5
0,ALDR,0,1,9,2022-05-15,8
0,ALDR,0,7,32,2022-05-17,25
0,ALDR,0,4,9,2022-05-18,5
0,ALDR,0,12,50,2022-05-20,38
0,ALDR,0,1,9,2022-05-23,8
0,ALDR,0,12,50,2022-05-24,38
0,ALDR,0,4,9,2022-05-25,5
0,ALDR,0,7,32,2022-05-26,25
0,ALDR,0,12,50,2022-05-28,38
0,ALDR,0,1,9,2022-05-31,8
0,ALDR,0,9,26,2022-06-01,17
0,ALDR,0,4,9,2022-06-02,5
0,ALDR,0,0,23,2022-06-03,23
0,ALDR,0,4,12,2022-06-04,8
0,ALDR,0,9,71,2022-06-05,62
0,ALDR,0,1,9,2022-06-08,8
0,ALDR,0,9,26,2022-06-09,17
0,ALDR,0,4,9,2022-06-10,5
0,ALDR,0,0,23,2022-06-11,23
0,ALDR,0,0,14,2022-06-12,14
0,ALDR,0,7,33,2022-06-13,26
0,ALDR,0,21,92,2022-09-28,71
0,ALDR,0,0,1,2022-09-29,1
0,ALDR,0,0,18,2022-09-30,18
1,ALDR,0,16,62,2022-10-07,45
0,ALDR,0,4,13,2022-11-28,9
0,ALDR,0,16,80,2022-11-29,64
0,ALDR,0,13,62,2022-12-11,49
2,ANON,0,8,26,2022-01-01,16
6,ANON,0,29,100,2022-01-02,65
2,ANON,0,22,76,2022-01-03,52
9,ANON,0,17,79,2022-01-04,53
2,ANON,0,14,43,2022-01-05,27
13,ANON,0,37,164,2022-01-06,114
5,ANON,0,22,98,2022-01-07,71
6,ANON,0,29,91,2022-01-08,56
6,ANON,0,17,65,2022-01-09,42
12,ANON,0,74,234,2022-01-10,148
5,ANON,0,30,128,2022-01-11,93
14,ANON,0,41,163,2022-01-12,108
14,ANON,0,47,172,2022-01-13,111
34,ANON,0,82,341,2022-01-14,225
10,ANON,0,51,214,2022-01-15,153
3,ANON,0,5,18,2022-01-16,10
2,ANON,0,10,34,2022-01-17,22
6,ANON,0,46,122,2022-01-18,70
10,ANON,0,52,209,2022-01-19,147
6,ANON,0,10,38,2022-01-22,22
4,ANON,0,20,82,2022-01-23,58
8,ANON,0,12,60,2022-01-24,40
0,ANON,0,3,16,2022-01-25,13
1,ANON,0,22,48,2022-01-26,25
12,ANON,0,51,175,2022-01-27,112
4,ANON,0,31,82,2022-01-28,47
9,ANON,0,34,122,2022-01-29,79
8,ANON,0,8,38,2022-01-30,22
10,ANON,0,57,206,2022-01-31,139
10,ANON,0,17,92,2022-02-01,65
0,ANON,0,1,6,2022-02-02,5
0,ANON,0,1,9,2022-02-03,8
5,ANON,0,33,102,2022-02-04,64
1,ANON,0,23,58,2022-02-05,34
5,ANON,0,10,40,2022-02-06,25
12,ANON,0,18,113,2022-02-07,83
21,ANON,0,51,211,2022-02-08,139
2,ANON,0,3,6,2022-02-09,1
16,ANON,0,24,142,2022-02-10,102
8,ANON,0,13,58,2022-02-11,37
11,ANON,0,26,150,2022-02-12,113
7,ANON,0,21,59,2022-02-13,31
6,ANON,0,10,44,2022-02-14,28
10,ANON,0,19,111,2022-02-15,82
17,ANON,0,30,212,2022-02-16,165
5,ANON,0,3,66,2022-02-17,58
10,ANON,0,13,87,2022-02-18,64
6,ANON,0,6,56,2022-02-19,44
21,ANON,0,27,145,2022-02-20,97
7,ANON,0,13,59,2022-02-21,39
3,ANON,0,0,5,2022-02-22,2
8,ANON,0,1,33,2022-02-23,24
6,ANON,0,17,74,2022-02-24,51
6,ANON,0,2,29,2022-02-25,21
10,ANON,0,20,105,2022-02-27,75
7,ANON,0,9,49,2022-02-28,33
13,ANON,0,11,57,2022-03-01,33
17,ANON,0,23,118,2022-03-02,78
2,ANON,0,1,8,2022-03-03,5
10,ANON,0,26,129,2022-03-05,93
13,ANON,0,20,134,2022-03-06,101
6,ANON,0,10,50,2022-03-07,34
4,ANON,0,7,29,2022-03-08,18
12,ANON,0,21,81,2022-03-09,48
12,ANON,0,5,48,2022-03-11,31
22,ANON,0,48,172,2022-03-12,102
15,ANON,0,32,131,2022-03-13,84
11,ANON,0,26,123,2022-03-14,86
6,ANON,0,11,57,2022-03-15,40
4,ANON,0,7,30,2022-03-16,19
10,ANON,0,20,81,2022-03-18,51
12,ANON,0,6,52,2022-03-19,34
22,ANON,0,47,171,2022-03-20,102
43,ANON,0,0,123,2022-03-21,80
65,ANON,0,2,213,2022-03-22,146
29,ANON,0,3,133,2022-03-23,101
36,ANON,0,0,119,2022-03-24,83
62,ANON,0,11,223,2022-03-25,150
21,ANON,0,5,91,2022-03-26,65
39,ANON,0,65,233,2022-03-27,129
52,ANON,0,48,212,2022-03-28,112
