anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
1,ANON,0,1,20,2022-12-09,18
1,COMT,0,0,6,2022-11-27,5
0,GRP,0,0,24,2022-11-27,24
0,GRP,0,0,17,2022-11-28,17
0,GRP,0,0,37,2022-11-29,37
0,GRP,0,0,14,2022-12-02,14
0,GRP,0,0,2,2022-12-03,2
0,GRP,0,0,5,2022-12-09,5
1,HUMR,0,0,15,2022-12-09,14
0,LGBT,0,0,10,2022-12-09,10
0,MMED,0,0,3,2022-11-27,3
0,MMED,0,0,2,2022-11-28,2
0,MMED,0,0,4,2022-11-29,4
0,MMED,0,1,4,2022-12-02,3
0,MMED,0,0,3,2022-12-03,3
0,MMED,0,0,3,2022-12-09,3
0,NEWS,0,0,1,2022-11-27,1
0,NEWS,0,0,7,2022-12-09,7
0,POLR,0,0,4,2022-12-09,4
