anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,24,24,2022-01-06,0
0,ALDR,0,24,24,2022-01-07,0
0,ALDR,0,9,9,2022-01-08,0
0,ALDR,0,38,38,2022-01-09,0
1,ALDR,0,23,24,2022-01-10,0
0,ALDR,0,3,3,2022-01-11,0
0,ALDR,0,48,48,2022-01-12,0
3,ALDR,0,9,24,2022-01-13,12
6,ALDR,0,0,24,2022-01-14,18
3,ALDR,0,0,11,2022-04-28,8
7,ALDR,0,0,24,2022-04-29,17
3,ALDR,0,1,13,2022-05-01,9
0,ALDR,0,0,25,2022-06-01,25
7,ALDR,0,0,24,2022-09-02,17
14,ALDR,0,2,47,2022-09-23,31
0,ALDR,0,0,24,2022-09-26,24
1,ALDR,0,0,45,2022-09-28,44
0,ALDR,0,0,6,2022-09-29,6
0,ALDR,0,0,37,2022-12-23,37
0,ANON,0,61,61,2022-01-06,0
0,ANON,0,42,42,2022-01-07,0
0,ANON,0,37,37,2022-01-08,0
0,ANON,0,78,78,2022-01-09,0
1,ANON,0,48,59,2022-01-10,10
0,ANON,0,23,23,2022-01-11,0
0,ANON,0,122,132,2022-01-12,10
14,ANON,0,23,61,2022-01-13,24
23,ANON,0,0,61,2022-01-14,38
2,ANON,0,0,7,2022-04-05,5
1,ANON,0,0,5,2022-04-06,4
0,ANON,0,0,2,2022-04-07,2
2,ANON,0,0,8,2022-04-08,6
12,ANON,0,0,28,2022-04-28,16
20,ANON,0,0,57,2022-04-29,37
9,ANON,0,0,37,2022-05-01,28
0,ANON,0,0,27,2022-05-30,27
1,ANON,0,0,67,2022-05-31,66
1,ANON,0,0,11,2022-06-01,10
0,ANON,0,0,32,2022-06-02,32
1,ANON,0,0,29,2022-06-03,28
0,ANON,0,0,47,2022-06-04,47
0,ANON,0,0,13,2022-06-05,13
1,ANON,0,0,7,2022-06-06,6
0,ANON,0,0,29,2022-06-11,29
0,ANON,0,0,21,2022-06-12,21
0,ANON,0,0,45,2022-06-13,45
0,ANON,0,0,5,2022-06-14,5
2,ANON,0,0,68,2022-06-26,66
1,ANON,0,0,99,2022-06-27,98
0,ANON,0,0,6,2022-06-28,6
1,ANON,0,0,33,2022-08-05,32
0,ANON,0,0,37,2022-08-11,37
3,ANON,0,0,33,2022-08-15,30
3,ANON,0,3,40,2022-08-24,34
0,ANON,0,0,25,2022-08-25,25
0,ANON,0,0,2,2022-08-26,2
1,ANON,0,2,33,2022-08-31,30
1,ANON,0,1,35,2022-09-01,33
21,ANON,0,0,66,2022-09-02,45
0,ANON,0,0,8,2022-09-05,8
0,ANON,0,0,24,2022-09-06,24
1,ANON,0,1,10,2022-09-13,8
1,ANON,0,5,59,2022-09-14,53
0,ANON,0,0,5,2022-09-15,5
4,ANON,0,6,88,2022-09-22,78
36,ANON,0,4,112,2022-09-23,72
1,ANON,0,15,59,2022-09-25,43
8,ANON,0,13,361,2022-09-26,340
0,ANON,0,2,93,2022-09-27,91
0,ANON,0,13,121,2022-09-28,108
14,ANON,0,18,388,2022-09-29,356
0,ANON,0,0,5,2022-09-30,5
10,ANON,0,1,35,2022-10-25,24
1,ANON,0,6,78,2022-11-14,71
3,ANON,0,1,33,2022-11-15,29
0,ANON,0,0,1,2022-11-16,1
4,ANON,0,2,36,2022-11-23,30
2,ANON,0,5,128,2022-12-07,121
0,ANON,0,1,16,2022-12-08,15
5,ANON,0,3,78,2022-12-20,70
