anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,15,2022-01-02,15
0,ALDR,0,0,42,2022-01-04,42
0,ALDR,0,0,17,2022-01-05,17
0,ALDR,0,0,2,2022-01-07,2
0,ALDR,0,0,29,2022-01-08,29
0,ALDR,0,0,5,2022-01-09,5
0,ALDR,0,0,35,2022-01-10,35
0,ALDR,0,1,68,2022-01-12,67
0,ALDR,0,0,17,2022-01-13,17
0,ALDR,0,0,10,2022-01-29,10
2,ALDR,0,0,16,2022-01-31,14
2,ALDR,0,0,3,2022-02-10,1
1,ALDR,0,0,5,2022-02-11,4
6,ALDR,0,0,24,2022-02-24,18
0,ALDR,0,0,3,2022-02-27,3
0,ALDR,0,0,14,2022-03-07,14
0,ALDR,0,0,13,2022-03-09,13
1,ALDR,0,0,16,2022-03-13,15
0,ALDR,0,0,4,2022-03-14,4
0,ALDR,0,0,21,2022-03-15,21
0,ALDR,0,0,9,2022-03-21,9
0,ALDR,0,0,24,2022-03-22,24
0,ALDR,0,0,4,2022-03-23,4
0,ALDR,0,0,14,2022-03-25,14
0,ALDR,0,0,3,2022-03-26,3
0,ALDR,0,0,9,2022-03-29,9
0,ALDR,0,0,23,2022-03-30,23
0,ALDR,0,0,5,2022-03-31,5
0,ALDR,0,0,22,2022-04-07,22
0,ALDR,0,0,5,2022-04-08,5
0,ALDR,0,0,27,2022-04-12,27
1,ALDR,0,0,27,2022-04-20,26
0,ALDR,0,0,27,2022-04-22,27
0,ALDR,0,0,29,2022-05-01,29
0,ALDR,0,0,25,2022-05-02,25
20,ALDR,0,0,29,2022-05-09,9
0,ALDR,0,0,3,2022-05-19,3
0,ALDR,0,0,2,2022-06-07,2
2,ALDR,0,0,29,2022-06-08,27
0,ALDR,0,0,7,2022-06-11,7
0,ALDR,0,1,13,2022-07-06,12
1,ALDR,0,0,25,2022-07-07,24
0,ALDR,0,0,1,2022-07-11,1
1,ALDR,0,0,33,2022-07-15,32
0,ALDR,0,0,11,2022-07-16,11
1,ALDR,0,0,34,2022-08-11,33
2,ALDR,0,1,37,2022-09-03,34
1,ALDR,0,0,4,2022-09-04,3
2,ALDR,0,0,34,2022-09-10,32
1,ALDR,0,0,34,2022-09-14,33
1,ALDR,0,0,11,2022-09-15,10
1,ALDR,0,0,26,2022-09-16,25
1,ALDR,0,0,36,2022-09-26,35
0,ALDR,0,0,3,2022-09-29,3
0,ALDR,0,1,39,2022-10-09,38
0,ALDR,0,2,31,2022-10-13,29
0,ALDR,0,0,15,2022-10-14,15
4,ALDR,0,0,39,2022-10-23,35
8,ALDR,0,0,24,2022-11-02,16
0,ALDR,0,0,39,2022-11-21,39
0,ALDR,0,0,39,2022-11-24,39
0,ALDR,0,0,39,2022-12-09,39
0,ALDR,0,0,39,2022-12-12,39
0,ALDR,0,1,29,2022-12-30,28
0,ANON,0,0,15,2022-01-01,15
1,ANON,0,0,75,2022-01-03,74
0,ANON,0,0,16,2022-01-04,16
0,ANON,0,1,24,2022-01-05,23
0,ANON,0,0,8,2022-01-06,8
2,ANON,0,0,124,2022-01-07,122
8,ANON,0,1,178,2022-01-08,169
1,ANON,0,0,78,2022-01-09,77
4,ANON,0,0,143,2022-01-10,139
25,ANON,0,0,164,2022-01-11,139
0,ANON,0,0,48,2022-01-12,48
0,ANON,0,0,26,2022-01-13,26
0,ANON,0,0,15,2022-01-23,15
0,ANON,0,0,15,2022-01-24,15
0,ANON,0,0,41,2022-01-26,41
1,ANON,0,0,18,2022-01-27,17
0,ANON,0,0,15,2022-01-31,15
0,ANON,0,0,15,2022-02-01,15
2,ANON,0,0,3,2022-02-10,1
1,ANON,0,0,4,2022-02-11,3
19,ANON,0,0,54,2022-02-24,35
3,ANON,0,0,33,2022-02-25,30
0,ANON,0,0,6,2022-02-26,6
3,ANON,0,0,69,2022-02-27,66
0,ANON,0,0,39,2022-02-28,39
0,ANON,0,0,1,2022-03-04,1
0,ANON,0,0,2,2022-03-05,2
0,ANON,0,0,1,2022-03-06,1
0,ANON,0,0,57,2022-03-07,57
0,ANON,0,0,31,2022-03-08,31
0,ANON,0,0,2,2022-03-09,2
0,ANON,0,0,51,2022-03-10,51
0,ANON,0,0,42,2022-03-11,42
0,ANON,0,0,2,2022-03-12,2
1,ANON,0,0,2,2022-03-13,1
0,ANON,0,0,1,2022-03-14,1
1,ANON,0,0,70,2022-03-15,69
3,ANON,0,0,74,2022-03-16,71
0,ANON,0,0,2,2022-03-17,2
0,ANON,0,0,17,2022-03-18,17
0,ANON,0,0,21,2022-03-20,21
0,ANON,0,0,3,2022-03-21,3
0,ANON,0,0,15,2022-03-22,15
9,ANON,0,0,56,2022-03-23,47
7,ANON,0,0,65,2022-03-24,58
0,ANON,0,0,11,2022-03-25,11
1,ANON,0,0,89,2022-03-26,88
0,ANON,0,0,13,2022-03-27,13
0,ANON,0,0,35,2022-03-28,35
0,ANON,0,0,3,2022-03-29,3
0,ANON,0,0,1,2022-03-30,1
4,ANON,0,0,39,2022-03-31,35
3,ANON,0,0,55,2022-04-01,52
0,ANON,0,0,2,2022-04-02,2
0,ANON,0,0,47,2022-04-03,47
