Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,99.995466,0.004534
2022-01-03T00:00:00Z,99.983297,0.016703
2022-01-10T00:00:00Z,99.981451,0.018549
2022-01-17T00:00:00Z,99.880411,0.119589
2022-01-24T00:00:00Z,99.982853,0.017147
2022-01-31T00:00:00Z,99.875745,0.124255
2022-02-07T00:00:00Z,99.936164,0.063836
2022-02-14T00:00:00Z,99.990773,0.009227
2022-02-21T00:00:00Z,100.0,0.0
2022-02-28T00:00:00Z,99.975607,0.024393
2022-03-07T00:00:00Z,99.974148,0.025852
2022-03-14T00:00:00Z,99.859501,0.140499
2022-03-21T00:00:00Z,99.994675,0.005325
2022-03-28T00:00:00Z,99.906134,0.093866
2022-04-04T00:00:00Z,99.998254,0.001746
2022-04-11T00:00:00Z,100.0,0.0
2022-04-18T00:00:00Z,99.996314,0.003686
2022-04-25T00:00:00Z,99.997162,0.002838
2022-05-02T00:00:00Z,99.936899,0.063101
2022-05-09T00:00:00Z,99.932295,0.067705
2022-05-16T00:00:00Z,99.9977,0.0023
2022-05-23T00:00:00Z,99.996174,0.003826
2022-05-30T00:00:00Z,99.955247,0.044753
2022-06-06T00:00:00Z,99.949377,0.050623
2022-06-13T00:00:00Z,99.947659,0.052341
2022-06-20T00:00:00Z,99.949903,0.050097
2022-06-27T00:00:00Z,99.926646,0.073354
2022-07-04T00:00:00Z,99.980057,0.019943
2022-07-11T00:00:00Z,99.960173,0.039827
2022-07-18T00:00:00Z,99.901368,0.098632
2022-07-25T00:00:00Z,99.965772,0.034228
2022-08-01T00:00:00Z,99.925391,0.074609
2022-08-08T00:00:00Z,99.962917,0.037083
2022-08-15T00:00:00Z,99.875988,0.124012
2022-08-22T00:00:00Z,99.924386,0.075614
2022-08-29T00:00:00Z,99.958341,0.041659
2022-09-05T00:00:00Z,99.981911,0.018089
2022-09-12T00:00:00Z,99.974651,0.025349
2022-09-19T00:00:00Z,99.94742,0.05258
2022-09-26T00:00:00Z,99.983826,0.016174
2022-10-03T00:00:00Z,99.831286,0.168714
2022-10-10T00:00:00Z,99.940365,0.059635
2022-10-17T00:00:00Z,99.963401,0.036599
2022-10-24T00:00:00Z,99.929678,0.070322
2022-10-31T00:00:00Z,99.852517,0.147483
2022-11-07T00:00:00Z,99.798614,0.201386
2022-11-14T00:00:00Z,99.839045,0.160955
2022-11-21T00:00:00Z,99.670279,0.329721
2022-11-28T00:00:00Z,99.757002,0.242998
2022-12-05T00:00:00Z,99.680566,0.319434
2022-12-12T00:00:00Z,99.703441,0.296559
2022-12-19T00:00:00Z,99.721053,0.278947
2022-12-26T00:00:00Z,98.925425,1.074575
