Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,99.311984,0.688016
2022-01-03T00:00:00Z,99.722906,0.277094
2022-01-10T00:00:00Z,99.949047,0.050953
2022-01-17T00:00:00Z,98.716356,1.283644
2022-01-24T00:00:00Z,99.818879,0.181121
2022-01-31T00:00:00Z,99.752715,0.247285
2022-02-07T00:00:00Z,99.678206,0.321794
2022-02-14T00:00:00Z,99.957605,0.042395
2022-02-21T00:00:00Z,99.96,0.04
2022-02-28T00:00:00Z,98.890983,1.109017
2022-03-07T00:00:00Z,99.719827,0.280173
2022-03-14T00:00:00Z,99.224511,0.775489
2022-03-21T00:00:00Z,99.973159,0.026841
2022-03-28T00:00:00Z,99.162238,0.837762
2022-04-04T00:00:00Z,99.967815,0.032185
2022-04-11T00:00:00Z,99.968056,0.031944
2022-04-18T00:00:00Z,99.970285,0.029715
2022-04-25T00:00:00Z,99.718919,0.281081
2022-05-02T00:00:00Z,99.822647,0.177353
2022-05-09T00:00:00Z,99.867951,0.132049
2022-05-16T00:00:00Z,99.477912,0.522088
2022-05-23T00:00:00Z,99.992867,0.007133
2022-05-30T00:00:00Z,98.774654,1.225346
2022-06-06T00:00:00Z,99.947628,0.052372
2022-06-13T00:00:00Z,99.921407,0.078593
2022-06-20T00:00:00Z,99.666444,0.333556
2022-06-27T00:00:00Z,99.869862,0.130138
2022-07-04T00:00:00Z,99.828767,0.171233
2022-07-11T00:00:00Z,99.036968,0.963032
2022-07-18T00:00:00Z,99.737639,0.262361
2022-07-25T00:00:00Z,99.599218,0.400782
2022-08-01T00:00:00Z,99.913836,0.086164
2022-08-08T00:00:00Z,99.644716,0.355284
2022-08-15T00:00:00Z,99.17442,0.82558
2022-08-22T00:00:00Z,99.935567,0.064433
2022-08-29T00:00:00Z,99.577986,0.422014
2022-09-05T00:00:00Z,99.857721,0.142279
2022-09-12T00:00:00Z,98.525003,1.474997
2022-09-19T00:00:00Z,99.225923,0.774077
2022-09-26T00:00:00Z,99.378946,0.621054
2022-10-03T00:00:00Z,99.215173,0.784827
2022-10-10T00:00:00Z,99.461937,0.538063
2022-10-17T00:00:00Z,99.90838,0.09162
2022-10-24T00:00:00Z,99.39837,0.60163
2022-10-31T00:00:00Z,98.776699,1.223301
2022-11-07T00:00:00Z,99.054743,0.945257
2022-11-14T00:00:00Z,98.930261,1.069739
2022-11-21T00:00:00Z,99.887882,0.112118
2022-11-28T00:00:00Z,100.0,0.0
2022-12-05T00:00:00Z,99.414987,0.585013
2022-12-12T00:00:00Z,98.487081,1.512919
2022-12-19T00:00:00Z,99.868378,0.131622
2022-12-26T00:00:00Z,99.014039,0.985961
