Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,80.608473,19.391527
2022-01-03T00:00:00Z,82.28476,17.71524
2022-01-10T00:00:00Z,77.882926,22.117074
2022-01-17T00:00:00Z,78.412698,21.587302
2022-01-24T00:00:00Z,78.739973,21.260027
2022-01-31T00:00:00Z,77.229813,22.770187
2022-02-07T00:00:00Z,75.080999,24.919001
2022-02-14T00:00:00Z,77.453896,22.546104
2022-02-21T00:00:00Z,72.781679,27.218321
2022-02-28T00:00:00Z,78.171272,21.828728
2022-03-07T00:00:00Z,74.971287,25.028713
2022-03-14T00:00:00Z,81.10008,18.89992
2022-03-21T00:00:00Z,78.931983,21.068017
2022-03-28T00:00:00Z,75.953152,24.046848
2022-04-04T00:00:00Z,80.286452,19.713548
2022-04-11T00:00:00Z,81.316254,18.683746
2022-04-18T00:00:00Z,77.41301,22.58699
2022-04-25T00:00:00Z,81.760841,18.239159
2022-05-02T00:00:00Z,70.948469,29.051531
2022-05-09T00:00:00Z,81.184796,18.815204
2022-05-16T00:00:00Z,79.132566,20.867434
2022-05-23T00:00:00Z,73.407148,26.592852
2022-05-30T00:00:00Z,79.788763,20.211237
2022-06-06T00:00:00Z,86.400743,13.599257
2022-06-13T00:00:00Z,74.373505,25.626495
2022-06-20T00:00:00Z,89.32437,10.67563
2022-06-27T00:00:00Z,76.685555,23.314445
2022-07-04T00:00:00Z,80.670275,19.329725
2022-07-11T00:00:00Z,78.423815,21.576185
2022-07-18T00:00:00Z,78.710131,21.289869
2022-07-25T00:00:00Z,78.745042,21.254958
2022-08-01T00:00:00Z,71.097792,28.902208
2022-08-08T00:00:00Z,75.586161,24.413839
2022-08-15T00:00:00Z,74.701265,25.298735
2022-08-22T00:00:00Z,71.127447,28.872553
2022-08-29T00:00:00Z,75.645547,24.354453
2022-09-05T00:00:00Z,74.407998,25.592002
2022-09-12T00:00:00Z,78.205698,21.794302
2022-09-19T00:00:00Z,54.838093,45.161907
2022-09-26T00:00:00Z,86.596242,13.403758
2022-10-03T00:00:00Z,58.951455,41.048545
2022-10-10T00:00:00Z,65.644696,34.355304
2022-10-17T00:00:00Z,78.011533,21.988467
2022-10-24T00:00:00Z,77.649509,22.350491
2022-10-31T00:00:00Z,78.116431,21.883569
2022-11-07T00:00:00Z,81.69159,18.30841
2022-11-14T00:00:00Z,73.802266,26.197734
2022-11-21T00:00:00Z,80.812063,19.187937
2022-11-28T00:00:00Z,79.857605,20.142395
2022-12-05T00:00:00Z,84.453407,15.546593
2022-12-12T00:00:00Z,85.490184,14.509816
2022-12-19T00:00:00Z,71.936968,28.063032
2022-12-26T00:00:00Z,79.050075,20.949925
