Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,98.162743,1.837257
2022-01-03T00:00:00Z,98.128108,1.871892
2022-01-10T00:00:00Z,98.221442,1.778558
2022-01-17T00:00:00Z,98.205182,1.794818
2022-01-24T00:00:00Z,98.282559,1.717441
2022-01-31T00:00:00Z,98.287929,1.712071
2022-02-07T00:00:00Z,98.296063,1.703937
2022-02-14T00:00:00Z,98.252673,1.747327
2022-02-21T00:00:00Z,97.724254,2.275746
2022-02-28T00:00:00Z,97.113874,2.886126
2022-03-07T00:00:00Z,96.841903,3.158097
2022-03-14T00:00:00Z,96.801869,3.198131
2022-03-21T00:00:00Z,96.475031,3.524969
2022-03-28T00:00:00Z,96.574349,3.425651
2022-04-04T00:00:00Z,96.52027,3.47973
2022-04-11T00:00:00Z,96.634738,3.365262
2022-04-18T00:00:00Z,96.328578,3.671422
2022-04-25T00:00:00Z,96.630573,3.369427
2022-05-02T00:00:00Z,96.539055,3.460945
2022-05-09T00:00:00Z,96.312692,3.687308
2022-05-16T00:00:00Z,96.191389,3.808611
2022-05-23T00:00:00Z,95.82194,4.17806
2022-05-30T00:00:00Z,95.211415,4.788585
2022-06-06T00:00:00Z,95.544313,4.455687
2022-06-13T00:00:00Z,95.855909,4.144091
2022-06-20T00:00:00Z,95.464714,4.535286
2022-06-27T00:00:00Z,96.167856,3.832144
2022-07-04T00:00:00Z,96.221473,3.778527
2022-07-11T00:00:00Z,96.178886,3.821114
2022-07-18T00:00:00Z,96.025715,3.974285
2022-07-25T00:00:00Z,96.06679,3.93321
2022-08-01T00:00:00Z,96.062014,3.937986
2022-08-08T00:00:00Z,95.874412,4.125588
2022-08-15T00:00:00Z,96.435297,3.564703
2022-08-22T00:00:00Z,96.155733,3.844267
2022-08-29T00:00:00Z,95.657167,4.342833
2022-09-05T00:00:00Z,95.837581,4.162419
2022-09-12T00:00:00Z,95.9423,4.0577
2022-09-19T00:00:00Z,96.021073,3.978927
2022-09-26T00:00:00Z,96.00777,3.99223
2022-10-03T00:00:00Z,96.085476,3.914524
2022-10-10T00:00:00Z,96.285224,3.714776
2022-10-17T00:00:00Z,95.851363,4.148637
2022-10-24T00:00:00Z,96.014051,3.985949
2022-10-31T00:00:00Z,95.848152,4.151848
2022-11-07T00:00:00Z,95.863371,4.136629
2022-11-14T00:00:00Z,95.787982,4.212018
2022-11-21T00:00:00Z,95.800939,4.199061
2022-11-28T00:00:00Z,95.919714,4.080286
2022-12-05T00:00:00Z,95.991656,4.008344
2022-12-12T00:00:00Z,95.471777,4.528223
2022-12-19T00:00:00Z,95.987841,4.012159
2022-12-26T00:00:00Z,95.593838,4.406162
