Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,99.970309,0.029691
2022-01-03T00:00:00Z,99.98812,0.01188
2022-01-10T00:00:00Z,99.95202,0.04798
2022-01-17T00:00:00Z,99.95474,0.04526
2022-01-24T00:00:00Z,99.96485,0.03515
2022-01-31T00:00:00Z,99.96936,0.03064
2022-02-07T00:00:00Z,99.958706,0.041294
2022-02-14T00:00:00Z,99.90232,0.09768
2022-02-21T00:00:00Z,99.918126,0.081874
2022-02-28T00:00:00Z,99.980894,0.019106
2022-03-07T00:00:00Z,99.802201,0.197799
2022-03-14T00:00:00Z,99.95892,0.04108
2022-03-21T00:00:00Z,99.06956,0.93044
2022-03-28T00:00:00Z,99.962618,0.037382
2022-04-04T00:00:00Z,99.955899,0.044101
2022-04-11T00:00:00Z,99.957772,0.042228
2022-04-18T00:00:00Z,99.908637,0.091363
2022-04-25T00:00:00Z,99.966835,0.033165
2022-05-02T00:00:00Z,99.94736,0.05264
2022-05-09T00:00:00Z,99.910019,0.089981
2022-05-16T00:00:00Z,99.947646,0.052354
2022-05-23T00:00:00Z,99.891218,0.108782
2022-05-30T00:00:00Z,99.921823,0.078177
2022-06-06T00:00:00Z,99.939102,0.060898
2022-06-13T00:00:00Z,99.954678,0.045322
2022-06-20T00:00:00Z,99.935588,0.064412
2022-06-27T00:00:00Z,99.975177,0.024823
2022-07-04T00:00:00Z,99.815393,0.184607
2022-07-11T00:00:00Z,99.935887,0.064113
2022-07-18T00:00:00Z,99.916621,0.083379
2022-07-25T00:00:00Z,99.968824,0.031176
2022-08-01T00:00:00Z,99.935393,0.064607
2022-08-08T00:00:00Z,99.947151,0.052849
2022-08-15T00:00:00Z,99.909337,0.090663
2022-08-22T00:00:00Z,99.731541,0.268459
2022-08-29T00:00:00Z,99.948364,0.051636
2022-09-05T00:00:00Z,99.892144,0.107856
2022-09-12T00:00:00Z,99.916986,0.083014
2022-09-19T00:00:00Z,99.930871,0.069129
2022-09-26T00:00:00Z,99.854566,0.145434
2022-10-03T00:00:00Z,99.793085,0.206915
2022-10-10T00:00:00Z,99.939198,0.060802
2022-10-17T00:00:00Z,99.951985,0.048015
2022-10-24T00:00:00Z,99.949323,0.050677
2022-10-31T00:00:00Z,99.762921,0.237079
2022-11-07T00:00:00Z,99.916842,0.083158
2022-11-14T00:00:00Z,99.927864,0.072136
2022-11-21T00:00:00Z,99.813988,0.186012
2022-11-28T00:00:00Z,99.832515,0.167485
2022-12-05T00:00:00Z,99.827822,0.172178
2022-12-12T00:00:00Z,99.849034,0.150966
2022-12-19T00:00:00Z,99.916399,0.083601
2022-12-26T00:00:00Z,99.92105,0.07895
