Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,90.852757,9.147243
2022-01-03T00:00:00Z,91.410442,8.589558
2022-01-10T00:00:00Z,91.258687,8.741313
2022-01-17T00:00:00Z,90.462394,9.537606
2022-01-24T00:00:00Z,92.078393,7.921607
2022-01-31T00:00:00Z,91.147671,8.852329
2022-02-07T00:00:00Z,90.230363,9.769637
2022-02-14T00:00:00Z,91.357224,8.642776
2022-02-21T00:00:00Z,90.312148,9.687852
2022-02-28T00:00:00Z,90.840724,9.159276
2022-03-07T00:00:00Z,92.187285,7.812715
2022-03-14T00:00:00Z,91.876906,8.123094
2022-03-21T00:00:00Z,91.188808,8.811192
2022-03-28T00:00:00Z,90.921273,9.078727
2022-04-04T00:00:00Z,93.201701,6.798299
2022-04-11T00:00:00Z,91.428443,8.571557
2022-04-18T00:00:00Z,91.949094,8.050906
2022-04-25T00:00:00Z,92.459118,7.540882
2022-05-02T00:00:00Z,91.449895,8.550105
2022-05-09T00:00:00Z,91.099587,8.900413
2022-05-16T00:00:00Z,91.157823,8.842177
2022-05-23T00:00:00Z,90.568561,9.431439
2022-05-30T00:00:00Z,88.135593,11.864407
2022-06-06T00:00:00Z,92.93072,7.06928
2022-06-13T00:00:00Z,89.444565,10.555435
2022-06-20T00:00:00Z,91.357056,8.642944
2022-06-27T00:00:00Z,89.253785,10.746215
2022-07-04T00:00:00Z,89.576083,10.423917
2022-07-11T00:00:00Z,87.468604,12.531396
2022-07-18T00:00:00Z,90.630307,9.369693
2022-07-25T00:00:00Z,89.920421,10.079579
2022-08-01T00:00:00Z,89.581569,10.418431
2022-08-08T00:00:00Z,90.122118,9.877882
2022-08-15T00:00:00Z,82.953247,17.046753
2022-08-22T00:00:00Z,89.036987,10.963013
2022-08-29T00:00:00Z,89.155664,10.844336
2022-09-05T00:00:00Z,90.166658,9.833342
2022-09-12T00:00:00Z,90.208389,9.791611
2022-09-19T00:00:00Z,90.001161,9.998839
2022-09-26T00:00:00Z,91.228127,8.771873
2022-10-03T00:00:00Z,90.778581,9.221419
2022-10-10T00:00:00Z,88.839208,11.160792
2022-10-17T00:00:00Z,84.120482,15.879518
2022-10-24T00:00:00Z,91.384679,8.615321
2022-10-31T00:00:00Z,91.144923,8.855077
2022-11-07T00:00:00Z,91.401265,8.598735
2022-11-14T00:00:00Z,90.905115,9.094885
2022-11-21T00:00:00Z,89.5786,10.4214
2022-11-28T00:00:00Z,89.3685,10.6315
2022-12-05T00:00:00Z,90.238021,9.761979
2022-12-12T00:00:00Z,87.902986,12.097014
2022-12-19T00:00:00Z,88.182909,11.817091
2022-12-26T00:00:00Z,89.452986,10.547014
