Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,75.345005,24.654995
2022-01-03T00:00:00Z,75.980262,24.019738
2022-01-10T00:00:00Z,76.655038,23.344962
2022-01-17T00:00:00Z,77.522139,22.477861
2022-01-24T00:00:00Z,78.552636,21.447364
2022-01-31T00:00:00Z,79.402908,20.597092
2022-02-07T00:00:00Z,78.353685,21.646315
2022-02-14T00:00:00Z,78.261048,21.738952
2022-02-21T00:00:00Z,78.545259,21.454741
2022-02-28T00:00:00Z,79.509763,20.490237
2022-03-07T00:00:00Z,79.719971,20.280029
2022-03-14T00:00:00Z,80.261587,19.738413
2022-03-21T00:00:00Z,80.389068,19.610932
2022-03-28T00:00:00Z,79.684347,20.315653
2022-04-04T00:00:00Z,80.952772,19.047228
2022-04-11T00:00:00Z,80.180412,19.819588
2022-04-18T00:00:00Z,79.981398,20.018602
2022-04-25T00:00:00Z,80.955899,19.044101
2022-05-02T00:00:00Z,81.026907,18.973093
2022-05-09T00:00:00Z,81.242119,18.757881
2022-05-16T00:00:00Z,80.490194,19.509806
2022-05-23T00:00:00Z,82.149933,17.850067
2022-05-30T00:00:00Z,81.425542,18.574458
2022-06-06T00:00:00Z,79.469098,20.530902
2022-06-13T00:00:00Z,80.105019,19.894981
2022-06-20T00:00:00Z,79.795756,20.204244
2022-06-27T00:00:00Z,80.020504,19.979496
2022-07-04T00:00:00Z,80.021364,19.978636
2022-07-11T00:00:00Z,80.118399,19.881601
2022-07-18T00:00:00Z,79.520504,20.479496
2022-07-25T00:00:00Z,79.058112,20.941888
2022-08-01T00:00:00Z,79.240486,20.759514
2022-08-08T00:00:00Z,80.410652,19.589348
2022-08-15T00:00:00Z,80.435205,19.564795
2022-08-22T00:00:00Z,78.634259,21.365741
2022-08-29T00:00:00Z,79.832577,20.167423
2022-09-05T00:00:00Z,80.102548,19.897452
2022-09-12T00:00:00Z,80.507976,19.492024
2022-09-19T00:00:00Z,81.400763,18.599237
2022-09-26T00:00:00Z,79.990379,20.009621
2022-10-03T00:00:00Z,80.516156,19.483844
2022-10-10T00:00:00Z,80.996524,19.003476
2022-10-17T00:00:00Z,81.337567,18.662433
2022-10-24T00:00:00Z,80.927718,19.072282
2022-10-31T00:00:00Z,80.181135,19.818865
2022-11-07T00:00:00Z,80.277978,19.722022
2022-11-14T00:00:00Z,81.102977,18.897023
2022-11-21T00:00:00Z,80.217988,19.782012
2022-11-28T00:00:00Z,80.353527,19.646473
2022-12-05T00:00:00Z,80.649907,19.350093
2022-12-12T00:00:00Z,79.750546,20.249454
2022-12-19T00:00:00Z,80.007149,19.992851
2022-12-26T00:00:00Z,78.638006,21.361994
