Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,99.718488,0.281512
2022-01-03T00:00:00Z,99.820371,0.179629
2022-01-10T00:00:00Z,99.597088,0.402912
2022-01-17T00:00:00Z,99.914208,0.085792
2022-01-24T00:00:00Z,99.95331,0.04669
2022-01-31T00:00:00Z,99.362936,0.637064
2022-02-07T00:00:00Z,99.482954,0.517046
2022-02-14T00:00:00Z,99.523004,0.476996
2022-02-21T00:00:00Z,99.681243,0.318757
2022-02-28T00:00:00Z,99.973295,0.026705
2022-03-07T00:00:00Z,99.242152,0.757848
2022-03-14T00:00:00Z,99.910644,0.089356
2022-03-21T00:00:00Z,100.0,0.0
2022-03-28T00:00:00Z,99.512539,0.487461
2022-04-04T00:00:00Z,99.971438,0.028562
2022-04-11T00:00:00Z,99.957847,0.042153
2022-04-18T00:00:00Z,99.903608,0.096392
2022-04-25T00:00:00Z,99.977877,0.022123
2022-05-02T00:00:00Z,99.95138,0.04862
2022-05-09T00:00:00Z,99.605523,0.394477
2022-05-16T00:00:00Z,99.412346,0.587654
2022-05-23T00:00:00Z,99.614014,0.385986
2022-05-30T00:00:00Z,99.916575,0.083425
2022-06-06T00:00:00Z,99.110167,0.889833
2022-06-13T00:00:00Z,99.619399,0.380601
2022-06-20T00:00:00Z,99.858964,0.141036
2022-06-27T00:00:00Z,99.772958,0.227042
2022-07-04T00:00:00Z,99.963656,0.036344
2022-07-11T00:00:00Z,99.957268,0.042732
2022-07-18T00:00:00Z,99.732001,0.267999
2022-07-25T00:00:00Z,99.828384,0.171616
2022-08-01T00:00:00Z,99.437359,0.562641
2022-08-08T00:00:00Z,99.815536,0.184464
2022-08-15T00:00:00Z,99.878953,0.121047
2022-08-22T00:00:00Z,99.836274,0.163726
2022-08-29T00:00:00Z,99.616355,0.383645
2022-09-05T00:00:00Z,99.942142,0.057858
2022-09-12T00:00:00Z,99.484778,0.515222
2022-09-19T00:00:00Z,99.867529,0.132471
2022-09-26T00:00:00Z,99.938752,0.061248
2022-10-03T00:00:00Z,99.010898,0.989102
2022-10-10T00:00:00Z,99.451254,0.548746
2022-10-17T00:00:00Z,99.132878,0.867122
2022-10-24T00:00:00Z,99.941272,0.058728
2022-10-31T00:00:00Z,99.507001,0.492999
2022-11-07T00:00:00Z,99.413898,0.586102
2022-11-14T00:00:00Z,99.529579,0.470421
2022-11-21T00:00:00Z,99.887514,0.112486
2022-11-28T00:00:00Z,99.892106,0.107894
2022-12-05T00:00:00Z,99.947538,0.052462
2022-12-12T00:00:00Z,99.877985,0.122015
2022-12-19T00:00:00Z,96.577127,3.422873
2022-12-26T00:00:00Z,99.836347,0.163653
