Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,97.187285,2.812715
2022-01-03T00:00:00Z,97.079411,2.920589
2022-01-10T00:00:00Z,97.069472,2.930528
2022-01-17T00:00:00Z,97.013514,2.986486
2022-01-24T00:00:00Z,97.067709,2.932291
2022-01-31T00:00:00Z,97.063765,2.936235
2022-02-07T00:00:00Z,97.105175,2.894825
2022-02-14T00:00:00Z,97.183016,2.816984
2022-02-21T00:00:00Z,97.046902,2.953098
2022-02-28T00:00:00Z,97.168407,2.831593
2022-03-07T00:00:00Z,96.980986,3.019014
2022-03-14T00:00:00Z,96.940147,3.059853
2022-03-21T00:00:00Z,96.84223,3.15777
2022-03-28T00:00:00Z,97.09181,2.90819
2022-04-04T00:00:00Z,97.101032,2.898968
2022-04-11T00:00:00Z,96.978927,3.021073
2022-04-18T00:00:00Z,96.84553,3.15447
2022-04-25T00:00:00Z,96.969616,3.030384
2022-05-02T00:00:00Z,96.939072,3.060928
2022-05-09T00:00:00Z,96.937254,3.062746
2022-05-16T00:00:00Z,96.862816,3.137184
2022-05-23T00:00:00Z,96.848245,3.151755
2022-05-30T00:00:00Z,96.846994,3.153006
2022-06-06T00:00:00Z,96.843897,3.156103
2022-06-13T00:00:00Z,96.862461,3.137539
2022-06-20T00:00:00Z,96.840255,3.159745
2022-06-27T00:00:00Z,96.877816,3.122184
2022-07-04T00:00:00Z,96.837685,3.162315
2022-07-11T00:00:00Z,96.832037,3.167963
2022-07-18T00:00:00Z,97.004335,2.995665
2022-07-25T00:00:00Z,97.020934,2.979066
2022-08-01T00:00:00Z,97.115372,2.884628
2022-08-08T00:00:00Z,97.137759,2.862241
2022-08-15T00:00:00Z,96.852562,3.147438
2022-08-22T00:00:00Z,96.703292,3.296708
2022-08-29T00:00:00Z,96.518531,3.481469
2022-09-05T00:00:00Z,96.794492,3.205508
2022-09-12T00:00:00Z,96.540363,3.459637
2022-09-19T00:00:00Z,97.031275,2.968725
2022-09-26T00:00:00Z,97.070186,2.929814
2022-10-03T00:00:00Z,96.699219,3.300781
2022-10-10T00:00:00Z,96.898479,3.101521
2022-10-17T00:00:00Z,97.002851,2.997149
2022-10-24T00:00:00Z,97.000099,2.999901
2022-10-31T00:00:00Z,96.750351,3.249649
2022-11-07T00:00:00Z,96.717113,3.282887
2022-11-14T00:00:00Z,96.805968,3.194032
2022-11-21T00:00:00Z,96.903207,3.096793
2022-11-28T00:00:00Z,97.035337,2.964663
2022-12-05T00:00:00Z,96.810206,3.189794
2022-12-12T00:00:00Z,96.719863,3.280137
2022-12-19T00:00:00Z,96.689366,3.310634
2022-12-26T00:00:00Z,96.68524,3.31476
