Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,99.496156,0.503844
2022-01-03T00:00:00Z,99.9148,0.0852
2022-01-10T00:00:00Z,99.865782,0.134218
2022-01-17T00:00:00Z,99.761579,0.238421
2022-01-24T00:00:00Z,99.631341,0.368659
2022-01-31T00:00:00Z,99.540769,0.459231
2022-02-07T00:00:00Z,99.845512,0.154488
2022-02-14T00:00:00Z,99.553482,0.446518
2022-02-21T00:00:00Z,99.142946,0.857054
2022-02-28T00:00:00Z,99.626079,0.373921
2022-03-07T00:00:00Z,99.652718,0.347282
2022-03-14T00:00:00Z,98.873182,1.126818
2022-03-21T00:00:00Z,99.589143,0.410857
2022-03-28T00:00:00Z,99.493675,0.506325
2022-04-04T00:00:00Z,99.041831,0.958169
2022-04-11T00:00:00Z,99.72361,0.27639
2022-04-18T00:00:00Z,99.302353,0.697647
2022-04-25T00:00:00Z,98.999984,1.000016
2022-05-02T00:00:00Z,98.730787,1.269213
2022-05-09T00:00:00Z,98.574704,1.425296
2022-05-16T00:00:00Z,99.150669,0.849331
2022-05-23T00:00:00Z,98.114343,1.885657
2022-05-30T00:00:00Z,98.864402,1.135598
2022-06-06T00:00:00Z,99.161274,0.838726
2022-06-13T00:00:00Z,99.241767,0.758233
2022-06-20T00:00:00Z,99.141126,0.858874
2022-06-27T00:00:00Z,98.889254,1.110746
2022-07-04T00:00:00Z,99.609834,0.390166
2022-07-11T00:00:00Z,99.478231,0.521769
2022-07-18T00:00:00Z,99.707713,0.292287
2022-07-25T00:00:00Z,99.837508,0.162492
2022-08-01T00:00:00Z,99.37724,0.62276
2022-08-08T00:00:00Z,99.416905,0.583095
2022-08-15T00:00:00Z,99.593132,0.406868
2022-08-22T00:00:00Z,99.726201,0.273799
2022-08-29T00:00:00Z,99.735717,0.264283
2022-09-05T00:00:00Z,99.401373,0.598627
2022-09-12T00:00:00Z,99.350376,0.649624
2022-09-19T00:00:00Z,99.338455,0.661545
2022-09-26T00:00:00Z,98.889914,1.110086
2022-10-03T00:00:00Z,99.63549,0.36451
2022-10-10T00:00:00Z,99.261953,0.738047
2022-10-17T00:00:00Z,99.372835,0.627165
2022-10-24T00:00:00Z,99.326457,0.673543
2022-10-31T00:00:00Z,99.12269,0.87731
2022-11-07T00:00:00Z,98.996681,1.003319
2022-11-14T00:00:00Z,98.830874,1.169126
2022-11-21T00:00:00Z,99.103709,0.896291
2022-11-28T00:00:00Z,99.365847,0.634153
2022-12-05T00:00:00Z,99.562996,0.437004
2022-12-12T00:00:00Z,99.584254,0.415746
2022-12-19T00:00:00Z,99.732924,0.267076
2022-12-26T00:00:00Z,99.585748,0.414252
