Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,80.088828,19.911172
2022-01-03T00:00:00Z,81.579383,18.420617
2022-01-10T00:00:00Z,81.15733,18.84267
2022-01-17T00:00:00Z,79.739892,20.260108
2022-01-24T00:00:00Z,82.757212,17.242788
2022-01-31T00:00:00Z,82.150195,17.849805
2022-02-07T00:00:00Z,82.711226,17.288774
2022-02-14T00:00:00Z,81.408141,18.591859
2022-02-21T00:00:00Z,81.321738,18.678262
2022-02-28T00:00:00Z,82.864596,17.135404
2022-03-07T00:00:00Z,82.281783,17.718217
2022-03-14T00:00:00Z,87.429484,12.570516
2022-03-21T00:00:00Z,79.580191,20.419809
2022-03-28T00:00:00Z,78.058621,21.941379
2022-04-04T00:00:00Z,78.182025,21.817975
2022-04-11T00:00:00Z,78.567836,21.432164
2022-04-18T00:00:00Z,84.334871,15.665129
2022-04-25T00:00:00Z,90.36859,9.63141
2022-05-02T00:00:00Z,88.663379,11.336621
2022-05-09T00:00:00Z,83.717066,16.282934
2022-05-16T00:00:00Z,78.467024,21.532976
2022-05-23T00:00:00Z,79.94026,20.05974
2022-05-30T00:00:00Z,79.846684,20.153316
2022-06-06T00:00:00Z,72.838067,27.161933
2022-06-13T00:00:00Z,76.852655,23.147345
2022-06-20T00:00:00Z,79.761821,20.238179
2022-06-27T00:00:00Z,78.898033,21.101967
2022-07-04T00:00:00Z,82.148804,17.851196
2022-07-11T00:00:00Z,79.31014,20.68986
2022-07-18T00:00:00Z,83.425872,16.574128
2022-07-25T00:00:00Z,77.272699,22.727301
2022-08-01T00:00:00Z,86.592271,13.407729
2022-08-08T00:00:00Z,82.24006,17.75994
2022-08-15T00:00:00Z,82.50487,17.49513
2022-08-22T00:00:00Z,77.760781,22.239219
2022-08-29T00:00:00Z,80.550379,19.449621
2022-09-05T00:00:00Z,81.053368,18.946632
2022-09-12T00:00:00Z,81.881044,18.118956
2022-09-19T00:00:00Z,84.497526,15.502474
2022-09-26T00:00:00Z,84.249747,15.750253
2022-10-03T00:00:00Z,86.88662,13.11338
2022-10-10T00:00:00Z,83.620434,16.379566
2022-10-17T00:00:00Z,79.354455,20.645545
2022-10-24T00:00:00Z,81.136909,18.863091
2022-10-31T00:00:00Z,83.951059,16.048941
2022-11-07T00:00:00Z,83.915149,16.084851
2022-11-14T00:00:00Z,83.779752,16.220248
2022-11-21T00:00:00Z,81.68145,18.31855
2022-11-28T00:00:00Z,82.426053,17.573947
2022-12-05T00:00:00Z,80.669145,19.330855
2022-12-12T00:00:00Z,81.503477,18.496523
2022-12-19T00:00:00Z,83.455243,16.544757
2022-12-26T00:00:00Z,81.542959,18.457041
