Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,68.000743,31.999257
2022-01-03T00:00:00Z,67.654196,32.345804
2022-01-10T00:00:00Z,65.609981,34.390019
2022-01-17T00:00:00Z,70.30919,29.69081
2022-01-24T00:00:00Z,64.946656,35.053344
2022-01-31T00:00:00Z,65.48238,34.51762
2022-02-07T00:00:00Z,68.611379,31.388621
2022-02-14T00:00:00Z,67.875611,32.124389
2022-02-21T00:00:00Z,68.665437,31.334563
2022-02-28T00:00:00Z,68.189482,31.810518
2022-03-07T00:00:00Z,71.681979,28.318021
2022-03-14T00:00:00Z,66.388731,33.611269
2022-03-21T00:00:00Z,72.321349,27.678651
2022-03-28T00:00:00Z,70.55708,29.44292
2022-04-04T00:00:00Z,76.339762,23.660238
2022-04-11T00:00:00Z,80.886832,19.113168
2022-04-18T00:00:00Z,77.63517,22.36483
2022-04-25T00:00:00Z,78.466666,21.533334
2022-05-02T00:00:00Z,81.167934,18.832066
2022-05-09T00:00:00Z,80.679698,19.320302
2022-05-16T00:00:00Z,77.802894,22.197106
2022-05-23T00:00:00Z,76.148626,23.851374
2022-05-30T00:00:00Z,74.027607,25.972393
2022-06-06T00:00:00Z,79.036301,20.963699
2022-06-13T00:00:00Z,78.926163,21.073837
2022-06-20T00:00:00Z,76.129512,23.870488
2022-06-27T00:00:00Z,78.007156,21.992844
2022-07-04T00:00:00Z,79.740285,20.259715
2022-07-11T00:00:00Z,82.088824,17.911176
2022-07-18T00:00:00Z,82.102803,17.897197
2022-07-25T00:00:00Z,80.849114,19.150886
2022-08-01T00:00:00Z,79.379164,20.620836
2022-08-08T00:00:00Z,86.774674,13.225326
2022-08-15T00:00:00Z,81.781985,18.218015
2022-08-22T00:00:00Z,81.525197,18.474803
2022-08-29T00:00:00Z,78.960274,21.039726
2022-09-05T00:00:00Z,69.691224,30.308776
2022-09-12T00:00:00Z,71.164297,28.835703
2022-09-19T00:00:00Z,74.963955,25.036045
2022-09-26T00:00:00Z,70.035493,29.964507
2022-10-03T00:00:00Z,74.928607,25.071393
2022-10-10T00:00:00Z,77.410977,22.589023
2022-10-17T00:00:00Z,76.115461,23.884539
2022-10-24T00:00:00Z,74.413616,25.586384
2022-10-31T00:00:00Z,76.993248,23.006752
2022-11-07T00:00:00Z,79.100791,20.899209
2022-11-14T00:00:00Z,81.054189,18.945811
2022-11-21T00:00:00Z,76.065548,23.934452
2022-11-28T00:00:00Z,75.875741,24.124259
2022-12-05T00:00:00Z,76.650726,23.349274
2022-12-12T00:00:00Z,77.699361,22.300639
2022-12-19T00:00:00Z,79.140993,20.859007
2022-12-26T00:00:00Z,83.620278,16.379722
