Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,94.882989,5.117011
2022-01-03T00:00:00Z,95.661908,4.338092
2022-01-10T00:00:00Z,95.727702,4.272298
2022-01-17T00:00:00Z,95.437314,4.562686
2022-01-24T00:00:00Z,96.834987,3.165013
2022-01-31T00:00:00Z,97.278551,2.721449
2022-02-07T00:00:00Z,97.108877,2.891123
2022-02-14T00:00:00Z,97.000412,2.999588
2022-02-21T00:00:00Z,96.924167,3.075833
2022-02-28T00:00:00Z,97.750595,2.249405
2022-03-07T00:00:00Z,96.217779,3.782221
2022-03-14T00:00:00Z,92.084497,7.915503
2022-03-21T00:00:00Z,96.698428,3.301572
2022-03-28T00:00:00Z,80.609069,19.390931
2022-04-04T00:00:00Z,74.227534,25.772466
2022-04-11T00:00:00Z,48.997468,51.002532
2022-04-18T00:00:00Z,68.79523,31.20477
2022-04-25T00:00:00Z,73.138596,26.861404
2022-05-02T00:00:00Z,71.044502,28.955498
2022-05-09T00:00:00Z,54.248205,45.751795
2022-05-16T00:00:00Z,60.792753,39.207247
2022-05-23T00:00:00Z,92.076698,7.923302
2022-05-30T00:00:00Z,89.083127,10.916873
2022-06-06T00:00:00Z,82.536721,17.463279
2022-06-13T00:00:00Z,84.414821,15.585179
2022-06-20T00:00:00Z,73.135181,26.864819
2022-06-27T00:00:00Z,75.241923,24.758077
2022-07-04T00:00:00Z,96.844434,3.155566
2022-07-11T00:00:00Z,96.296593,3.703407
2022-07-18T00:00:00Z,91.563469,8.436531
2022-07-25T00:00:00Z,96.392402,3.607598
2022-08-01T00:00:00Z,96.169824,3.830176
2022-08-08T00:00:00Z,85.033663,14.966337
2022-08-15T00:00:00Z,88.871689,11.128311
2022-08-22T00:00:00Z,87.262276,12.737724
2022-08-29T00:00:00Z,97.235178,2.764822
2022-09-05T00:00:00Z,81.041658,18.958342
2022-09-12T00:00:00Z,75.910766,24.089234
2022-09-19T00:00:00Z,45.141491,54.858509
2022-09-26T00:00:00Z,40.498847,59.501153
2022-10-03T00:00:00Z,42.833558,57.166442
2022-10-10T00:00:00Z,71.837221,28.162779
2022-10-17T00:00:00Z,83.276916,16.723084
2022-10-24T00:00:00Z,81.772988,18.227012
2022-10-31T00:00:00Z,88.362018,11.637982
2022-11-07T00:00:00Z,97.279613,2.720387
2022-11-14T00:00:00Z,97.679793,2.320207
2022-11-21T00:00:00Z,97.946852,2.053148
2022-11-28T00:00:00Z,98.477866,1.522134
2022-12-05T00:00:00Z,98.099721,1.900279
2022-12-12T00:00:00Z,99.007376,0.992624
2022-12-19T00:00:00Z,98.600382,1.399618
2022-12-26T00:00:00Z,98.504638,1.495362
