Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,99.928545,0.071455
2022-01-03T00:00:00Z,99.933066,0.066934
2022-01-10T00:00:00Z,99.951825,0.048175
2022-01-17T00:00:00Z,99.98515,0.01485
2022-01-24T00:00:00Z,99.913447,0.086553
2022-01-31T00:00:00Z,99.890582,0.109418
2022-02-07T00:00:00Z,99.95244,0.04756
2022-02-14T00:00:00Z,99.984686,0.015314
2022-02-21T00:00:00Z,99.927835,0.072165
2022-02-28T00:00:00Z,99.977478,0.022522
2022-03-07T00:00:00Z,99.97337,0.02663
2022-03-14T00:00:00Z,99.920113,0.079887
2022-03-21T00:00:00Z,99.968729,0.031271
2022-03-28T00:00:00Z,99.945513,0.054487
2022-04-04T00:00:00Z,99.952579,0.047421
2022-04-11T00:00:00Z,99.951248,0.048752
2022-04-18T00:00:00Z,99.930951,0.069049
2022-04-25T00:00:00Z,99.932901,0.067099
2022-05-02T00:00:00Z,99.943617,0.056383
2022-05-09T00:00:00Z,99.848006,0.151994
2022-05-16T00:00:00Z,99.975096,0.024904
2022-05-23T00:00:00Z,99.95422,0.04578
2022-05-30T00:00:00Z,99.852546,0.147454
2022-06-06T00:00:00Z,99.950048,0.049952
2022-06-13T00:00:00Z,99.918192,0.081808
2022-06-20T00:00:00Z,99.960472,0.039528
2022-06-27T00:00:00Z,99.883127,0.116873
2022-07-04T00:00:00Z,99.788426,0.211574
2022-07-11T00:00:00Z,99.792926,0.207074
2022-07-18T00:00:00Z,99.971774,0.028226
2022-07-25T00:00:00Z,99.71089,0.28911
2022-08-01T00:00:00Z,99.980764,0.019236
2022-08-08T00:00:00Z,99.947105,0.052895
2022-08-15T00:00:00Z,99.958326,0.041674
2022-08-22T00:00:00Z,99.936186,0.063814
2022-08-29T00:00:00Z,98.573306,1.426694
2022-09-05T00:00:00Z,99.911064,0.088936
2022-09-12T00:00:00Z,99.827314,0.172686
2022-09-19T00:00:00Z,99.909761,0.090239
2022-09-26T00:00:00Z,99.990297,0.009703
2022-10-03T00:00:00Z,99.948222,0.051778
2022-10-10T00:00:00Z,99.957609,0.042391
2022-10-17T00:00:00Z,99.972806,0.027194
2022-10-24T00:00:00Z,99.97401,0.02599
2022-10-31T00:00:00Z,99.956212,0.043788
2022-11-07T00:00:00Z,99.963664,0.036336
2022-11-14T00:00:00Z,99.94431,0.05569
2022-11-21T00:00:00Z,99.954214,0.045786
2022-11-28T00:00:00Z,99.91921,0.08079
2022-12-05T00:00:00Z,99.9418,0.0582
2022-12-12T00:00:00Z,99.89618,0.10382
2022-12-19T00:00:00Z,99.955326,0.044674
2022-12-26T00:00:00Z,99.976661,0.023339
