Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,98.389987,1.610013
2022-01-03T00:00:00Z,98.631197,1.368803
2022-01-10T00:00:00Z,99.175044,0.824956
2022-01-17T00:00:00Z,98.906409,1.093591
2022-01-24T00:00:00Z,99.0091,0.9909
2022-01-31T00:00:00Z,98.578854,1.421146
2022-02-07T00:00:00Z,98.238099,1.761901
2022-02-14T00:00:00Z,98.841305,1.158695
2022-02-21T00:00:00Z,98.74674,1.25326
2022-02-28T00:00:00Z,98.715567,1.284433
2022-03-07T00:00:00Z,97.86915,2.13085
2022-03-14T00:00:00Z,98.904103,1.095897
2022-03-21T00:00:00Z,98.663647,1.336353
2022-03-28T00:00:00Z,99.129777,0.870223
2022-04-04T00:00:00Z,97.121683,2.878317
2022-04-11T00:00:00Z,98.324366,1.675634
2022-04-18T00:00:00Z,98.010023,1.989977
2022-04-25T00:00:00Z,99.008929,0.991071
2022-05-02T00:00:00Z,99.019262,0.980738
2022-05-09T00:00:00Z,98.513734,1.486266
2022-05-16T00:00:00Z,98.967193,1.032807
2022-05-23T00:00:00Z,97.498946,2.501054
2022-05-30T00:00:00Z,98.572661,1.427339
2022-06-06T00:00:00Z,98.55779,1.44221
2022-06-13T00:00:00Z,98.641839,1.358161
2022-06-20T00:00:00Z,98.93963,1.06037
2022-06-27T00:00:00Z,98.982048,1.017952
2022-07-04T00:00:00Z,98.743952,1.256048
2022-07-11T00:00:00Z,98.538556,1.461444
2022-07-18T00:00:00Z,98.359144,1.640856
2022-07-25T00:00:00Z,98.734291,1.265709
2022-08-01T00:00:00Z,98.3055,1.6945
2022-08-08T00:00:00Z,98.932535,1.067465
2022-08-15T00:00:00Z,98.559228,1.440772
2022-08-22T00:00:00Z,98.268441,1.731559
2022-08-29T00:00:00Z,98.83726,1.16274
2022-09-05T00:00:00Z,98.876731,1.123269
2022-09-12T00:00:00Z,98.204711,1.795289
2022-09-19T00:00:00Z,98.953237,1.046763
2022-09-26T00:00:00Z,98.791411,1.208589
2022-10-03T00:00:00Z,98.464747,1.535253
2022-10-10T00:00:00Z,98.798961,1.201039
2022-10-17T00:00:00Z,98.606038,1.393962
2022-10-24T00:00:00Z,98.70742,1.29258
2022-10-31T00:00:00Z,96.890011,3.109989
2022-11-07T00:00:00Z,98.433956,1.566044
2022-11-14T00:00:00Z,95.931249,4.068751
2022-11-21T00:00:00Z,96.584868,3.415132
2022-11-28T00:00:00Z,98.263236,1.736764
2022-12-05T00:00:00Z,98.144893,1.855107
2022-12-12T00:00:00Z,97.445565,2.554435
2022-12-19T00:00:00Z,98.049892,1.950108
2022-12-26T00:00:00Z,98.059733,1.940267
