Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,90.652089,9.347911
2022-01-03T00:00:00Z,91.050173,8.949827
2022-01-10T00:00:00Z,91.339458,8.660542
2022-01-17T00:00:00Z,91.172171,8.827829
2022-01-24T00:00:00Z,87.467117,12.532883
2022-01-31T00:00:00Z,92.46341,7.53659
2022-02-07T00:00:00Z,89.946184,10.053816
2022-02-14T00:00:00Z,89.905026,10.094974
2022-02-21T00:00:00Z,88.744625,11.255375
2022-02-28T00:00:00Z,88.573407,11.426593
2022-03-07T00:00:00Z,89.031492,10.968508
2022-03-14T00:00:00Z,79.926458,20.073542
2022-03-21T00:00:00Z,70.518099,29.481901
2022-03-28T00:00:00Z,90.074675,9.925325
2022-04-04T00:00:00Z,80.952985,19.047015
2022-04-11T00:00:00Z,71.522841,28.477159
2022-04-18T00:00:00Z,90.166521,9.833479
2022-04-25T00:00:00Z,89.718637,10.281363
2022-05-02T00:00:00Z,90.988012,9.011988
2022-05-09T00:00:00Z,86.888897,13.111103
2022-05-16T00:00:00Z,84.867866,15.132134
2022-05-23T00:00:00Z,85.583676,14.416324
2022-05-30T00:00:00Z,86.202986,13.797014
2022-06-06T00:00:00Z,86.718439,13.281561
2022-06-13T00:00:00Z,86.443962,13.556038
2022-06-20T00:00:00Z,93.295814,6.704186
2022-06-27T00:00:00Z,91.100142,8.899858
2022-07-04T00:00:00Z,91.472673,8.527327
2022-07-11T00:00:00Z,89.489936,10.510064
2022-07-18T00:00:00Z,78.178633,21.821367
2022-07-25T00:00:00Z,80.345009,19.654991
2022-08-01T00:00:00Z,91.510441,8.489559
2022-08-08T00:00:00Z,83.780463,16.219537
2022-08-15T00:00:00Z,70.616758,29.383242
2022-08-22T00:00:00Z,91.692374,8.307626
2022-08-29T00:00:00Z,87.509635,12.490365
2022-09-05T00:00:00Z,86.116262,13.883738
2022-09-12T00:00:00Z,88.1715,11.8285
2022-09-19T00:00:00Z,93.774171,6.225829
2022-09-26T00:00:00Z,93.345194,6.654806
2022-10-03T00:00:00Z,91.859346,8.140654
2022-10-10T00:00:00Z,92.303656,7.696344
2022-10-17T00:00:00Z,90.411158,9.588842
2022-10-24T00:00:00Z,87.723606,12.276394
2022-10-31T00:00:00Z,88.589136,11.410864
2022-11-07T00:00:00Z,88.959067,11.040933
2022-11-14T00:00:00Z,89.65238,10.34762
2022-11-21T00:00:00Z,88.671589,11.328411
2022-11-28T00:00:00Z,88.820162,11.179838
2022-12-05T00:00:00Z,87.020543,12.979457
2022-12-12T00:00:00Z,85.864785,14.135215
2022-12-19T00:00:00Z,90.778029,9.221971
2022-12-26T00:00:00Z,86.577573,13.422427
