Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,75.139884,24.860116
2022-01-03T00:00:00Z,75.399343,24.600657
2022-01-10T00:00:00Z,79.650283,20.349717
2022-01-17T00:00:00Z,76.279549,23.720451
2022-01-24T00:00:00Z,77.039676,22.960324
2022-01-31T00:00:00Z,78.422901,21.577099
2022-02-07T00:00:00Z,78.283471,21.716529
2022-02-14T00:00:00Z,77.831817,22.168183
2022-02-21T00:00:00Z,80.8606,19.1394
2022-02-28T00:00:00Z,81.93528,18.06472
2022-03-07T00:00:00Z,78.964343,21.035657
2022-03-14T00:00:00Z,81.342446,18.657554
2022-03-21T00:00:00Z,84.678937,15.321063
2022-03-28T00:00:00Z,82.658318,17.341682
2022-04-04T00:00:00Z,81.495627,18.504373
2022-04-11T00:00:00Z,79.335232,20.664768
2022-04-18T00:00:00Z,79.453015,20.546985
2022-04-25T00:00:00Z,78.209075,21.790925
2022-05-02T00:00:00Z,81.224045,18.775955
2022-05-09T00:00:00Z,81.033572,18.966428
2022-05-16T00:00:00Z,81.055874,18.944126
2022-05-23T00:00:00Z,83.285694,16.714306
2022-05-30T00:00:00Z,82.908055,17.091945
2022-06-06T00:00:00Z,82.188861,17.811139
2022-06-13T00:00:00Z,82.228235,17.771765
2022-06-20T00:00:00Z,81.097603,18.902397
2022-06-27T00:00:00Z,80.94338,19.05662
2022-07-04T00:00:00Z,83.686979,16.313021
2022-07-11T00:00:00Z,82.804205,17.195795
2022-07-18T00:00:00Z,81.487998,18.512002
2022-07-25T00:00:00Z,82.586354,17.413646
2022-08-01T00:00:00Z,83.747347,16.252653
2022-08-08T00:00:00Z,83.667186,16.332814
2022-08-15T00:00:00Z,85.313489,14.686511
2022-08-22T00:00:00Z,84.715222,15.284778
2022-08-29T00:00:00Z,84.151374,15.848626
2022-09-05T00:00:00Z,83.238163,16.761837
2022-09-12T00:00:00Z,82.587183,17.412817
2022-09-19T00:00:00Z,84.779046,15.220954
2022-09-26T00:00:00Z,82.621502,17.378498
2022-10-03T00:00:00Z,83.302194,16.697806
2022-10-10T00:00:00Z,82.587834,17.412166
2022-10-17T00:00:00Z,81.348525,18.651475
2022-10-24T00:00:00Z,81.719453,18.280547
2022-10-31T00:00:00Z,82.513835,17.486165
2022-11-07T00:00:00Z,87.112764,12.887236
2022-11-14T00:00:00Z,79.496246,20.503754
2022-11-21T00:00:00Z,82.707101,17.292899
2022-11-28T00:00:00Z,83.558096,16.441904
2022-12-05T00:00:00Z,84.755911,15.244089
2022-12-12T00:00:00Z,85.419984,14.580016
2022-12-19T00:00:00Z,85.981447,14.018553
2022-12-26T00:00:00Z,84.148434,15.851566
