Serie_0 timestamps,Serie_0  I Pv4,Serie_0  I Pv6
2021-12-27T00:00:00Z,92.038934,7.961066
2022-01-03T00:00:00Z,92.598578,7.401422
2022-01-10T00:00:00Z,93.040291,6.959709
2022-01-17T00:00:00Z,93.152612,6.847388
2022-01-24T00:00:00Z,93.464981,6.535019
2022-01-31T00:00:00Z,92.894999,7.105001
2022-02-07T00:00:00Z,92.56611,7.43389
2022-02-14T00:00:00Z,92.31116,7.68884
2022-02-21T00:00:00Z,92.57678,7.42322
2022-02-28T00:00:00Z,92.419437,7.580563
2022-03-07T00:00:00Z,92.758911,7.241089
2022-03-14T00:00:00Z,92.503761,7.496239
2022-03-21T00:00:00Z,91.018658,8.981342
2022-03-28T00:00:00Z,91.149945,8.850055
2022-04-04T00:00:00Z,91.640258,8.359742
2022-04-11T00:00:00Z,92.026404,7.973596
2022-04-18T00:00:00Z,91.95448,8.04552
2022-04-25T00:00:00Z,91.229428,8.770572
2022-05-02T00:00:00Z,91.667403,8.332597
2022-05-09T00:00:00Z,91.592887,8.407113
2022-05-16T00:00:00Z,92.183119,7.816881
2022-05-23T00:00:00Z,91.682672,8.317328
2022-05-30T00:00:00Z,92.348611,7.651389
2022-06-06T00:00:00Z,90.293963,9.706037
2022-06-13T00:00:00Z,90.934986,9.065014
2022-06-20T00:00:00Z,91.377304,8.622696
2022-06-27T00:00:00Z,90.846482,9.153518
2022-07-04T00:00:00Z,92.638618,7.361382
2022-07-11T00:00:00Z,91.459444,8.540556
2022-07-18T00:00:00Z,92.180427,7.819573
2022-07-25T00:00:00Z,93.142487,6.857513
2022-08-01T00:00:00Z,93.432327,6.567673
2022-08-08T00:00:00Z,92.771534,7.228466
2022-08-15T00:00:00Z,91.78677,8.21323
2022-08-22T00:00:00Z,91.194119,8.805881
2022-08-29T00:00:00Z,92.529826,7.470174
2022-09-05T00:00:00Z,92.250352,7.749648
2022-09-12T00:00:00Z,92.431601,7.568399
2022-09-19T00:00:00Z,92.599608,7.400392
2022-09-26T00:00:00Z,92.73072,7.26928
2022-10-03T00:00:00Z,92.635377,7.364623
2022-10-10T00:00:00Z,92.353582,7.646418
2022-10-17T00:00:00Z,91.637758,8.362242
2022-10-24T00:00:00Z,92.762927,7.237073
2022-10-31T00:00:00Z,91.036876,8.963124
2022-11-07T00:00:00Z,92.421508,7.578492
2022-11-14T00:00:00Z,91.43153,8.56847
2022-11-21T00:00:00Z,91.508106,8.491894
2022-11-28T00:00:00Z,92.667289,7.332711
2022-12-05T00:00:00Z,92.522715,7.477285
2022-12-12T00:00:00Z,91.723483,8.276517
2022-12-19T00:00:00Z,91.844457,8.155543
2022-12-26T00:00:00Z,90.905725,9.094275
